"InphaseC4_018 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_InphaseC4\runs\InphaseC4_018.tcf]","Time (h)","Q 2 [InphaseC4_018]","Q 3 [InphaseC4_018]","Q 4 [InphaseC4_018]","Q 5 [InphaseC4_018]","Q 6 [InphaseC4_018]","Q 7 [InphaseC4_018]","Q 1 [InphaseC4_018]","Q  8 [InphaseC4_018]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,         -0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -69.0244,          0.0000
           3,        0.016667,        -62.1289,         -0.0852,          0.0000,          0.0000,          0.0000,          0.0006,        -70.2572,         -0.0012
           4,        0.025000,        -59.5742,        -40.1531,         -0.0000,          0.0000,          0.0000,          0.0007,        -70.0407,         -0.0004
           5,        0.033333,        -59.5265,        -51.1680,        -40.8165,         -3.3755,          0.0005,         -0.0003,        -69.5036,          0.0008
           6,        0.041667,        -62.3708,        -56.9986,        -47.7473,        -30.5525,          0.0002,         -0.0003,        -66.4419,          0.0005
           7,        0.050000,        -65.8945,        -61.8948,        -50.7148,        -41.1485,        -26.1264,          0.0001,        -67.8964,          0.0006
           8,        0.058333,        -67.7697,        -65.4578,        -56.8054,        -49.7944,        -38.4505,        -27.6900,        -68.8368,          0.0000
           9,        0.066667,        -68.6790,        -67.3816,        -62.0583,        -57.1863,        -46.8147,        -34.1256,        -69.3271,        -31.7375
          10,        0.075000,        -69.1892,        -68.4466,        -65.0878,        -62.1056,        -53.7387,        -47.2658,        -69.5768,        -55.5454
          11,        0.083333,        -69.5073,        -69.0639,        -66.8349,        -65.0103,        -58.7545,        -62.0425,        -69.7399,        -64.6487
          12,        0.091667,        -69.7081,        -69.4283,        -67.9538,        -66.8103,        -63.0150,        -66.4824,        -69.8425,        -68.4087
          13,        0.100000,        -69.8285,        -69.6434,        -68.6983,        -67.9654,        -66.4252,        -67.5214,        -69.9086,        -68.4305
          14,        0.108333,        -69.8976,        -69.7729,        -69.1754,        -68.6995,        -68.4190,        -68.4934,        -69.9426,        -68.4378
          15,        0.116667,        -69.9352,        -69.8531,        -69.4786,        -69.1605,        -69.1763,        -68.9308,        -69.9657,        -68.7533
          16,        0.125000,        -69.9573,        -69.9031,        -69.6586,        -69.4631,        -69.4099,        -69.2103,        -69.9785,        -69.1516
          17,        0.133333,        -69.9701,        -69.9358,        -69.7734,        -69.6582,        -69.5317,        -69.4109,        -69.9849,        -69.4183
          18,        0.141667,        -69.9805,        -69.9559,        -69.8541,        -69.7839,        -69.6501,        -69.5527,        -69.9907,        -69.5536
          19,        0.150000,        -69.9865,        -69.9707,        -69.9091,        -69.8629,        -69.7491,        -69.6664,        -69.9936,        -69.6510
          20,        0.158333,        -69.9914,        -69.9801,        -69.9435,        -69.9129,        -69.8251,        -69.7551,        -69.9956,        -69.7366
          21,        0.166667,        -69.9941,        -69.9875,        -69.9630,        -69.9449,        -69.8815,        -69.8235,        -69.9976,        -69.8146
          22,        0.175000,        -69.9963,        -69.9917,        -69.9751,        -69.9638,        -69.9195,        -69.8774,        -69.9976,        -69.8688
          23,        0.183333,        -69.9972,        -69.9945,        -69.9853,        -69.9776,        -69.9444,        -69.9169,        -69.9982,        -69.9124
          24,        0.191667,        -69.9983,        -69.9963,        -69.9919,        -69.9861,        -69.9625,        -69.9443,        -69.9990,        -69.9419
          25,        0.200000,        -69.9990,        -69.9976,        -69.9930,        -69.9917,        -69.9744,        -69.9631,        -69.9995,        -69.9613
          26,        0.208333,        -69.9990,        -69.9981,        -69.9954,        -69.9927,        -69.9824,        -69.9751,        -69.9997,        -69.9750
          27,        0.216667,        -70.0000,        -69.9988,        -69.9966,        -69.9951,        -69.9877,        -69.9835,        -70.0001,        -69.9834
          28,        0.225000,        -70.0001,        -69.9992,        -69.9982,        -69.9968,        -69.9926,        -69.9895,        -69.9993,        -69.9878
          29,        0.233333,        -69.9998,        -69.9995,        -69.9985,        -69.9984,        -69.9952,        -69.9914,        -69.9997,        -69.9920
          30,        0.241667,        -70.0000,        -69.9999,        -69.9984,        -69.9984,        -69.9962,        -69.9959,        -69.9996,        -69.9952
          31,        0.250000,        -70.0004,        -70.0000,        -69.9990,        -69.9991,        -69.9983,        -69.9967,        -69.9999,        -69.9971
          32,        0.258333,        -69.9998,        -69.9999,        -69.9994,        -69.9990,        -69.9979,        -69.9976,        -69.9995,        -69.9977
          33,        0.266667,        -70.0001,        -69.9994,        -69.9993,        -69.9996,        -69.9996,        -69.9985,        -69.9992,        -69.9979
          34,        0.275000,        -69.9998,        -69.9999,        -69.9996,        -70.0000,        -69.9999,        -69.9996,        -69.9995,        -69.9987
          35,        0.283333,        -69.9999,        -70.0002,        -69.9994,        -70.0001,        -69.9997,        -70.0003,        -70.0000,        -69.9993
          36,        0.291667,        -69.9996,        -70.0004,        -69.9999,        -70.0004,        -69.9994,        -70.0003,        -70.0002,        -69.9986
          37,        0.300000,        -69.9998,        -70.0003,        -69.9994,        -69.9999,        -70.0000,        -70.0000,        -70.0001,        -70.0002
          38,        0.308333,        -69.9999,        -70.0004,        -69.9993,        -69.9996,        -69.9998,        -70.0003,        -69.9997,        -69.9995
          39,        0.316667,        -70.0002,        -69.9995,        -70.0006,        -69.9999,        -69.9994,        -70.0004,        -70.0001,        -69.9995
          40,        0.325000,        -70.0003,        -70.0000,        -69.9997,        -70.0010,        -69.9993,        -69.9991,        -69.9995,        -69.9996
