"sfe_25","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow"
"F:\tuflow-wf_python3\output_folder\sfe_25_tuflow\runs\006\sfe_25.tcf","Time","1","2","3","4","5","6","1","2","3","4"
"F:\tuflow-wf_python3\output_folder\sfe_25_tuflow\results\006\sfe_25_PO.csv",        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.050000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.066667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.083333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.100000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.116667,          1.3294,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.3859,          0.0000,          0.0000,          0.0000
,        0.133333,          0.3851,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.7724,          0.0000,          0.0000,          0.0000
,        0.150000,          0.4032,          0.9128,          0.0000,          0.0000,          0.0000,          0.0000,          0.9899,          0.1446,          0.0000,          0.0000
,        0.166667,          0.4210,          1.1088,          0.6023,          0.0000,          0.0000,          0.0000,          1.1110,          0.8218,          0.0000,          0.0000
,        0.183333,          0.4369,          1.1915,          0.1843,          0.4546,          0.0000,          0.0000,          1.1812,          0.9574,          0.0978,          0.0000
,        0.200000,          0.4466,          1.2009,          0.0945,          0.8481,          0.4498,          0.0000,          1.2174,          0.9197,          0.2495,          0.0000
,        0.216667,          0.4528,          1.1297,          0.0633,          1.0708,          0.6514,          0.0000,          1.2367,          1.0548,          0.6175,          0.0000
,        0.233333,          0.4555,          1.0593,          0.0499,          1.1330,          0.7557,          0.9411,          1.2470,          1.1079,          0.8956,          0.4913
,        0.250000,          0.4566,          0.9850,          0.0426,          1.1851,          0.8073,          1.1107,          1.2525,          1.1674,          1.0390,          0.8934
,        0.266667,          0.4574,          0.9339,          0.0371,          1.2184,          0.8212,          1.1548,          1.2556,          1.2072,          1.1237,          1.0452
,        0.283333,          0.4578,          0.9050,          0.0321,          1.2384,          0.8410,          1.1782,          1.2570,          1.2310,          1.1794,          1.1328
,        0.300000,          0.4580,          0.8897,          0.0281,          1.2501,          0.8525,          1.1917,          1.2578,          1.2419,          1.2123,          1.1834
,        0.316667,          0.4580,          0.8807,          0.0249,          1.2572,          0.8596,          1.2026,          1.2583,          1.2473,          1.2315,          1.2228
,        0.333333,          0.4581,          0.8764,          0.0222,          1.2620,          0.8640,          1.2050,          1.2585,          1.2532,          1.2427,          1.2345
,        0.350000,          0.4581,          0.8741,          0.0199,          1.2648,          0.8665,          1.2074,          1.2585,          1.2564,          1.2497,          1.2438
,        0.366667,          0.4581,          0.8729,          0.0184,          1.2663,          0.8674,          1.2091,          1.2586,          1.2565,          1.2536,          1.2504
,        0.383333,          0.4581,          0.8721,          0.0172,          1.2670,          0.8689,          1.2101,          1.2588,          1.2581,          1.2558,          1.2541
,        0.400000,          0.4581,          0.8716,          0.0163,          1.2676,          0.8693,          1.2106,          1.2588,          1.2583,          1.2571,          1.2560
,        0.416667,          0.4581,          0.8713,          0.0156,          1.2679,          0.8696,          1.2109,          1.2587,          1.2583,          1.2579,          1.2572
,        0.433333,          0.4581,          0.8712,          0.0152,          1.2681,          0.8698,          1.2110,          1.2587,          1.2588,          1.2583,          1.2579
,        0.450000,          0.4581,          0.8712,          0.0149,          1.2680,          0.8698,          1.2111,          1.2586,          1.2589,          1.2585,          1.2583
,        0.466667,          0.4581,          0.8711,          0.0145,          1.2680,          0.8699,          1.2112,          1.2587,          1.2588,          1.2587,          1.2586
,        0.483333,          0.4581,          0.8710,          0.0144,          1.2681,          0.8700,          1.2112,          1.2587,          1.2587,          1.2588,          1.2588
,        0.500000,          0.4581,          0.8710,          0.0142,          1.2681,          0.8699,          1.2112,          1.2588,          1.2584,          1.2588,          1.2588
,        0.516667,          0.4581,          0.8709,          0.0140,          1.2681,          0.8699,          1.2112,          1.2587,          1.2586,          1.2589,          1.2588
,        0.533333,          0.4582,          0.8709,          0.0139,          1.2681,          0.8699,          1.2113,          1.2589,          1.2587,          1.2589,          1.2589
,        0.550000,          0.4581,          0.8709,          0.0139,          1.2681,          0.8700,          1.2112,          1.2588,          1.2590,          1.2589,          1.2589
,        0.566667,          0.4581,          0.8709,          0.0139,          1.2681,          0.8699,          1.2113,          1.2587,          1.2590,          1.2588,          1.2588
,        0.583333,          0.4581,          0.8710,          0.0139,          1.2681,          0.8699,          1.2112,          1.2587,          1.2586,          1.2589,          1.2589
,        0.600000,          0.4581,          0.8709,          0.0139,          1.2681,          0.8700,          1.2112,          1.2587,          1.2588,          1.2589,          1.2589
,        0.616667,          0.4581,          0.8709,          0.0139,          1.2681,          0.8699,          1.2113,          1.2588,          1.2588,          1.2589,          1.2589
,        0.633333,          0.4581,          0.8709,          0.0138,          1.2682,          0.8699,          1.2113,          1.2587,          1.2585,          1.2589,          1.2589
,        0.650000,          0.4582,          0.8709,          0.0138,          1.2681,          0.8700,          1.2112,          1.2587,          1.2589,          1.2589,          1.2588
,        0.666667,          0.4582,          0.8710,          0.0137,          1.2681,          0.8700,          1.2113,          1.2587,          1.2588,          1.2589,          1.2589
,        0.683333,          0.4581,          0.8709,          0.0136,          1.2681,          0.8699,          1.2113,          1.2586,          1.2589,          1.2589,          1.2589
,        0.700000,          0.4581,          0.8709,          0.0138,          1.2681,          0.8699,          1.2112,          1.2586,          1.2589,          1.2589,          1.2589
,        0.716667,          0.4582,          0.8709,          0.0138,          1.2681,          0.8699,          1.2113,          1.2587,          1.2588,          1.2589,          1.2589
,        0.733333,          0.4582,          0.8709,          0.0137,          1.2681,          0.8699,          1.2113,          1.2587,          1.2590,          1.2589,          1.2589
,        0.750000,          0.4581,          0.8709,          0.0138,          1.2681,          0.8699,          1.2113,          1.2587,          1.2589,          1.2589,          1.2589
,        0.766667,          0.4581,          0.8710,          0.0137,          1.2681,          0.8699,          1.2113,          1.2589,          1.2586,          1.2589,          1.2589
,        0.783333,          0.4581,          0.8710,          0.0137,          1.2682,          0.8699,          1.2112,          1.2588,          1.2590,          1.2590,          1.2588
,        0.800000,          0.4582,          0.8709,          0.0137,          1.2681,          0.8699,          1.2113,          1.2588,          1.2589,          1.2590,          1.2589
,        0.816667,          0.4581,          0.8709,          0.0137,          1.2681,          0.8700,          1.2113,          1.2586,          1.2587,          1.2589,          1.2589
,        0.833333,          0.4581,          0.8709,          0.0137,          1.2681,          0.8699,          1.2113,          1.2587,          1.2588,          1.2589,          1.2589
,        0.850000,          0.4581,          0.8709,          0.0136,          1.2681,          0.8699,          1.2113,          1.2587,          1.2590,          1.2589,          1.2589
,        0.866667,          0.4581,          0.8710,          0.0137,          1.2681,          0.8699,          1.2112,          1.2588,          1.2589,          1.2589,          1.2588
,        0.883333,          0.4582,          0.8710,          0.0137,          1.2681,          0.8700,          1.2113,          1.2586,          1.2590,          1.2589,          1.2589
,        0.900000,          0.4581,          0.8709,          0.0137,          1.2682,          0.8699,          1.2113,          1.2586,          1.2590,          1.2589,          1.2589
,        0.916667,          0.4581,          0.8709,          0.0137,          1.2682,          0.8699,          1.2113,          1.2588,          1.2589,          1.2589,          1.2589
,        0.933333,          0.4582,          0.8710,          0.0137,          1.2681,          0.8700,          1.2112,          1.2588,          1.2588,          1.2589,          1.2589
,        0.950000,          0.4582,          0.8709,          0.0137,          1.2681,          0.8700,          1.2113,          1.2588,          1.2589,          1.2589,          1.2589
,        0.966667,          0.4581,          0.8709,          0.0137,          1.2681,          0.8700,          1.2113,          1.2588,          1.2592,          1.2589,          1.2589
,        0.983333,          0.4581,          0.8710,          0.0137,          1.2681,          0.8700,          1.2112,          1.2587,          1.2591,          1.2589,          1.2589
,        1.000000,          0.4581,          0.8709,          0.0137,          1.2681,          0.8699,          1.2113,          1.2588,          1.2588,          1.2589,          1.2589
,        1.016667,          0.4581,          0.8709,          0.0136,          1.2681,          0.8699,          1.2113,          1.2587,          1.2589,          1.2589,          1.2589
,        1.033333,          0.4582,          0.8709,          0.0136,          1.2682,          0.8699,          1.2112,          1.2588,          1.2588,          1.2589,          1.2589
,        1.050000,          0.4582,          0.8710,          0.0137,          1.2681,          0.8699,          1.2113,          1.2588,          1.2591,          1.2589,          1.2589
,        1.066667,          0.4582,          0.8709,          0.0137,          1.2681,          0.8699,          1.2113,          1.2587,          1.2588,          1.2590,          1.2589
,        1.083333,          0.4582,          0.8709,          0.0137,          1.2681,          0.8700,          1.2113,          1.2588,          1.2589,          1.2589,          1.2589
,        1.100000,          0.4582,          0.8709,          0.0136,          1.2682,          0.8700,          1.2113,          1.2588,          1.2588,          1.2588,          1.2590
,        1.116667,          0.4582,          0.8709,          0.0138,          1.2682,          0.8700,          1.2112,          1.2587,          1.2588,          1.2589,          1.2589
,        1.133333,          0.4581,          0.8709,          0.0137,          1.2681,          0.8700,          1.2113,          1.2587,          1.2590,          1.2589,          1.2589
,        1.150000,          0.4582,          0.8709,          0.0136,          1.2681,          0.8699,          1.2113,          1.2588,          1.2589,          1.2589,          1.2589
,        1.166667,          0.4581,          0.8718,          0.0137,          1.2681,          0.8700,          1.2113,          1.2587,          1.2591,          1.2589,          1.2589
,        1.183333,          0.4581,          0.8927,          0.0134,          1.2690,          0.8702,          1.2112,          1.2587,          1.2677,          1.2596,          1.2589
,        1.200000,          0.4581,          0.8955,          0.0137,          1.2712,          0.8718,          1.2118,          1.2587,          1.2702,          1.2644,          1.2607
,        1.216667,          0.4581,          0.8963,          0.0139,          1.2728,          0.8731,          1.2130,          1.2587,          1.2721,          1.2682,          1.2651
,        1.233333,          0.4582,          0.8965,          0.0141,          1.2737,          0.8740,          1.2140,          1.2587,          1.2730,          1.2707,          1.2687
,        1.250000,          0.4582,          0.8959,          0.0141,          1.2744,          0.8745,          1.2147,          1.2587,          1.2745,          1.2725,          1.2710
,        1.266667,          0.4581,          0.8891,          0.0139,          1.2757,          0.8752,          1.2151,          1.2587,          1.2837,          1.2745,          1.2727
,        1.283333,          0.4581,          0.8836,          0.0141,          1.2784,          0.8773,          1.2157,          1.2588,          1.2936,          1.2810,          1.2757
