"VanillaC4_011 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\runs\VanillaC4_011.tcf]","Time (h)","Q 2 [VanillaC4_011]","Q 3 [VanillaC4_011]","Q 4 [VanillaC4_011]","Q 5 [VanillaC4_011]","Q 6 [VanillaC4_011]","Q 7 [VanillaC4_011]","Q 1 [VanillaC4_011]","Q  8 [VanillaC4_011]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -7.1850,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -10.3698,          0.0004
           4,        0.025000,         -7.3097,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -11.1621,         -0.0004
           5,        0.033333,         -9.5242,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -11.4936,          0.0002
           6,        0.041667,        -10.5214,         -4.6852,          0.0000,          0.0000,          0.0000,         -0.0000,        -11.6871,         -0.0002
           7,        0.050000,        -11.0529,         -7.8691,          0.0000,          0.0000,          0.0000,          0.0005,        -11.7986,         -0.0003
           8,        0.058333,        -11.3727,         -9.3919,          0.0000,          0.0000,          0.0000,         -0.0003,        -11.8698,          0.0011
           9,        0.066667,        -11.5733,        -10.2649,         -5.6422,          0.0000,          0.0000,          0.0002,        -11.9061,         -0.0008
          10,        0.075000,        -11.7052,        -10.8041,         -7.9530,          0.0000,          0.0000,         -0.0004,        -11.9342,         -0.0001
          11,        0.083333,        -11.7921,        -11.1652,         -9.2564,         -4.3680,          0.0000,          0.0001,        -11.9540,          0.0008
          12,        0.091667,        -11.8509,        -11.4078,        -10.0830,         -7.1286,          0.0000,         -0.0001,        -11.9668,          0.0004
          13,        0.100000,        -11.8921,        -11.5750,        -10.6292,         -8.6525,          0.0000,         -0.0003,        -11.9766,         -0.0008
          14,        0.108333,        -11.9216,        -11.6916,        -11.0086,         -9.6227,          0.0000,          0.0002,        -11.9832,         -0.0011
          15,        0.116667,        -11.9431,        -11.7737,        -11.2784,        -10.2828,         -2.8861,          0.0003,        -11.9877,          0.0009
          16,        0.125000,        -11.9585,        -11.8324,        -11.4699,        -10.7370,         -6.1919,         -0.0002,        -11.9911,          0.0003
          17,        0.133333,        -11.9696,        -11.8756,        -11.6075,        -11.0685,         -7.9391,         -0.0000,        -11.9933,         -0.0016
