"VanillaC4_011 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\runs\VanillaC4_011.tcf]","Time (h)","V 2 [VanillaC4_011]","V 3 [VanillaC4_011]","V 4 [VanillaC4_011]","V 5 [VanillaC4_011]","V 6 [VanillaC4_011]","V 7 [VanillaC4_011]","V 8 [VanillaC4_011]","V 9 [VanillaC4_011]","V 10 [VanillaC4_011]","V 11 [VanillaC4_011]","V 12 [VanillaC4_011]","V 13 [VanillaC4_011]","V 14 [VanillaC4_011]","V 15 [VanillaC4_011]","V 16 [VanillaC4_011]","V  1 [VanillaC4_011]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          1.7387
           3,        0.016667,          1.5244,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          1.4374
           4,        0.025000,          1.4062,          0.6475,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0002,          1.3539
           5,        0.033333,          1.3481,          0.7765,          1.2997,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0002,          1.3005
           6,        0.041667,          1.3123,          0.8101,          1.2825,          1.1898,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0002,          0.0000,          1.2739
           7,        0.050000,          1.2907,          0.8173,          1.2583,          1.2374,          1.2141,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          1.2569
           8,        0.058333,          1.2761,          0.8198,          1.2396,          1.2268,          1.2937,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0001,          0.0001,          1.2458
           9,        0.066667,          1.2662,          0.8210,          1.2256,          1.2152,          1.2797,          0.5084,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0001,          1.2379
          10,        0.075000,          1.2590,          0.8213,          1.2160,          1.2044,          1.2663,          0.6939,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          1.2324
          11,        0.083333,          1.2541,          0.8211,          1.2086,          1.1959,          1.2554,          0.7491,          0.6555,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          1.2289
          12,        0.091667,          1.2507,          0.8208,          1.2029,          1.1900,          1.2455,          0.7802,          0.7679,          0.4726,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0001,          0.0001,          1.2263
          13,        0.100000,          1.2482,          0.8205,          1.1986,          1.1852,          1.2394,          0.7940,          0.8142,          0.7744,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          1.2244
          14,        0.108333,          1.2464,          0.8202,          1.1953,          1.1814,          1.2340,          0.8027,          0.8347,          0.8451,          0.7513,          0.0000,          0.0000,          0.0000,          0.0003,          0.0002,          0.0001,          1.2231
          15,        0.116667,          1.2451,          0.8199,          1.1930,          1.1783,          1.2298,          0.8086,          0.8467,          0.8737,          0.8652,          0.7123,          0.0000,          0.0000,          0.0002,          0.0002,          0.0001,          1.2221
          16,        0.125000,          1.2441,          0.8197,          1.1914,          1.1761,          1.2264,          0.8123,          0.8555,          0.8922,          0.9084,          0.8959,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          1.2214
          17,        0.133333,          1.2433,          0.8195,          1.1901,          1.1745,          1.2238,          0.8147,          0.8600,          0.9002,          0.9270,          0.9456,          0.1010,          0.0000,          0.0001,          0.0002,          0.0001,          1.2208
          18,        0.141667,          1.2428,          0.8194,          1.1891,          1.1733,          1.2217,          0.8161,          0.8629,          0.9059,          0.9383,          0.9662,          0.5338,          0.7281,          0.8144,          0.0003,          0.0001,          1.2204
          19,        0.150000,          1.2424,          0.8192,          1.1884,          1.1723,          1.2203,          0.8172,          0.8648,          0.9100,          0.9455,          0.9798,          0.6286,          0.8617,          1.0970,          0.5033,          0.0000,          1.2202
          20,        0.158333,          1.2422,          0.8192,          1.1878,          1.1716,          1.2193,          0.8179,          0.8659,          0.9124,          0.9503,          0.9861,          0.6719,          0.9159,          1.1641,          0.7945,          0.3635,          1.2199
          21,        0.166667,          1.2420,          0.8191,          1.1874,          1.1710,          1.2184,          0.8183,          0.8667,          0.9140,          0.9531,          0.9899,          0.7000,          0.9418,          1.1896,          0.9312,          0.7285,          1.2199
          22,        0.175000,          1.2418,          0.8190,          1.1871,          1.1706,          1.2177,          0.8186,          0.8672,          0.9149,          0.9548,          0.9927,          0.7179,          0.9563,          1.2016,          1.0187,          0.9215,          1.2197
          23,        0.183333,          1.2417,          0.8190,          1.1868,          1.1702,          1.2172,          0.8189,          0.8677,          0.9156,          0.9558,          0.9943,          0.7313,          0.9642,          1.2067,          1.1233,          0.9937,          1.2197
          24,        0.191667,          1.2416,          0.8189,          1.1867,          1.1700,          1.2169,          0.8190,          0.8680,          0.9161,          0.9564,          0.9953,          0.7393,          0.9707,          1.2191,          1.1563,          1.0389,          1.2196
          25,        0.200000,          1.2414,          0.8190,          1.1865,          1.1698,          1.2165,          0.8192,          0.8683,          0.9164,          0.9567,          0.9958,          0.7450,          0.9791,          1.2298,          1.1748,          1.0743,          1.2195
          26,        0.208333,          1.2414,          0.8189,          1.1864,          1.1696,          1.2163,          0.8192,          0.8684,          0.9167,          0.9570,          0.9962,          0.7502,          0.9849,          1.2342,          1.1867,          1.1022,          1.2196
          27,        0.216667,          1.2414,          0.8189,          1.1863,          1.1695,          1.2161,          0.8194,          0.8686,          0.9169,          0.9573,          0.9964,          0.7540,          0.9881,          1.2366,          1.1951,          1.1238,          1.2195
          28,        0.225000,          1.2414,          0.8189,          1.1862,          1.1694,          1.2160,          0.8194,          0.8686,          0.9169,          0.9574,          0.9968,          0.7566,          0.9902,          1.2380,          1.2012,          1.1400,          1.2195
          29,        0.233333,          1.2413,          0.8189,          1.1862,          1.1694,          1.2158,          0.8194,          0.8686,          0.9170,          0.9577,          0.9970,          0.7585,          0.9917,          1.2389,          1.2056,          1.1522,          1.2195
