"OutphaseC4_016 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_016.tcf]","Time (h)","V 2 [OutphaseC4_016]","V 3 [OutphaseC4_016]","V 4 [OutphaseC4_016]","V 5 [OutphaseC4_016]","V 6 [OutphaseC4_016]","V 7 [OutphaseC4_016]","V 8 [OutphaseC4_016]","V 9 [OutphaseC4_016]","V 10 [OutphaseC4_016]","V 11 [OutphaseC4_016]","V 12 [OutphaseC4_016]","V 13 [OutphaseC4_016]","V 14 [OutphaseC4_016]","V 15 [OutphaseC4_016]","V 16 [OutphaseC4_016]","V  1 [OutphaseC4_016]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          2.0908,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          1.3643
           3,        0.016667,          1.4513,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.9131
           4,        0.025000,          1.7037,          0.0000,          2.6691,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.9119
           5,        0.033333,          1.7180,          1.1203,          3.3358,          1.2336,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.8549
           6,        0.041667,          1.7645,          1.7903,          3.6300,          0.9172,          0.7608,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.8871
           7,        0.050000,          1.8063,          1.9311,          2.6277,          1.0167,          0.7732,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.8265
           8,        0.058333,          1.8047,          2.0684,          2.5182,          1.2370,          0.8888,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.8139
           9,        0.066667,          1.8192,          2.1382,          2.2880,          1.3995,          0.9828,          0.0000,          0.6412,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.8291
          10,        0.075000,          1.8228,          2.1701,          2.1394,          1.4688,          1.1185,          0.0962,          1.3329,          0.4621,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.8201
          11,        0.083333,          1.8228,          2.1998,          2.0406,          1.4958,          1.2210,          0.7613,          1.7393,          0.3481,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.8209
          12,        0.091667,          1.8251,          2.2171,          1.9686,          1.4997,          1.2940,          1.2669,          0.8898,          0.3383,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.8227
          13,        0.100000,          1.8278,          2.2140,          1.9165,          1.4951,          1.3481,          1.5015,          0.0907,          0.3482,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.8212
          14,        0.108333,          1.8279,          2.2262,          1.8795,          1.4873,          1.3865,          1.6641,          0.1104,          0.3615,          0.4573,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.8223
          15,        0.116667,          1.8283,          2.2293,          1.8446,          1.4749,          1.4128,          1.7524,          0.0987,          0.4021,          0.9043,          0.2278,          0.4114,          0.0000,          0.0000,          0.0000,          0.0001,          0.8216
          16,        0.125000,          1.8284,          2.2008,          1.8119,          1.4519,          1.4304,          1.8309,          0.0744,          0.4518,          1.1615,          1.3415,          0.2555,          0.3392,          0.5444,          0.0000,          0.0001,          0.8212
          17,        0.133333,          1.8286,          2.0564,          1.7851,          1.4283,          1.4392,          1.8926,          0.0571,          0.5073,          1.3278,          1.8062,          0.1398,          0.2882,          0.3148,          0.0000,          0.0002,          0.8222
          18,        0.141667,          1.8287,          1.8370,          1.7652,          1.4127,          1.4473,          1.9406,          0.0433,          0.5612,          1.4288,          2.1408,          0.1983,          0.3501,          0.4413,          0.0000,          0.0001,          0.8218
          19,        0.150000,          1.8287,          1.6257,          1.7494,          1.4029,          1.4557,          1.9778,          0.0458,          0.5778,          1.5149,          2.3915,          0.2279,          0.3508,          0.4602,          0.9185,          0.0000,          0.8214
          20,        0.158333,          1.8289,          1.4619,          1.7331,          1.3924,          1.4612,          2.0066,          0.0790,          0.5851,          1.5668,          2.5814,          0.2144,          0.4012,          0.5325,          1.4105,          0.0001,          0.8218
          21,        0.166667,          1.8288,          1.3652,          1.7267,          1.3790,          1.4661,          2.0282,          0.1210,          0.6157,          1.6106,          2.7322,          0.1594,          0.4687,          0.6935,          1.7528,          0.5657,          0.8219
          22,        0.175000,          1.8288,          1.2955,          1.7141,          1.3835,          1.4646,          2.0471,          0.1558,          0.6565,          1.6550,          2.8508,          0.1191,          0.5412,          0.8490,          1.9945,          1.4783,          0.8215
          23,        0.183333,          1.8288,          1.2357,          1.7052,          1.3652,          1.4727,          2.0610,          0.1835,          0.6883,          1.6916,          2.9403,          0.0979,          0.6035,          0.9871,          2.1762,          2.0461,          0.8217
          24,        0.191667,          1.8288,          1.2029,          1.7039,          1.3554,          1.4631,          2.0707,          0.2017,          0.7091,          1.7140,          2.9965,          0.1032,          0.6792,          1.0921,          2.3221,          2.5633,          0.8218
          25,        0.200000,          1.8288,          1.1811,          1.6962,          1.3670,          1.4712,          2.0824,          0.2129,          0.7177,          1.7321,          2.5320,          0.1216,          0.7408,          1.1716,          2.4319,          3.1402,          0.8215
