"OutphaseC4_021 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_021.tcf]","Time (h)","V 2 [OutphaseC4_021]","V 3 [OutphaseC4_021]","V 4 [OutphaseC4_021]","V 5 [OutphaseC4_021]","V 6 [OutphaseC4_021]","V 7 [OutphaseC4_021]","V 8 [OutphaseC4_021]","V 9 [OutphaseC4_021]","V 10 [OutphaseC4_021]","V 11 [OutphaseC4_021]","V 12 [OutphaseC4_021]","V 13 [OutphaseC4_021]","V 14 [OutphaseC4_021]","V 15 [OutphaseC4_021]","V 16 [OutphaseC4_021]","V  1 [OutphaseC4_021]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          2.5111,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          1.9905
           3,        0.016667,          2.0726,          1.5238,          3.3343,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0006,          0.0002,          1.1476
           4,        0.025000,          2.1063,          2.7352,          4.2789,          1.8719,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0005,          0.0001,          1.1911
           5,        0.033333,          2.1065,          3.1275,          4.6685,          1.6132,          1.2183,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0000,          1.1106
           6,        0.041667,          2.0915,          3.3111,          3.6263,          1.8944,          1.2782,          0.0000,          0.5725,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0005,          0.0001,          1.1116
           7,        0.050000,          2.0872,          3.4350,          3.3762,          2.2928,          1.4364,          1.5403,          1.9268,          0.8462,          0.0000,          0.0000,          0.0001,          0.0000,          0.0001,          0.0004,          0.0001,          1.0983
           8,        0.058333,          2.0783,          3.4801,          3.1776,          2.4153,          1.7023,          2.1298,          2.6994,          0.5696,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0003,          0.0001,          1.0957
           9,        0.066667,          2.0796,          3.4963,          3.0386,          2.4069,          1.8679,          2.4492,          1.1365,          0.6113,          0.4317,          0.0000,          0.0000,          0.0001,          0.0000,          0.0001,          0.0001,          1.0948
          10,        0.075000,          2.0782,          3.5052,          2.9453,          2.3237,          1.9580,          2.6637,          0.4586,          0.7092,          1.2519,          1.0099,          0.0114,          0.0001,          0.0001,          0.0007,          0.0000,          1.0929
          11,        0.083333,          2.0766,          3.5021,          2.8650,          2.3187,          1.9900,          2.7773,          0.3863,          0.8118,          1.5930,          2.1733,          0.5180,          0.4365,          0.6623,          0.0004,          0.0002,          1.0926
          12,        0.091667,          2.0773,          3.4986,          2.8026,          2.2968,          1.9920,          2.7221,          0.4283,          0.9042,          1.7653,          2.8375,          0.1605,          0.4511,          0.5309,          1.1676,          0.0001,          1.0930
          13,        0.100000,          2.0772,          3.3770,          2.7499,          2.2533,          2.0093,          2.7204,          0.4796,          1.0198,          1.8600,          3.2723,          0.0477,          0.5650,          0.6773,          1.7177,          0.1971,          1.0922
          14,        0.108333,          2.0768,          3.0752,          2.7057,          2.2111,          2.0244,          2.7320,          0.5314,          1.0922,          1.9378,          3.5633,          0.0633,          0.7540,          0.8960,          2.1832,          0.6606,          1.0923
          15,        0.116667,          2.0770,          2.8201,          2.6733,          2.1704,          2.0708,          2.7409,          0.5893,          1.1252,          1.9617,          3.7660,          0.1949,          0.9138,          1.3198,          2.4781,          1.9070,          1.0924
          16,        0.125000,          2.0769,          2.6811,          2.6483,          2.1596,          2.0420,          2.7488,          0.6298,          1.1450,          1.9859,          3.9151,          0.2846,          1.0825,          1.5584,          2.7141,          2.6482,          1.0921
          17,        0.133333,          2.0770,          2.5947,          2.6322,          2.1555,          2.0468,          2.7506,          0.6637,          1.1790,          2.0031,          3.9403,          0.3555,          1.1197,          1.7292,          2.8854,          3.0500,          1.0922
          18,        0.141667,          2.0771,          2.5413,          2.6197,          2.1429,          2.0412,          2.7527,          0.6858,          1.1961,          2.0199,          3.3535,          0.4280,          1.2118,          1.8573,          3.0265,          3.2538,          1.0923
          19,        0.150000,          2.0771,          2.5023,          2.6089,          2.1320,          2.0353,          2.7564,          0.7016,          1.2076,          2.0273,          2.9634,          0.4650,          1.2978,          1.9442,          3.1314,          3.6098,          1.0922
          20,        0.158333,          2.0771,          2.4796,          2.5982,          2.1184,          2.0328,          2.7593,          0.7016,          1.2215,          2.0448,          2.7679,          0.4792,          1.3083,          2.0019,          3.1982,          4.4652,          1.0922
          21,        0.166667,          2.0771,          2.4625,          2.5895,          2.1058,          2.0293,          2.7623,          0.7008,          1.2015,          2.0468,          2.6774,          0.4856,          1.3215,          2.0430,          3.2191,          4.8596,          1.0922
          22,        0.175000,          2.0771,          2.4488,          2.5843,          2.1029,          2.0312,          2.7663,          0.7102,          1.1982,          2.0540,          2.6250,          0.4960,          1.3566,          2.0694,          3.2068,          4.9571,          1.0922
          23,        0.183333,          2.0771,          2.4397,          2.5810,          2.1000,          2.0332,          2.7683,          0.7198,          1.2170,          2.0747,          2.5877,          0.5001,          1.3894,          2.0873,          3.1952,          5.0301,          1.0922
          24,        0.191667,          2.0771,          2.4332,          2.5791,          2.0976,          2.0312,          2.7697,          0.7320,          1.2281,          2.0790,          2.5610,          0.4913,          1.3626,          2.1050,          3.1924,          5.0940,          1.0922
          25,        0.200000,          2.0771,          2.4273,          2.5772,          2.0926,          2.0306,          2.7710,          0.7451,          1.2392,          2.0789,          2.5429,          0.4916,          1.3822,          2.1182,          3.1989,          5.1477,          1.0922
          26,        0.208333,          2.0770,          2.4234,          2.5748,          2.0896,          2.0291,          2.7722,          0.7484,          1.2509,          2.0852,          2.5316,          0.4894,          1.4043,          2.1265,          3.1930,          5.1888,          1.0923
          27,        0.216667,          2.0770,          2.4207,          2.5721,          2.0827,          2.0289,          2.7726,          0.7490,          1.2356,          2.0782,          2.5231,          0.4779,          1.3847,          2.1331,          3.1966,          5.2202,          1.0922
          28,        0.225000,          2.0770,          2.4186,          2.5719,          2.0823,          2.0294,          2.7738,          0.7499,          1.2290,          2.0806,          2.5172,          0.4706,          1.3925,          2.1367,          3.2023,          5.2464,          1.0923
          29,        0.233333,          2.0770,          2.4169,          2.5721,          2.0848,          2.0320,          2.7736,          0.7527,          1.2277,          2.0866,          2.5097,          0.4646,          1.3950,          2.1383,          3.1996,          5.2633,          1.0922
          30,        0.241667,          2.0770,          2.4156,          2.5718,          2.0821,          2.0300,          2.7729,          0.7583,          1.2309,          2.0901,          2.5031,          0.4539,          1.3800,          2.1384,          3.2022,          5.2774,          1.0922
          31,        0.250000,          2.0769,          2.4147,          2.5716,          2.0801,          2.0289,          2.7735,          0.7653,          1.2368,          2.0917,          2.4978,          0.4641,          1.4132,          2.1364,          3.2053,          5.2894,          1.0922
          32,        0.258333,          2.0770,          2.4139,          2.5713,          2.0787,          2.0293,          2.7737,          0.7656,          1.2435,          2.0934,          2.4951,          0.4780,          1.4235,          2.1358,          3.1992,          5.2979,          1.0922
          33,        0.266667,          2.0770,          2.4132,          2.5711,          2.0774,          2.0293,          2.7736,          0.7645,          1.2326,          2.0887,          2.4942,          0.4860,          1.4120,          2.1366,          3.2048,          5.3052,          1.0922
          34,        0.275000,          2.0770,          2.4126,          2.5712,          2.0767,          2.0296,          2.7737,          0.7661,          1.2268,          2.0876,          2.4941,          0.4932,          1.4079,          2.1366,          3.2064,          5.3115,          1.0922
          35,        0.283333,          2.0770,          2.4121,          2.5713,          2.0759,          2.0297,          2.7736,          0.7678,          1.2301,          2.0937,          2.4920,          0.4949,          1.4004,          2.1363,          3.2059,          5.3156,          1.0922
          36,        0.291667,          2.0770,          2.4119,          2.5713,          2.0749,          2.0296,          2.7737,          0.7704,          1.2300,          2.0930,          2.4897,          0.4890,          1.3879,          2.1360,          3.2069,          5.3190,          1.0922
          37,        0.300000,          2.0769,          2.4116,          2.5714,          2.0740,          2.0297,          2.7736,          0.7720,          1.2309,          2.0931,          2.4885,          0.4959,          1.4103,          2.1347,          3.2070,          5.3221,          1.0922
          38,        0.308333,          2.0770,          2.4114,          2.5715,          2.0732,          2.0298,          2.7736,          0.7722,          1.2296,          2.0928,          2.4874,          0.5066,          1.4228,          2.1335,          3.2028,          5.3236,          1.0922
          39,        0.316667,          2.0770,          2.4112,          2.5717,          2.0725,          2.0298,          2.7738,          0.7727,          1.2259,          2.0919,          2.4874,          0.5057,          1.4036,          2.1342,          3.2059,          5.3248,          1.0922
          40,        0.325000,          2.0770,          2.4110,          2.5718,          2.0718,          2.0299,          2.7738,          0.7735,          1.2249,          2.0928,          2.4869,          0.5057,          1.4018,          2.1347,          3.2090,          5.3272,          1.0922
          41,        0.333333,          2.0769,          2.4109,          2.5720,          2.0709,          2.0299,          2.7737,          0.7745,          1.2243,          2.0936,          2.4858,          0.5056,          1.4036,          2.1344,          3.2062,          5.3280,          1.0922
          42,        0.341667,          2.0769,          2.4109,          2.5721,          2.0705,          2.0302,          2.7738,          0.7755,          1.2233,          2.0935,          2.4849,          0.5055,          1.4035,          2.1342,          3.2066,          5.3284,          1.0922
          43,        0.350000,          2.0770,          2.4109,          2.5723,          2.0696,          2.0301,          2.7737,          0.7760,          1.2229,          2.0937,          2.4844,          0.5089,          1.4103,          2.1339,          3.2065,          5.3295,          1.0922
          44,        0.358333,          2.0770,          2.4109,          2.5724,          2.0691,          2.0302,          2.7738,          0.7766,          1.2209,          2.0934,          2.4840,          0.5107,          1.4088,          2.1336,          3.2060,          5.3298,          1.0922
          45,        0.366667,          2.0769,          2.4108,          2.5725,          2.0684,          2.0303,          2.7738,          0.7772,          1.2202,          2.0935,          2.4839,          0.5108,          1.4056,          2.1337,          3.2072,          5.3304,          1.0922
          46,        0.375000,          2.0769,          2.4107,          2.5727,          2.0680,          2.0304,          2.7737,          0.7778,          1.2189,          2.0939,          2.4836,          0.5113,          1.4056,          2.1337,          3.2072,          5.3309,          1.0922
          47,        0.383333,          2.0770,          2.4107,          2.5728,          2.0673,          2.0304,          2.7737,          0.7785,          1.2181,          2.0936,          2.4833,          0.5113,          1.4048,          2.1336,          3.2068,          5.3310,          1.0922
          48,        0.391667,          2.0770,          2.4105,          2.5730,          2.0668,          2.0304,          2.7738,          0.7790,          1.2172,          2.0941,          2.4830,          0.5126,          1.4064,          2.1336,          3.2070,          5.3312,          1.0922
          49,        0.400000,          2.0770,          2.4106,          2.5731,          2.0664,          2.0305,          2.7738,          0.7796,          1.2158,          2.0937,          2.4828,          0.5132,          1.4059,          2.1335,          3.2066,          5.3314,          1.0922
          50,        0.408333,          2.0770,          2.4106,          2.5732,          2.0658,          2.0306,          2.7738,          0.7800,          1.2150,          2.0940,          2.4827,          0.5139,          1.4052,          2.1336,          3.2071,          5.3315,          1.0922
          51,        0.416667,          2.0770,          2.4107,          2.5733,          2.0654,          2.0307,          2.7739,          0.7806,          1.2138,          2.0939,          2.4824,          0.5144,          1.4051,          2.1335,          3.2070,          5.3317,          1.0922
          52,        0.425000,          2.0770,          2.4106,          2.5734,          2.0649,          2.0307,          2.7738,          0.7810,          1.2133,          2.0942,          2.4823,          0.5146,          1.4037,          2.1336,          3.2071,          5.3317,          1.0922
          53,        0.433333,          2.0769,          2.4106,          2.5735,          2.0645,          2.0307,          2.7738,          0.7815,          1.2120,          2.0941,          2.4821,          0.5153,          1.4046,          2.1336,          3.2071,          5.3319,          1.0922
          54,        0.441667,          2.0769,          2.4104,          2.5737,          2.0640,          2.0308,          2.7739,          0.7820,          1.2112,          2.0941,          2.4820,          0.5158,          1.4036,          2.1336,          3.2069,          5.3319,          1.0922
          55,        0.450000,          2.0770,          2.4104,          2.5738,          2.0637,          2.0309,          2.7739,          0.7824,          1.2103,          2.0943,          2.4818,          0.5165,          1.4037,          2.1336,          3.2071,          5.3320,          1.0922
          56,        0.458333,          2.0770,          2.4104,          2.5739,          2.0633,          2.0310,          2.7739,          0.7829,          1.2093,          2.0942,          2.4817,          0.5167,          1.4025,          2.1336,          3.2070,          5.3320,          1.0922
