"InphaseC4_017 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_InphaseC4\runs\InphaseC4_017.tcf]","Time (h)","V 2 [InphaseC4_017]","V 3 [InphaseC4_017]","V 4 [InphaseC4_017]","V 5 [InphaseC4_017]","V 6 [InphaseC4_017]","V 7 [InphaseC4_017]","V 8 [InphaseC4_017]","V 9 [InphaseC4_017]","V 10 [InphaseC4_017]","V 11 [InphaseC4_017]","V 12 [InphaseC4_017]","V 13 [InphaseC4_017]","V 14 [InphaseC4_017]","V 15 [InphaseC4_017]","V 16 [InphaseC4_017]","V  1 [InphaseC4_017]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          4.2095,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          3.3975
           3,        0.016667,          3.2111,          1.0402,          2.0712,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          3.2321
           4,        0.025000,          2.9003,          0.6369,          1.7081,          2.3849,          1.3877,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0000,          0.0001,          3.2244
           5,        0.033333,          2.2588,          0.7013,          1.6780,          2.4776,          2.5026,          0.0000,          1.9008,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0000,          0.0000,          0.0001,          3.2314
           6,        0.041667,          2.1259,          0.8491,          1.6902,          2.5329,          2.5824,          0.5125,          1.1831,          0.7953,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          0.0001,          0.0001,          2.5087
           7,        0.050000,          2.0846,          0.9523,          1.7295,          2.5921,          2.3883,          0.5490,          1.1445,          1.9388,          0.6705,          0.0925,          0.0001,          0.0000,          0.0000,          0.0001,          0.0000,          2.3228
           8,        0.058333,          2.0498,          0.9984,          1.7497,          2.6242,          2.1843,          0.6953,          1.2539,          2.2583,          0.8577,          0.8587,          0.8432,          0.0042,          0.0001,          0.0001,          0.0001,          2.2373
           9,        0.066667,          2.0272,          1.0347,          1.7525,          2.6375,          2.0998,          0.8299,          1.3633,          2.4537,          0.8357,          0.9967,          1.1793,          0.8629,          0.5812,          0.5187,          0.0003,          2.1927
          10,        0.075000,          2.0134,          1.0540,          1.7517,          2.6418,          2.0453,          0.9131,          1.4231,          2.5498,          0.9709,          1.0500,          1.3285,          1.0716,          0.9058,          0.8203,          0.6565,          2.1615
          11,        0.083333,          2.0067,          1.0668,          1.7524,          2.6501,          2.0098,          0.9694,          1.4577,          2.4286,          1.1007,          1.1491,          1.4395,          1.3252,          1.2146,          1.3689,          1.1240,          2.1444
          12,        0.091667,          2.0027,          1.0741,          1.7532,          2.6448,          1.9890,          1.0072,          1.4810,          2.3703,          1.1643,          1.2134,          1.5656,          1.7196,          1.6484,          1.6835,          1.3426,          2.1339
          13,        0.100000,          2.0002,          1.0784,          1.7537,          2.6291,          1.9771,          1.0320,          1.4963,          2.2958,          1.2393,          1.2766,          1.7164,          1.9369,          1.7705,          1.7648,          1.4754,          2.1278
          14,        0.108333,          1.9986,          1.0808,          1.7539,          2.6118,          1.9699,          1.0478,          1.5061,          2.2590,          1.2950,          1.3385,          1.7949,          2.0532,          1.8605,          1.8096,          1.5147,          2.1241
          15,        0.116667,          1.9977,          1.0824,          1.7540,          2.5999,          1.9652,          1.0573,          1.5122,          2.2483,          1.3446,          1.3719,          1.8222,          2.1196,          1.9080,          1.8366,          1.5376,          2.1220
          16,        0.125000,          1.9972,          1.0829,          1.7540,          2.5919,          1.9622,          1.0637,          1.5159,          2.2616,          1.3624,          1.3847,          1.8354,          2.1436,          1.9254,          1.8549,          1.5623,          2.1206
          17,        0.133333,          1.9969,          1.0834,          1.7539,          2.5866,          1.9604,          1.0677,          1.5182,          2.2669,          1.3681,          1.3896,          1.8407,          2.1466,          1.9349,          1.8728,          1.5818,          2.1198
          18,        0.141667,          1.9967,          1.0837,          1.7539,          2.5831,          1.9591,          1.0701,          1.5197,          2.2655,          1.3711,          1.3932,          1.8434,          2.1505,          1.9411,          1.8844,          1.5945,          2.1193
          19,        0.150000,          1.9965,          1.0839,          1.7540,          2.5808,          1.9584,          1.0716,          1.5207,          2.2630,          1.3741,          1.3959,          1.8455,          2.1560,          1.9462,          1.8918,          1.6018,          2.1189
          20,        0.158333,          1.9965,          1.0840,          1.7539,          2.5793,          1.9580,          1.0726,          1.5213,          2.2611,          1.3765,          1.3978,          1.8469,          2.1607,          1.9503,          1.8966,          1.6063,          2.1187
          21,        0.166667,          1.9964,          1.0841,          1.7540,          2.5786,          1.9576,          1.0732,          1.5217,          2.2596,          1.3782,          1.3991,          1.8481,          2.1640,          1.9532,          1.8999,          1.6091,          2.1186
          22,        0.175000,          1.9964,          1.0842,          1.7540,          2.5779,          1.9575,          1.0733,          1.5219,          2.2583,          1.3793,          1.4001,          1.8490,          2.1661,          1.9551,          1.9023,          1.6111,          2.1185
          23,        0.183333,          1.9963,          1.0842,          1.7539,          2.5776,          1.9574,          1.0736,          1.5220,          2.2575,          1.3801,          1.4007,          1.8494,          2.1675,          1.9564,          1.9039,          1.6127,          2.1185
          24,        0.191667,          1.9963,          1.0842,          1.7540,          2.5774,          1.9573,          1.0737,          1.5221,          2.2568,          1.3807,          1.4012,          1.8498,          2.1684,          1.9573,          1.9050,          1.6137,          2.1184
          25,        0.200000,          1.9963,          1.0842,          1.7540,          2.5772,          1.9572,          1.0738,          1.5221,          2.2563,          1.3811,          1.4015,          1.8501,          2.1690,          1.9579,          1.9058,          1.6144,          2.1184
          26,        0.208333,          1.9963,          1.0842,          1.7540,          2.5771,          1.9572,          1.0739,          1.5222,          2.2561,          1.3813,          1.4016,          1.8502,          2.1695,          1.9583,          1.9063,          1.6148,          2.1183
