"InphaseC4_017 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_InphaseC4\runs\InphaseC4_017.tcf]","Time (h)","Q 2 [InphaseC4_017]","Q 3 [InphaseC4_017]","Q 4 [InphaseC4_017]","Q 5 [InphaseC4_017]","Q 6 [InphaseC4_017]","Q 7 [InphaseC4_017]","Q 1 [InphaseC4_017]","Q  8 [InphaseC4_017]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,         -0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -58.1875,          0.0003
           3,        0.016667,        -52.3471,          0.0000,          0.0000,          0.0000,          0.0000,          0.0013,        -60.0602,         -0.0009
           4,        0.025000,        -49.6285,        -30.1449,          0.0000,          0.0000,          0.0000,         -0.0003,        -60.0465,         -0.0002
           5,        0.033333,        -49.2673,        -40.7138,        -30.8329,          0.0000,         -0.0000,         -0.0002,        -59.9150,         -0.0001
           6,        0.041667,        -52.5007,        -46.4953,        -37.9691,        -18.9131,          0.0001,          0.0001,        -56.8705,         -0.0006
           7,        0.050000,        -56.0341,        -51.7173,        -40.2717,        -29.0650,         -0.2914,         -0.0001,        -58.1699,         -0.0006
           8,        0.058333,        -57.7668,        -55.3148,        -46.0677,        -37.7258,        -25.6428,          0.0009,        -59.0018,         -0.0019
           9,        0.066667,        -58.6227,        -57.2383,        -51.6482,        -45.6811,        -34.0075,        -22.2099,        -59.3753,         -1.0964
          10,        0.075000,        -59.1178,        -58.3183,        -54.6684,        -51.0921,        -41.7418,        -32.5212,        -59.5638,        -29.2923
          11,        0.083333,        -59.4703,        -58.9683,        -56.4681,        -54.2908,        -47.5693,        -42.3947,        -59.7338,        -48.7411
          12,        0.091667,        -59.6879,        -59.3827,        -57.7007,        -56.2991,        -51.6301,        -55.0458,        -59.8425,        -55.9872
          13,        0.100000,        -59.8145,        -59.6310,        -58.5477,        -57.6430,        -54.5405,        -56.0052,        -59.9082,        -57.6306
          14,        0.108333,        -59.8879,        -59.7754,        -59.0926,        -58.5155,        -57.0991,        -57.0423,        -59.9441,        -57.4571
          15,        0.116667,        -59.9315,        -59.8605,        -59.4290,        -59.0675,        -58.4205,        -57.9405,        -59.9660,        -57.7016
          16,        0.125000,        -59.9584,        -59.9132,        -59.6384,        -59.4080,        -59.0253,        -58.4646,        -59.9792,        -58.2274
          17,        0.133333,        -59.9742,        -59.9455,        -59.7692,        -59.6234,        -59.2884,        -58.9162,        -59.9875,        -58.8193
          18,        0.141667,        -59.9828,        -59.9654,        -59.8538,        -59.7627,        -59.4895,        -59.2518,        -59.9913,        -59.2242
          19,        0.150000,        -59.9897,        -59.9775,        -59.9073,        -59.8496,        -59.6507,        -59.4872,        -59.9946,        -59.4735
          20,        0.158333,        -59.9932,        -59.9859,        -59.9418,        -59.9045,        -59.7648,        -59.6534,        -59.9969,        -59.6377
          21,        0.166667,        -59.9962,        -59.9914,        -59.9618,        -59.9392,        -59.8412,        -59.7640,        -59.9981,        -59.7523
          22,        0.175000,        -59.9968,        -59.9945,        -59.9751,        -59.9609,        -59.8919,        -59.8400,        -59.9989,        -59.8310
          23,        0.183333,        -59.9989,        -59.9965,        -59.9853,        -59.9749,        -59.9282,        -59.8917,        -59.9987,        -59.8866
          24,        0.191667,        -59.9993,        -59.9979,        -59.9902,        -59.9839,        -59.9529,        -59.9292,        -59.9994,        -59.9246
          25,        0.200000,        -59.9997,        -59.9986,        -59.9932,        -59.9899,        -59.9694,        -59.9530,        -59.9999,        -59.9496
          26,        0.208333,        -60.0002,        -59.9993,        -59.9969,        -59.9940,        -59.9796,        -59.9690,        -59.9997,        -59.9672
          27,        0.216667,        -59.9995,        -59.9996,        -59.9972,        -59.9966,        -59.9869,        -59.9797,        -60.0006,        -59.9783
          28,        0.225000,        -59.9997,        -59.9997,        -59.9985,        -59.9974,        -59.9910,        -59.9876,        -60.0007,        -59.9858
          29,        0.233333,        -59.9996,        -60.0000,        -59.9981,        -59.9989,        -59.9953,        -59.9916,        -60.0004,        -59.9927
          30,        0.241667,        -59.9995,        -59.9999,        -59.9993,        -59.9989,        -59.9959,        -59.9944,        -60.0009,        -59.9944
          31,        0.250000,        -59.9994,        -60.0000,        -59.9999,        -59.9983,        -59.9966,        -59.9965,        -60.0005,        -59.9974
