"VanillaC4_018 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\runs\VanillaC4_018.tcf]","Time (h)","V 2 [VanillaC4_018]","V 3 [VanillaC4_018]","V 4 [VanillaC4_018]","V 5 [VanillaC4_018]","V 6 [VanillaC4_018]","V 7 [VanillaC4_018]","V 8 [VanillaC4_018]","V 9 [VanillaC4_018]","V 10 [VanillaC4_018]","V 11 [VanillaC4_018]","V 12 [VanillaC4_018]","V 13 [VanillaC4_018]","V 14 [VanillaC4_018]","V 15 [VanillaC4_018]","V 16 [VanillaC4_018]","V  1 [VanillaC4_018]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          3.2020,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          2.9854
           3,        0.016667,          2.6114,          2.1847,          2.7106,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          2.4909
           4,        0.025000,          2.3999,          2.0618,          2.4765,          2.5015,          2.4868,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          0.0001,          2.3304
           5,        0.033333,          2.2988,          1.9952,          2.3506,          2.3721,          2.4564,          1.7908,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0000,          0.0000,          0.0001,          2.2394
           6,        0.041667,          2.2363,          1.9523,          2.2759,          2.2896,          2.3620,          1.9239,          1.7436,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0000,          0.0001,          0.0000,          2.1800
           7,        0.050000,          2.1946,          1.9233,          2.2267,          2.2359,          2.2990,          1.9222,          1.9012,          1.6434,          1.1717,          0.0001,          0.0001,          0.0001,          0.0000,          0.0000,          0.0002,          2.1405
           8,        0.058333,          2.1661,          1.9042,          2.1920,          2.1968,          2.2542,          1.9065,          1.9184,          1.8355,          1.5679,          1.2630,          0.0002,          0.0001,          0.0001,          0.0001,          0.0001,          2.1127
           9,        0.066667,          2.1455,          1.8898,          2.1672,          2.1690,          2.2215,          1.8919,          1.9144,          1.8831,          1.7454,          1.5448,          1.1114,          0.9930,          0.8323,          0.0001,          0.0001,          2.0927
          10,        0.075000,          2.1305,          1.8789,          2.1493,          2.1488,          2.1968,          1.8776,          1.9031,          1.8944,          1.8145,          1.6848,          1.2614,          1.2549,          1.2132,          0.9265,          0.6669,          2.0782
          11,        0.083333,          2.1194,          1.8707,          2.1358,          2.1337,          2.1780,          1.8666,          1.8953,          1.8954,          1.8438,          1.7561,          1.3723,          1.4027,          1.4556,          1.1941,          1.4469,          2.0676
          12,        0.091667,          2.1110,          1.8643,          2.1254,          2.1218,          2.1643,          1.8587,          1.8864,          1.8928,          1.8588,          1.7919,          1.4550,          1.5095,          1.6273,          1.7148,          1.6897,          2.0599
          13,        0.100000,          2.1048,          1.8594,          2.1173,          2.1126,          2.1534,          1.8516,          1.8787,          1.8891,          1.8660,          1.8174,          1.5254,          1.6901,          1.8995,          1.8785,          1.7955,          2.0540
          14,        0.108333,          2.1001,          1.8557,          2.1111,          2.1054,          2.1448,          1.8457,          1.8733,          1.8870,          1.8707,          1.8372,          1.6557,          1.8306,          1.9967,          1.9369,          1.8466,          2.0496
          15,        0.116667,          2.0965,          1.8528,          2.1062,          2.0997,          2.1381,          1.8410,          1.8688,          1.8844,          1.8749,          1.8816,          1.7189,          1.8670,          2.0340,          1.9669,          1.8755,          2.0465
          16,        0.125000,          2.0937,          1.8506,          2.1023,          2.0952,          2.1328,          1.8373,          1.8651,          1.8823,          1.8917,          1.9184,          1.7384,          1.8863,          2.0543,          1.9871,          1.8985,          2.0439
          17,        0.133333,          2.0914,          1.8489,          2.0995,          2.0917,          2.1286,          1.8343,          1.8623,          1.8842,          1.9087,          1.9319,          1.7492,          1.8985,          2.0676,          2.0028,          1.9184,          2.0417
          18,        0.141667,          2.0898,          1.8475,          2.0973,          2.0891,          2.1253,          1.8320,          1.8607,          1.8902,          1.9157,          1.9384,          1.7562,          1.9064,          2.0769,          2.0153,          1.9354,          2.0404
          19,        0.150000,          2.0883,          1.8464,          2.0954,          2.0871,          2.1230,          1.8302,          1.8614,          1.8934,          1.9188,          1.9420,          1.7612,          1.9121,          2.0838,          2.0255,          1.9494,          2.0390
          20,        0.158333,          2.0874,          1.8455,          2.0940,          2.0854,          2.1211,          1.8294,          1.8626,          1.8945,          1.9203,          1.9440,          1.7648,          1.9167,          2.0891,          2.0336,          1.9607,          2.0383
          21,        0.166667,          2.0865,          1.8449,          2.0929,          2.0842,          2.1199,          1.8295,          1.8629,          1.8951,          1.9214,          1.9453,          1.7674,          1.9201,          2.0932,          2.0400,          1.9698,          2.0374
          22,        0.175000,          2.0858,          1.8443,          2.0921,          2.0833,          2.1192,          1.8294,          1.8630,          1.8953,          1.9219,          1.9462,          1.7696,          1.9228,          2.0966,          2.0451,          1.9769,          2.0368
          23,        0.183333,          2.0854,          1.8439,          2.0914,          2.0827,          2.1186,          1.8292,          1.8629,          1.8954,          1.9223,          1.9469,          1.7714,          1.9250,          2.0989,          2.0492,          1.9826,          2.0361
          24,        0.191667,          2.0850,          1.8437,          2.0910,          2.0823,          2.1182,          1.8291,          1.8627,          1.8954,          1.9224,          1.9474,          1.7727,          1.9268,          2.1010,          2.0524,          1.9871,          2.0358
          25,        0.200000,          2.0847,          1.8434,          2.0907,          2.0820,          2.1179,          1.8289,          1.8626,          1.8953,          1.9226,          1.9478,          1.7738,          1.9281,          2.1025,          2.0548,          1.9906,          2.0356
          26,        0.208333,          2.0845,          1.8432,          2.0904,          2.0818,          2.1176,          1.8287,          1.8625,          1.8953,          1.9227,          1.9481,          1.7746,          1.9291,          2.1038,          2.0568,          1.9935,          2.0354
          27,        0.216667,          2.0843,          1.8431,          2.0902,          2.0816,          2.1173,          1.8286,          1.8624,          1.8952,          1.9228,          1.9484,          1.7753,          1.9300,          2.1048,          2.0584,          1.9957,          2.0354
          28,        0.225000,          2.0842,          1.8430,          2.0900,          2.0814,          2.1172,          1.8285,          1.8623,          1.8952,          1.9228,          1.9485,          1.7757,          1.9306,          2.1055,          2.0595,          1.9974,          2.0352
          29,        0.233333,          2.0840,          1.8429,          2.0899,          2.0813,          2.1170,          1.8284,          1.8622,          1.8952,          1.9228,          1.9487,          1.7761,          1.9311,          2.1061,          2.0606,          1.9989,          2.0352
          30,        0.241667,          2.0839,          1.8429,          2.0899,          2.0812,          2.1169,          1.8283,          1.8622,          1.8951,          1.9228,          1.9488,          1.7764,          1.9316,          2.1065,          2.0614,          1.9999,          2.0350
          31,        0.250000,          2.0839,          1.8428,          2.0898,          2.0811,          2.1168,          1.8283,          1.8621,          1.8951,          1.9229,          1.9489,          1.7767,          1.9318,          2.1070,          2.0619,          2.0008,          2.0350
