"VanillaC4_018 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\runs\VanillaC4_018.tcf]","Time (h)","Q 2 [VanillaC4_018]","Q 3 [VanillaC4_018]","Q 4 [VanillaC4_018]","Q 5 [VanillaC4_018]","Q 6 [VanillaC4_018]","Q 7 [VanillaC4_018]","Q 1 [VanillaC4_018]","Q  8 [VanillaC4_018]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -60.8988,          0.0013
           3,        0.016667,        -52.8915,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0005,        -66.1399,          0.0004
           4,        0.025000,        -60.9615,        -41.1977,          0.0000,          0.0000,          0.0000,         -0.0003,        -67.4130,          0.0005
           5,        0.033333,        -64.3269,        -53.8433,        -27.3020,          0.0000,         -0.0004,         -0.0006,        -68.2663,          0.0004
           6,        0.041667,        -66.2350,        -59.7216,        -45.8202,        -21.8197,         -0.0002,         -0.0000,        -68.8092,          0.0004
           7,        0.050000,        -67.3656,        -63.0215,        -54.2840,        -40.8922,          0.0004,         -0.0005,        -69.1581,          0.0006
           8,        0.058333,        -68.1179,        -65.0785,        -59.1826,        -50.6388,        -27.7681,         -0.0013,        -69.3969,          0.0008
           9,        0.066667,        -68.6323,        -66.4311,        -62.2586,        -56.4058,        -40.4404,        -25.9133,        -69.5634,         -0.0004
          10,        0.075000,        -68.9963,        -67.3723,        -64.3386,        -60.1584,        -48.6073,        -39.9959,        -69.6798,        -30.6817
          11,        0.083333,        -69.2521,        -68.0430,        -65.7727,        -62.7084,        -54.1938,        -47.9518,        -69.7581,        -50.6330
          12,        0.091667,        -69.4376,        -68.5246,        -66.8131,        -64.5190,        -58.1361,        -54.1879,        -69.8240,        -60.7316
          13,        0.100000,        -69.5719,        -68.8787,        -67.5796,        -65.8283,        -61.0548,        -61.6204,        -69.8618,        -62.7796
          14,        0.108333,        -69.6742,        -69.1396,        -68.1447,        -66.8109,        -63.2873,        -64.0446,        -69.8979,        -63.9004
          15,        0.116667,        -69.7458,        -69.3370,        -68.5703,        -67.5466,        -65.4983,        -65.2308,        -69.9208,        -64.7833
          16,        0.125000,        -69.8027,        -69.4822,        -68.8923,        -68.1073,        -66.8522,        -66.1505,        -69.9370,        -65.6342
          17,        0.133333,        -69.8459,        -69.5947,        -69.1364,        -68.5346,        -67.6053,        -66.8934,        -69.9498,        -66.4186
          18,        0.141667,        -69.8812,        -69.6836,        -69.3252,        -68.8931,        -68.1484,        -67.5127,        -69.9629,        -67.1088
          19,        0.150000,        -69.9063,        -69.7526,        -69.4707,        -69.1813,        -68.5572,        -68.0196,        -69.9714,        -67.6892
          20,        0.158333,        -69.9268,        -69.8058,        -69.5939,        -69.3837,        -68.8684,        -68.4307,        -69.9776,        -68.1660
          21,        0.166667,        -69.9430,        -69.8476,        -69.6932,        -69.5277,        -69.1044,        -68.7527,        -69.9825,        -68.5486
          22,        0.175000,        -69.9538,        -69.8814,        -69.7683,        -69.6365,        -69.2955,        -69.0135,        -69.9847,        -68.8454
          23,        0.183333,        -69.9642,        -69.9089,        -69.8222,        -69.7190,        -69.4468,        -69.2220,        -69.9893,        -69.0884
          24,        0.191667,        -69.9734,        -69.9311,        -69.8641,        -69.7813,        -69.5666,        -69.3880,        -69.9912,        -69.2804
          25,        0.200000,        -69.9792,        -69.9476,        -69.8946,        -69.8298,        -69.6595,        -69.5179,        -69.9909,        -69.4331
          26,        0.208333,        -69.9836,        -69.9593,        -69.9190,        -69.8677,        -69.7339,        -69.6228,        -69.9940,        -69.5545
          27,        0.216667,        -69.9877,        -69.9687,        -69.9366,        -69.8971,        -69.7918,        -69.7027,        -69.9964,        -69.6507
          28,        0.225000,        -69.9901,        -69.9761,        -69.9510,        -69.9194,        -69.8366,        -69.7678,        -69.9961,        -69.7254
          29,        0.233333,        -69.9927,        -69.9813,        -69.9618,        -69.9371,        -69.8720,        -69.8170,        -69.9971,        -69.7849
          30,        0.241667,        -69.9939,        -69.9856,        -69.9700,        -69.9511,        -69.9001,        -69.8570,        -69.9987,        -69.8326
          31,        0.250000,        -69.9959,        -69.9891,        -69.9767,        -69.9615,        -69.9219,        -69.8893,        -69.9989,        -69.8688
          32,        0.258333,        -69.9967,        -69.9913,        -69.9821,        -69.9702,        -69.9391,        -69.9122,        -69.9991,        -69.8968
          33,        0.266667,        -69.9973,        -69.9926,        -69.9858,        -69.9767,        -69.9523,        -69.9319,        -69.9988,        -69.9183
          34,        0.275000,        -69.9979,        -69.9947,        -69.9888,        -69.9819,        -69.9626,        -69.9454,        -69.9994,        -69.9372
          35,        0.283333,        -69.9982,        -69.9957,        -69.9914,        -69.9862,        -69.9710,        -69.9569,        -69.9988,        -69.9504
          36,        0.291667,        -69.9988,        -69.9969,        -69.9932,        -69.9889,        -69.9773,        -69.9675,        -69.9988,        -69.9614
          37,        0.300000,        -69.9989,        -69.9974,        -69.9949,        -69.9913,        -69.9821,        -69.9746,        -69.9997,        -69.9689
          38,        0.308333,        -69.9990,        -69.9983,        -69.9957,        -69.9931,        -69.9866,        -69.9800,        -70.0004,        -69.9762
          39,        0.316667,        -69.9996,        -69.9988,        -69.9964,        -69.9947,        -69.9891,        -69.9839,        -70.0000,        -69.9808
          40,        0.325000,        -69.9996,        -69.9986,        -69.9975,        -69.9957,        -69.9912,        -69.9861,        -69.9998,        -69.9848
          41,        0.333333,        -70.0002,        -69.9992,        -69.9983,        -69.9965,        -69.9933,        -69.9893,        -70.0005,        -69.9884
          42,        0.341667,        -69.9992,        -69.9994,        -69.9982,        -69.9974,        -69.9947,        -69.9924,        -70.0002,        -69.9913
          43,        0.350000,        -69.9995,        -69.9996,        -69.9988,        -69.9980,        -69.9959,        -69.9933,        -70.0008,        -69.9920
          44,        0.358333,        -69.9994,        -69.9996,        -69.9993,        -69.9982,        -69.9968,        -69.9955,        -70.0001,        -69.9951
