"InphaseC4_010 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_InphaseC4\runs\InphaseC4_010.tcf]","Time (h)","Q 2 [InphaseC4_010]","Q 3 [InphaseC4_010]","Q 4 [InphaseC4_010]","Q 5 [InphaseC4_010]","Q 6 [InphaseC4_010]","Q 7 [InphaseC4_010]","Q 1 [InphaseC4_010]","Q  8 [InphaseC4_010]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -7.7305,         -0.0008
           3,        0.016667,         -5.3563,          0.0000,          0.0001,          0.0000,          0.0000,         -0.0000,        -10.0166,         -0.0016
           4,        0.025000,         -6.6003,          0.0000,         -0.0000,          0.0000,         -0.0003,         -0.0015,         -9.9738,          0.0009
           5,        0.033333,         -4.8103,          0.0000,          0.0001,          0.0000,          0.0005,          0.0019,         -9.9960,         -0.0009
           6,        0.041667,         -5.2790,          0.0000,         -0.0001,          0.0000,         -0.0001,         -0.0018,        -10.0084,          0.0017
           7,        0.050000,         -6.2882,          0.0000,          0.0000,          0.0000,          0.0003,          0.0000,        -10.0082,         -0.0008
           8,        0.058333,         -6.4806,         -1.3261,          0.0002,          0.0000,         -0.0005,          0.0009,         -9.7804,          0.0009
           9,        0.066667,         -6.8425,         -2.8799,          0.0003,          0.0000,         -0.0002,          0.0018,         -9.5630,          0.0001
          10,        0.075000,         -7.5834,         -4.2077,         -1.0948,          0.0000,          0.0003,         -0.0042,         -9.5710,         -0.0022
          11,        0.083333,         -8.1624,         -5.4945,         -2.9475,          0.0000,         -0.0003,         -0.0013,         -9.6420,         -0.0027
          12,        0.091667,         -8.5364,         -6.5822,         -3.2617,          0.0000,          0.0001,          0.0010,         -9.6846,          0.0040
          13,        0.100000,         -8.8755,         -7.4014,         -4.1545,          0.0000,         -0.0003,          0.0034,         -9.7365,          0.0016
          14,        0.108333,         -9.1653,         -8.0469,         -4.8056,          0.0000,         -0.0006,         -0.0014,         -9.8013,         -0.0011
          15,        0.116667,         -9.3839,         -8.5519,         -5.1232,          0.0000,         -0.0001,         -0.0002,         -9.8490,          0.0000
          16,        0.125000,         -9.5404,         -8.9314,         -5.6033,         -0.5406,         -0.0003,          0.0008,         -9.8844,          0.0017
          17,        0.133333,         -9.6566,         -9.2121,         -6.1272,         -1.5169,          0.0007,          0.0008,         -9.9113,         -0.0021
          18,        0.141667,         -9.7495,         -9.4195,         -6.6499,         -2.6983,         -0.0000,         -0.0017,         -9.9354,          0.0010
