"InphaseC4_010 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_InphaseC4\runs\InphaseC4_010.tcf]","Time (h)","V 2 [InphaseC4_010]","V 3 [InphaseC4_010]","V 4 [InphaseC4_010]","V 5 [InphaseC4_010]","V 6 [InphaseC4_010]","V 7 [InphaseC4_010]","V 8 [InphaseC4_010]","V 9 [InphaseC4_010]","V 10 [InphaseC4_010]","V 11 [InphaseC4_010]","V 12 [InphaseC4_010]","V 13 [InphaseC4_010]","V 14 [InphaseC4_010]","V 15 [InphaseC4_010]","V 16 [InphaseC4_010]","V  1 [InphaseC4_010]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          2.2168
           3,        0.016667,          2.3503,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          2.2237
           4,        0.025000,          2.2358,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          2.2191
           5,        0.033333,          1.5657,          0.0000,          0.3304,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0003,          0.0002,          0.0000,          0.0001,          2.2172
           6,        0.041667,          1.2218,          0.0000,          0.3175,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0000,          0.0001,          0.0000,          0.0000,          2.2183
           7,        0.050000,          1.1027,          0.0347,          0.4239,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0000,          0.0002,          0.0001,          0.0001,          0.0001,          2.2216
           8,        0.058333,          0.9970,          0.0292,          0.4472,          0.7754,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0004,          0.0001,          0.0000,          0.0001,          2.2230
           9,        0.066667,          0.9302,          0.0499,          0.4779,          1.1139,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0007,          0.0001,          0.0001,          0.0001,          1.9395
          10,        0.075000,          0.9021,          0.0911,          0.5262,          1.2746,          1.5366,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0005,          0.0002,          0.0000,          0.0002,          1.6112
          11,        0.083333,          0.8777,          0.1198,          0.5658,          1.3928,          1.7592,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          1.4937
          12,        0.091667,          0.8546,          0.1355,          0.5901,          1.4746,          1.9177,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0000,          0.0001,          0.0002,          0.0002,          0.0001,          1.4186
          13,        0.100000,          0.8395,          0.1479,          0.6097,          1.5284,          2.0161,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0003,          0.0001,          0.0002,          1.3652
          14,        0.108333,          0.8297,          0.1587,          0.6258,          1.5672,          1.7089,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0000,          0.0007,          0.0002,          0.0002,          0.0001,          1.3288
          15,        0.116667,          0.8214,          0.1675,          0.6374,          1.5955,          1.3445,          0.0000,          0.1660,          0.0000,          0.0000,          0.0001,          0.0000,          0.0002,          0.0001,          0.0000,          0.0001,          1.3030
          16,        0.125000,          0.8145,          0.1740,          0.6455,          1.6157,          1.1624,          0.0000,          0.2299,          0.0000,          0.0000,          0.0002,          0.0000,          0.0001,          0.0001,          0.0002,          0.0000,          1.2839
          17,        0.133333,          0.8093,          0.1785,          0.6519,          1.6303,          1.0512,          0.0000,          0.2867,          0.0000,          0.0000,          0.0001,          0.0000,          0.0001,          0.0000,          0.0001,          0.0001,          1.2705
          18,        0.141667,          0.8058,          0.1821,          0.6564,          1.6408,          0.9802,          0.0000,          0.3377,          0.0000,          0.0000,          0.0003,          0.0000,          0.0003,          0.0002,          0.0000,          0.0002,          1.2606
          19,        0.150000,          0.8031,          0.1848,          0.6597,          1.6485,          0.9272,          0.0000,          0.3833,          0.4343,          0.1769,          0.0001,          0.0000,          0.0007,          0.0001,          0.0000,          0.0001,          1.2538
          20,        0.158333,          0.8009,          0.1868,          0.6619,          1.6542,          0.8964,          0.0000,          0.4224,          0.7458,          0.1130,          0.1978,          0.0000,          0.0006,          0.0001,          0.0001,          0.0001,          1.2483
          21,        0.166667,          0.7992,          0.1882,          0.6637,          1.6581,          0.8729,          0.0000,          0.4552,          0.9361,          0.1138,          0.1740,          0.0000,          0.0004,          0.0001,          0.0000,          0.0001,          1.2445
          22,        0.175000,          0.7981,          0.1894,          0.6649,          1.6610,          0.8551,          0.0454,          0.4795,          1.0644,          0.0420,          0.1601,          0.0000,          0.0001,          0.0001,          0.0002,          0.0001,          1.2419
          23,        0.183333,          0.7975,          0.1901,          0.6658,          1.6631,          0.8425,          0.0667,          0.4985,          1.1563,          0.0348,          0.2101,          0.0000,          0.0005,          0.0001,          0.0001,          0.0001,          1.2399
          24,        0.191667,          0.7969,          0.1907,          0.6666,          1.6647,          0.8334,          0.0795,          0.5134,          1.2230,          0.0289,          0.2383,          0.1779,          0.1110,          0.0031,          0.0000,          0.0001,          1.2385
          25,        0.200000,          0.7964,          0.1911,          0.6670,          1.6658,          0.8267,          0.0891,          0.5247,          1.2681,          0.0186,          0.2370,          0.3759,          0.2233,          0.0906,          0.0290,          0.0004,          1.2374
          26,        0.208333,          0.7961,          0.1914,          0.6674,          1.6667,          0.8214,          0.0956,          0.5333,          1.3013,          0.0234,          0.2387,          0.4956,          0.4036,          0.1879,          0.0885,          0.0551,          1.2367
          27,        0.216667,          0.7959,          0.1916,          0.6677,          1.6673,          0.8174,          0.1007,          0.5398,          1.3258,          0.0421,          0.2517,          0.5932,          0.6597,          0.3264,          0.1474,          0.1567,          1.2361
          28,        0.225000,          0.7957,          0.1919,          0.6679,          1.6678,          0.8141,          0.1047,          0.5445,          1.3441,          0.0566,          0.2646,          0.6679,          0.9021,          0.5726,          0.2379,          0.2441,          1.2357
          29,        0.233333,          0.7955,          0.1919,          0.6680,          1.6680,          0.8116,          0.1077,          0.5480,          1.3575,          0.0723,          0.2754,          0.7226,          1.1645,          0.7216,          0.3046,          0.3139,          1.2354
          30,        0.241667,          0.7954,          0.1921,          0.6682,          1.6683,          0.8099,          0.1099,          0.5508,          1.3677,          0.0886,          0.2870,          0.7628,          1.2867,          0.8245,          0.3362,          0.3521,          1.2352
          31,        0.250000,          0.7954,          0.1921,          0.6682,          1.6685,          0.8086,          0.1116,          0.5528,          1.3747,          0.1037,          0.2960,          0.7940,          1.3560,          0.9117,          0.3721,          0.3787,          1.2351
          32,        0.258333,          0.7953,          0.1921,          0.6683,          1.6686,          0.8077,          0.1127,          0.5543,          1.3799,          0.1144,          0.3041,          0.8167,          1.4021,          0.9770,          0.4120,          0.4049,          1.2349
          33,        0.266667,          0.7953,          0.1922,          0.6683,          1.6688,          0.8070,          0.1138,          0.5554,          1.3839,          0.1241,          0.3112,          0.8341,          1.4373,          1.0200,          0.4578,          0.4301,          1.2348
          34,        0.275000,          0.7952,          0.1923,          0.6684,          1.6688,          0.8064,          0.1144,          0.5563,          1.3872,          0.1319,          0.3171,          0.8477,          1.4624,          1.0539,          0.4895,          0.4533,          1.2348
          35,        0.283333,          0.7952,          0.1922,          0.6684,          1.6689,          0.8059,          0.1150,          0.5569,          1.3899,          0.1379,          0.3213,          0.8576,          1.4819,          1.0780,          0.5128,          0.4732,          1.2348
          36,        0.291667,          0.7952,          0.1923,          0.6684,          1.6689,          0.8056,          0.1154,          0.5575,          1.3919,          0.1428,          0.3247,          0.8652,          1.4958,          1.0953,          0.5292,          0.4901,          1.2347
          37,        0.300000,          0.7952,          0.1922,          0.6684,          1.6690,          0.8052,          0.1157,          0.5577,          1.3932,          0.1469,          0.3272,          0.8711,          1.5065,          1.1091,          0.5417,          0.5097,          1.2347
          38,        0.308333,          0.7952,          0.1923,          0.6685,          1.6690,          0.8049,          0.1160,          0.5581,          1.3943,          0.1502,          0.3293,          0.8752,          1.5147,          1.1192,          0.5509,          0.5229,          1.2347
          39,        0.316667,          0.7952,          0.1923,          0.6684,          1.6689,          0.8047,          0.1160,          0.5581,          1.3951,          0.1527,          0.3308,          0.8785,          1.5208,          1.1268,          0.5574,          0.5318,          1.2346
          40,        0.325000,          0.7951,          0.1923,          0.6683,          1.6690,          0.8046,          0.1163,          0.5584,          1.3957,          0.1546,          0.3321,          0.8809,          1.5255,          1.1324,          0.5624,          0.5382,          1.2347
          41,        0.333333,          0.7951,          0.1922,          0.6684,          1.6689,          0.8045,          0.1162,          0.5585,          1.3962,          0.1559,          0.3330,          0.8827,          1.5286,          1.1367,          0.5661,          0.5428,          1.2346
          42,        0.341667,          0.7952,          0.1923,          0.6684,          1.6690,          0.8044,          0.1164,          0.5586,          1.3964,          0.1569,          0.3337,          0.8842,          1.5314,          1.1399,          0.5689,          0.5462,          1.2346
          43,        0.350000,          0.7951,          0.1923,          0.6685,          1.6690,          0.8044,          0.1163,          0.5586,          1.3968,          0.1577,          0.3341,          0.8851,          1.5332,          1.1422,          0.5711,          0.5487,          1.2346
          44,        0.358333,          0.7952,          0.1923,          0.6685,          1.6689,          0.8043,          0.1164,          0.5586,          1.3971,          0.1582,          0.3345,          0.8858,          1.5348,          1.1440,          0.5727,          0.5506,          1.2346
          45,        0.366667,          0.7951,          0.1923,          0.6684,          1.6689,          0.8043,          0.1165,          0.5587,          1.3972,          0.1587,          0.3348,          0.8864,          1.5358,          1.1458,          0.5739,          0.5520,          1.2346
          46,        0.375000,          0.7952,          0.1922,          0.6684,          1.6690,          0.8043,          0.1164,          0.5588,          1.3973,          0.1590,          0.3350,          0.8869,          1.5366,          1.1467,          0.5748,          0.5531,          1.2346
          47,        0.383333,          0.7951,          0.1923,          0.6685,          1.6690,          0.8042,          0.1165,          0.5588,          1.3975,          0.1592,          0.3352,          0.8872,          1.5372,          1.1475,          0.5756,          0.5539,          1.2347
          48,        0.391667,          0.7951,          0.1923,          0.6684,          1.6690,          0.8042,          0.1164,          0.5587,          1.3975,          0.1594,          0.3354,          0.8874,          1.5377,          1.1481,          0.5760,          0.5545,          1.2346
          49,        0.400000,          0.7952,          0.1923,          0.6684,          1.6690,          0.8042,          0.1166,          0.5588,          1.3975,          0.1596,          0.3353,          0.8877,          1.5380,          1.1485,          0.5764,          0.5549,          1.2346
          50,        0.408333,          0.7952,          0.1923,          0.6684,          1.6690,          0.8043,          0.1165,          0.5587,          1.3975,          0.1597,          0.3355,          0.8878,          1.5382,          1.1488,          0.5767,          0.5553,          1.2346
          51,        0.416667,          0.7952,          0.1923,          0.6684,          1.6690,          0.8042,          0.1166,          0.5586,          1.3976,          0.1598,          0.3355,          0.8879,          1.5385,          1.1490,          0.5769,          0.5556,          1.2347
          52,        0.425000,          0.7951,          0.1923,          0.6684,          1.6690,          0.8042,          0.1165,          0.5588,          1.3977,          0.1598,          0.3356,          0.8880,          1.5386,          1.1492,          0.5771,          0.5558,          1.2347
