"InphaseC4_002 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_InphaseC4\runs\InphaseC4_002.tcf]","Time (h)","Q 2 [InphaseC4_002]","Q 3 [InphaseC4_002]","Q 4 [InphaseC4_002]","Q 5 [InphaseC4_002]","Q 6 [InphaseC4_002]","Q 7 [InphaseC4_002]","Q 1 [InphaseC4_002]","Q  8 [InphaseC4_002]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.9321,         -0.0001
           4,        0.025000,         -0.5187,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,         -1.9964,         -0.0002
           5,        0.033333,         -0.9877,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0000,         -2.0001,          0.0003
           6,        0.041667,         -0.7090,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,         -2.0001,         -0.0004
           7,        0.050000,         -0.8391,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0006,         -2.0000,         -0.0002
           8,        0.058333,         -0.8739,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,         -2.0000,         -0.0004
           9,        0.066667,         -0.8163,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0001,         -2.0000,         -0.0006
          10,        0.075000,         -0.9094,          0.0000,          0.0000,          0.0000,          0.0000,          0.0004,         -2.0000,          0.0003
          11,        0.083333,         -0.9260,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0001,         -2.0000,          0.0005
          12,        0.091667,         -0.8885,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,         -2.0000,         -0.0006
          13,        0.100000,         -0.9329,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0003,         -2.0001,          0.0009
          14,        0.108333,         -0.9786,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0005,         -2.0003,         -0.0002
          15,        0.116667,         -0.9495,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,         -2.0001,          0.0000
          16,        0.125000,         -0.9738,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,         -2.0000,          0.0009
          17,        0.133333,         -1.0163,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0002,         -1.9987,          0.0000
          18,        0.141667,         -1.0141,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0002,         -1.9866,          0.0010
          19,        0.150000,         -1.0245,          0.0000,          0.0000,          0.0000,          0.0000,          0.0009,         -1.9715,         -0.0003
          20,        0.158333,         -1.0515,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0002,         -1.9553,          0.0004
          21,        0.166667,         -1.0723,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0001,         -1.9435,          0.0001
          22,        0.175000,         -1.0948,         -0.0001,          0.0000,          0.0000,          0.0000,         -0.0001,         -1.9335,         -0.0000
          23,        0.183333,         -1.1252,         -0.0008,          0.0000,          0.0000,          0.0000,         -0.0000,         -1.9224,          0.0006
          24,        0.191667,         -1.1700,         -0.0922,          0.0000,          0.0000,          0.0000,         -0.0003,         -1.9187,          0.0010
          25,        0.200000,         -1.2298,         -0.2020,          0.0000,          0.0000,          0.0000,          0.0001,         -1.9160,         -0.0009
          26,        0.208333,         -1.2794,         -0.3229,         -0.0001,          0.0000,          0.0000,         -0.0002,         -1.9152,         -0.0005
          27,        0.216667,         -1.3313,         -0.4525,         -0.0000,          0.0000,          0.0000,         -0.0000,         -1.9134,         -0.0009
