"OutphaseC4_013 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_013.tcf]","Time (h)","V 2 [OutphaseC4_013]","V 3 [OutphaseC4_013]","V 4 [OutphaseC4_013]","V 5 [OutphaseC4_013]","V 6 [OutphaseC4_013]","V 7 [OutphaseC4_013]","V 8 [OutphaseC4_013]","V 9 [OutphaseC4_013]","V 10 [OutphaseC4_013]","V 11 [OutphaseC4_013]","V 12 [OutphaseC4_013]","V 13 [OutphaseC4_013]","V 14 [OutphaseC4_013]","V 15 [OutphaseC4_013]","V 16 [OutphaseC4_013]","V  1 [OutphaseC4_013]"
          28,        0.225000,          1.3555,          0.0807,          0.9712,          0.7828,          0.9150,          0.1352,          0.1931,          0.2223,          0.7108,          0.0000,          0.0834,          0.1647,          0.0000,          0.0000,          0.0001,          0.5203
          29,        0.233333,          1.3540,          0.0896,          0.9626,          0.7757,          0.9181,          0.1488,          0.1763,          0.2392,          0.8028,          0.5948,          0.1284,          0.1921,          0.2534,          0.0000,          0.0004,          0.5177
          30,        0.241667,          1.3553,          0.0831,          0.9556,          0.7789,          0.9186,          0.1635,          0.1616,          0.2580,          0.8810,          0.8940,          0.1971,          0.1786,          0.2490,          0.0000,          0.0004,          0.5238
          31,        0.250000,          1.3552,          0.0943,          0.9522,          0.7697,          0.9224,          0.1668,          0.1477,          0.2715,          0.9522,          1.0986,          0.2400,          0.1771,          0.2560,          0.0000,          0.0005,          0.5172
          32,        0.258333,          1.3543,          0.0943,          0.9456,          0.7636,          0.9254,          0.1783,          0.1334,          0.2782,          1.0125,          1.2551,          0.2682,          0.1720,          0.2502,          0.0000,          0.0003,          0.5207
          33,        0.266667,          1.3553,          0.0890,          0.9387,          0.7690,          0.9240,          0.1869,          0.1194,          0.2820,          1.0536,          1.3877,          0.2781,          0.1738,          0.2581,          0.0000,          0.0000,          0.5204
          34,        0.275000,          1.3548,          0.0874,          0.9356,          0.7659,          0.9287,          0.1953,          0.1051,          0.2830,          1.0831,          1.4700,          0.2703,          0.1834,          0.2723,          0.5049,          0.0000,          0.5180
          35,        0.283333,          1.3556,          0.0961,          0.9352,          0.7591,          0.9316,          0.1962,          0.0930,          0.2862,          1.1088,          1.5360,          0.2571,          0.1962,          0.3002,          0.9190,          0.0002,          0.5245
          36,        0.291667,          1.3553,          0.0749,          0.9334,          0.7623,          0.9302,          0.1941,          0.0819,          0.2951,          1.1313,          1.5892,          0.2318,          0.2166,          0.3447,          1.1675,          0.2876,          0.5185
          37,        0.300000,          1.3544,          0.0830,          0.9296,          0.7716,          0.9313,          0.1992,          0.0713,          0.3086,          1.1524,          1.6350,          0.2049,          0.2380,          0.4002,          1.3580,          0.9630,          0.5197
          38,        0.308333,          1.3546,          0.0896,          0.9265,          0.7743,          0.9356,          0.2035,          0.0642,          0.3228,          1.1710,          1.6740,          0.1765,          0.2594,          0.4562,          1.5108,          1.7061,          0.5211
          39,        0.316667,          1.3554,          0.0867,          0.9260,          0.7710,          0.9370,          0.2072,          0.0560,          0.3320,          1.1872,          1.7081,          0.1502,          0.2807,          0.5094,          1.6329,          2.0845,          0.5176
          40,        0.325000,          1.3556,          0.0835,          0.9283,          0.7693,          0.9349,          0.2104,          0.0530,          0.3402,          1.2001,          1.7337,          0.1247,          0.3020,          0.5562,          1.7347,          2.2633,          0.5267
          41,        0.333333,          1.3556,          0.0766,          0.9290,          0.7746,          0.9338,          0.2131,          0.0488,          0.3454,          1.2115,          1.4969,          0.1061,          0.3229,          0.5963,          1.8147,          2.4262,          0.5190
          42,        0.341667,          1.3547,          0.0838,          0.9270,          0.7860,          0.9348,          0.2153,          0.0453,          0.3535,          1.2199,          1.0947,          0.0921,          0.3413,          0.6304,          1.8827,          2.5561,          0.5201
