"OutphaseC4_014 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_014.tcf]","Time (h)","Q 2 [OutphaseC4_014]","Q 3 [OutphaseC4_014]","Q 4 [OutphaseC4_014]","Q 5 [OutphaseC4_014]","Q 6 [OutphaseC4_014]","Q 7 [OutphaseC4_014]","Q 1 [OutphaseC4_014]","Q  8 [OutphaseC4_014]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -7.5825,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -11.1767,          0.0000
           4,        0.025000,         -6.4919,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -16.2253,          0.0000
           5,        0.033333,        -13.1668,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -19.9081,          0.0000
           6,        0.041667,        -18.8465,         -9.6556,          0.0000,          0.0000,          0.0000,          0.0000,        -23.3696,          0.0000
           7,        0.050000,        -22.3467,        -10.0367,          0.0000,          0.0000,          0.0000,          0.0000,        -25.4852,          0.0000
           8,        0.058333,        -25.3897,        -12.0248,          0.0000,          0.0000,          0.0000,          0.0000,        -27.3141,          0.0000
           9,        0.066667,        -26.7571,        -13.8019,          0.0000,          0.0000,          0.0000,          0.0000,        -27.9353,          0.0000
          10,        0.075000,        -28.1492,        -14.7104,         -2.4526,          0.0000,          0.0000,          0.0000,        -28.9431,          0.0000
          11,        0.083333,        -28.7869,        -16.5609,         -5.4106,          0.0000,          0.0000,          0.0000,        -29.5539,          0.0000
          12,        0.091667,        -29.1554,        -18.3543,         -8.7014,         -5.0936,          0.0000,          0.0000,        -29.5576,          0.0000
          13,        0.100000,        -29.6638,        -19.9318,        -11.8735,         -8.7358,          0.0000,          0.0000,        -29.6814,          0.0000
          14,        0.108333,        -29.5262,        -21.6628,        -14.7719,        -10.1196,          0.0000,          0.0000,        -29.8024,          0.0000
          15,        0.116667,        -30.0354,        -22.8872,        -17.3290,        -11.8123,          0.0000,          0.0000,        -29.8540,          0.0000
          16,        0.125000,        -29.6881,        -24.2265,        -19.4968,        -13.2595,          0.0000,          0.0000,        -30.2429,          0.0000
          17,        0.133333,        -30.0607,        -25.0914,        -21.3919,        -14.3617,          0.0000,          0.0000,        -29.9504,          0.0000
          18,        0.141667,        -29.8793,        -26.1745,        -22.8877,        -15.6507,          0.0000,          0.0000,        -30.1837,          0.0000
          19,        0.150000,        -29.9898,        -26.5964,        -24.2294,        -16.9114,         -1.8420,          0.0000,        -30.0198,          0.0000
          20,        0.158333,        -29.9961,        -27.4845,        -25.2348,        -18.2937,         -4.4585,          0.0000,        -30.1225,          0.0000
          21,        0.166667,        -29.8807,        -27.7167,        -26.1688,        -19.7591,         -7.2522,          0.0000,        -29.8349,          0.0000
          22,        0.175000,        -30.1060,        -28.3126,        -26.8095,        -21.0057,        -10.0698,         -0.1467,        -29.7876,          0.0000
          23,        0.183333,        -29.8602,        -28.5178,        -27.4748,        -22.3161,        -12.7479,         -0.8405,        -29.8811,          0.0000
          24,        0.191667,        -30.1464,        -28.8287,        -27.8595,        -23.3958,        -15.2140,         -1.6138,        -30.0445,          0.0000
          25,        0.200000,        -29.8805,        -29.0621,        -28.3457,        -24.4460,        -17.4222,         -2.6175,        -30.1729,          0.0000
          26,        0.208333,        -30.0167,        -29.1395,        -28.5650,        -25.2434,        -19.3576,         -3.8699,        -30.3342,          0.0000
          27,        0.216667,        -30.0005,        -29.4765,        -28.9235,        -26.0573,        -21.0319,         -5.2916,        -29.8251,          0.0000
          28,        0.225000,        -29.9543,        -29.3210,        -29.0534,        -26.6295,        -22.4819,         -7.1742,        -29.7622,         -1.9975
          29,        0.233333,        -30.0991,        -29.7160,        -29.2568,        -27.2679,        -23.7048,         -9.3730,        -30.1184,         -4.3553
          30,        0.241667,        -29.8862,        -29.5664,        -29.4093,        -27.6611,        -24.5755,        -11.5304,        -30.2022,         -6.9490
          31,        0.250000,        -29.9964,        -29.6912,        -29.4695,        -28.0844,        -25.1932,        -13.7102,        -30.2459,         -9.5815
          32,        0.258333,        -29.9629,        -29.7937,        -29.6324,        -28.3769,        -25.8388,        -15.8078,        -30.0237,        -12.1388
          33,        0.266667,        -29.9939,        -29.7254,        -29.6164,        -28.6640,        -26.4300,        -17.6878,        -29.5750,        -14.5343
          34,        0.275000,        -30.0461,        -29.9109,        -29.7253,        -28.8942,        -26.9796,        -19.4379,        -29.9480,        -16.6893
          35,        0.283333,        -29.9269,        -29.8244,        -29.7703,        -29.0787,        -27.4104,        -20.9671,        -30.2648,        -18.6336
          36,        0.291667,        -29.9038,        -29.8824,        -29.8027,        -29.2275,        -27.8332,        -22.3237,        -30.2936,        -20.3208
          37,        0.300000,        -29.9907,        -29.8614,        -29.8524,        -29.3622,        -28.1507,        -23.4988,        -29.7542,        -21.7950
          38,        0.308333,        -30.0967,        -29.9231,        -29.8473,        -29.4655,        -28.4425,        -24.4922,        -29.6561,        -23.0651
          39,        0.316667,        -29.9997,        -30.0021,        -29.8870,        -29.5724,        -28.6948,        -25.3770,        -30.0807,        -24.1473
          40,        0.325000,        -29.9184,        -29.9386,        -29.9129,        -29.6410,        -28.9030,        -26.0914,        -30.2413,        -25.0863
          41,        0.333333,        -29.9228,        -29.9273,        -29.9405,        -29.7046,        -29.0799,        -26.7245,        -30.0909,        -25.8646
          42,        0.341667,        -30.0545,        -29.9317,        -29.9374,        -29.7307,        -29.2288,        -27.2456,        -29.8679,        -26.5348
          43,        0.350000,        -30.0563,        -29.9926,        -29.9319,        -29.7859,        -29.3652,        -27.6955,        -29.5984,        -27.0930
          44,        0.358333,        -29.9744,        -30.0187,        -29.9586,        -29.8496,        -29.4637,        -28.0696,        -30.1011,        -27.5660
          45,        0.366667,        -29.9006,        -29.9769,        -29.9826,        -29.8680,        -29.5555,        -28.3901,        -30.2860,        -27.9668
          46,        0.375000,        -29.9879,        -29.9411,        -29.9788,        -29.8804,        -29.6277,        -28.6584,        -29.9697,        -28.2992
          47,        0.383333,        -30.0843,        -29.9862,        -29.9667,        -29.8896,        -29.6911,        -28.8725,        -29.7737,        -28.5802
          48,        0.391667,        -30.0441,        -30.0156,        -29.9672,        -29.9204,        -29.7463,        -29.0623,        -29.9093,        -28.8165
          49,        0.400000,        -29.9254,        -30.0045,        -29.9948,        -29.9517,        -29.7874,        -29.2176,        -30.3839,        -29.0105
          50,        0.408333,        -29.9312,        -29.9648,        -30.0055,        -29.9430,        -29.8259,        -29.3483,        -30.3054,        -29.1768
          51,        0.416667,        -30.0375,        -29.9682,        -29.9868,        -29.9443,        -29.8517,        -29.4571,        -29.4994,        -29.3137
          52,        0.425000,        -30.1138,        -30.0234,        -29.9771,        -29.9563,        -29.8789,        -29.5451,        -29.9024,        -29.4260
          53,        0.433333,        -29.9611,        -30.0157,        -29.9882,        -29.9823,        -29.9059,        -29.6233,        -30.1725,        -29.5234
          54,        0.441667,        -29.8855,        -29.9841,        -30.0104,        -29.9872,        -29.9170,        -29.6851,        -30.3315,        -29.6018
          55,        0.450000,        -29.9792,        -29.9663,        -30.0064,        -29.9704,        -29.9291,        -29.7394,        -29.8679,        -29.6701
          56,        0.458333,        -30.1143,        -29.9979,        -29.9825,        -29.9683,        -29.9427,        -29.7857,        -29.6078,        -29.7262
          57,        0.466667,        -30.0340,        -30.0448,        -29.9847,        -29.9927,        -29.9542,        -29.8162,        -30.0730,        -29.7704
