"VanillaC4_017 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_017.tcf]","Time (h)","V 2 [VanillaC4_017]","V 3 [VanillaC4_017]","V 4 [VanillaC4_017]","V 5 [VanillaC4_017]","V 6 [VanillaC4_017]","V 7 [VanillaC4_017]","V 8 [VanillaC4_017]","V 9 [VanillaC4_017]","V 10 [VanillaC4_017]","V 11 [VanillaC4_017]","V 12 [VanillaC4_017]","V 13 [VanillaC4_017]","V 14 [VanillaC4_017]","V 15 [VanillaC4_017]","V 16 [VanillaC4_017]","V  1 [VanillaC4_017]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          3.1507,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          2.8922
           3,        0.016667,          2.4900,          2.0400,          2.5794,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          2.3497
           4,        0.025000,          2.2855,          1.9394,          2.3740,          2.3750,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          2.1823
           5,        0.033333,          2.1863,          1.8797,          2.2451,          2.2633,          2.3484,          1.3420,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          0.0000,          0.0001,          2.0980
           6,        0.041667,          2.1277,          1.8368,          2.1729,          2.1829,          2.2601,          1.7732,          1.4203,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0000,          0.0001,          0.0001,          2.0466
           7,        0.050000,          2.0878,          1.8111,          2.1236,          2.1306,          2.1972,          1.7966,          1.7848,          1.4032,          0.0001,          0.0001,          0.0000,          0.0002,          0.0001,          0.0001,          0.0001,          2.0133
           8,        0.058333,          2.0610,          1.7913,          2.0895,          2.0933,          2.1529,          1.7935,          1.8123,          1.7391,          1.3750,          0.5873,          0.0002,          0.0001,          0.0001,          0.0001,          0.0001,          1.9905
           9,        0.066667,          2.0423,          1.7768,          2.0652,          2.0666,          2.1207,          1.7790,          1.8112,          1.7974,          1.6476,          1.3843,          0.8542,          0.0086,          0.0000,          0.0001,          0.0001,          1.9743
          10,        0.075000,          2.0285,          1.7669,          2.0474,          2.0467,          2.0967,          1.7689,          1.8041,          1.8095,          1.7378,          1.5908,          1.1272,          1.0724,          0.9673,          0.5669,          0.0001,          1.9625
          11,        0.083333,          2.0185,          1.7594,          2.0345,          2.0313,          2.0788,          1.7600,          1.7939,          1.8082,          1.7682,          1.6808,          1.2561,          1.2763,          1.2868,          0.9762,          0.7139,          1.9539
          12,        0.091667,          2.0110,          1.7535,          2.0247,          2.0202,          2.0647,          1.7514,          1.7853,          1.8033,          1.7840,          1.7241,          1.3541,          1.3986,          1.4783,          1.2617,          1.4585,          1.9475
          13,        0.100000,          2.0053,          1.7492,          2.0171,          2.0116,          2.0544,          1.7442,          1.7783,          1.8002,          1.7885,          1.7468,          1.4172,          1.4846,          1.6428,          1.7162,          1.6410,          1.9426
          14,        0.108333,          2.0010,          1.7458,          2.0113,          2.0048,          2.0462,          1.7390,          1.7722,          1.7955,          1.7905,          1.7604,          1.4781,          1.6630,          1.8641,          1.8138,          1.7283,          1.9390
          15,        0.116667,          1.9977,          1.7432,          2.0067,          1.9996,          2.0398,          1.7348,          1.7683,          1.7910,          1.7901,          1.7720,          1.5859,          1.7524,          1.9253,          1.8619,          1.7717,          1.9362
          16,        0.125000,          1.9951,          1.7411,          2.0032,          1.9954,          2.0347,          1.7315,          1.7645,          1.7878,          1.7917,          1.8032,          1.6250,          1.7808,          1.9549,          1.8898,          1.8022,          1.9341
          17,        0.133333,          1.9932,          1.7395,          2.0004,          1.9921,          2.0307,          1.7288,          1.7614,          1.7856,          1.8014,          1.8272,          1.6408,          1.7965,          1.9720,          1.9091,          1.8271,          1.9325
          18,        0.141667,          1.9917,          1.7383,          1.9983,          1.9896,          2.0275,          1.7266,          1.7590,          1.7855,          1.8118,          1.8359,          1.6499,          1.8065,          1.9836,          1.9244,          1.8479,          1.9312
          19,        0.150000,          1.9906,          1.7373,          1.9966,          1.9876,          2.0251,          1.7248,          1.7573,          1.7888,          1.8159,          1.8404,          1.6558,          1.8135,          1.9917,          1.9370,          1.8653,          1.9302
          20,        0.158333,          1.9896,          1.7365,          1.9953,          1.9860,          2.0231,          1.7235,          1.7571,          1.7904,          1.8179,          1.8429,          1.6600,          1.8187,          1.9981,          1.9468,          1.8795,          1.9294
          21,        0.166667,          1.9889,          1.7358,          1.9942,          1.9847,          2.0216,          1.7227,          1.7573,          1.7909,          1.8188,          1.8444,          1.6632,          1.8228,          2.0028,          1.9543,          1.8911,          1.9289
          22,        0.175000,          1.9883,          1.7354,          1.9934,          1.9838,          2.0205,          1.7223,          1.7573,          1.7911,          1.8193,          1.8453,          1.6656,          1.8258,          2.0066,          1.9607,          1.9002,          1.9284
          23,        0.183333,          1.9879,          1.7350,          1.9928,          1.9830,          2.0198,          1.7221,          1.7571,          1.7911,          1.8195,          1.8459,          1.6675,          1.8283,          2.0094,          1.9665,          1.9063,          1.9281
          24,        0.191667,          1.9875,          1.7348,          1.9923,          1.9826,          2.0193,          1.7219,          1.7569,          1.7910,          1.8196,          1.8464,          1.6690,          1.8301,          2.0122,          1.9684,          1.9160,          1.9278
          25,        0.200000,          1.9873,          1.7345,          1.9919,          1.9822,          2.0189,          1.7217,          1.7567,          1.7909,          1.8197,          1.8467,          1.6701,          1.8316,          2.0133,          1.9726,          1.9260,          1.9276
          26,        0.208333,          1.9871,          1.7343,          1.9917,          1.9819,          2.0186,          1.7215,          1.7566,          1.7908,          1.8197,          1.8470,          1.6709,          1.8328,          2.0147,          1.9749,          1.9191,          1.9274
          27,        0.216667,          1.9869,          1.7342,          1.9915,          1.9817,          2.0184,          1.7214,          1.7564,          1.7907,          1.8197,          1.8472,          1.6716,          1.8338,          2.0161,          1.9777,          1.9228,          1.9272
          28,        0.225000,          1.9868,          1.7341,          1.9913,          1.9815,          2.0181,          1.7213,          1.7563,          1.7907,          1.8197,          1.8473,          1.6722,          1.8349,          2.0163,          1.9777,          1.9253,          1.9271
          29,        0.233333,          1.9867,          1.7341,          1.9912,          1.9814,          2.0180,          1.7212,          1.7563,          1.7906,          1.8198,          1.8474,          1.6728,          1.8351,          2.0169,          1.9789,          1.9271,          1.9271
          30,        0.241667,          1.9866,          1.7340,          1.9911,          1.9813,          2.0178,          1.7211,          1.7562,          1.7905,          1.8197,          1.8476,          1.6730,          1.8353,          2.0177,          1.9797,          1.9285,          1.9270
          31,        0.250000,          1.9866,          1.7340,          1.9911,          1.9812,          2.0177,          1.7210,          1.7561,          1.7905,          1.8198,          1.8476,          1.6731,          1.8356,          2.0179,          1.9801,          1.9295,          1.9269
          32,        0.258333,          1.9866,          1.7340,          1.9910,          1.9812,          2.0176,          1.7210,          1.7561,          1.7905,          1.8198,          1.8476,          1.6733,          1.8358,          2.0182,          1.9808,          1.9304,          1.9269
          33,        0.266667,          1.9865,          1.7339,          1.9910,          1.9811,          2.0176,          1.7209,          1.7561,          1.7904,          1.8197,          1.8476,          1.6735,          1.8360,          2.0184,          1.9811,          1.9310,          1.9269
          34,        0.275000,          1.9865,          1.7339,          1.9909,          1.9810,          2.0176,          1.7209,          1.7560,          1.7905,          1.8197,          1.8477,          1.6736,          1.8362,          2.0187,          1.9815,          1.9315,          1.9268
          35,        0.283333,          1.9865,          1.7339,          1.9909,          1.9810,          2.0176,          1.7210,          1.7560,          1.7904,          1.8198,          1.8477,          1.6737,          1.8363,          2.0188,          1.9817,          1.9318,          1.9268
          36,        0.291667,          1.9865,          1.7339,          1.9909,          1.9810,          2.0175,          1.7209,          1.7560,          1.7904,          1.8198,          1.8477,          1.6737,          1.8364,          2.0189,          1.9819,          1.9321,          1.9268
          37,        0.300000,          1.9865,          1.7339,          1.9908,          1.9810,          2.0175,          1.7209,          1.7560,          1.7904,          1.8198,          1.8477,          1.6738,          1.8365,          2.0189,          1.9821,          1.9323,          1.9268
          38,        0.308333,          1.9864,          1.7338,          1.9908,          1.9810,          2.0175,          1.7209,          1.7559,          1.7904,          1.8198,          1.8477,          1.6739,          1.8365,          2.0190,          1.9822,          1.9325,          1.9268
          39,        0.316667,          1.9864,          1.7338,          1.9908,          1.9810,          2.0175,          1.7209,          1.7560,          1.7904,          1.8198,          1.8477,          1.6739,          1.8365,          2.0191,          1.9822,          1.9326,          1.9268
          40,        0.325000,          1.9864,          1.7338,          1.9908,          1.9810,          2.0174,          1.7208,          1.7559,          1.7904,          1.8198,          1.8478,          1.6739,          1.8365,          2.0191,          1.9823,          1.9328,          1.9268
          41,        0.333333,          1.9864,          1.7339,          1.9908,          1.9809,          2.0174,          1.7209,          1.7559,          1.7904,          1.8198,          1.8478,          1.6739,          1.8366,          2.0192,          1.9825,          1.9328,          1.9268
          42,        0.341667,          1.9865,          1.7338,          1.9908,          1.9809,          2.0174,          1.7208,          1.7559,          1.7904,          1.8197,          1.8478,          1.6739,          1.8366,          2.0192,          1.9823,          1.9329,          1.9268
          43,        0.350000,          1.9864,          1.7338,          1.9908,          1.9810,          2.0174,          1.7209,          1.7559,          1.7904,          1.8198,          1.8477,          1.6740,          1.8367,          2.0192,          1.9825,          1.9330,          1.9268
