"VanillaC4_017 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_017.tcf]","Time (h)","Q 2 [VanillaC4_017]","Q 3 [VanillaC4_017]","Q 4 [VanillaC4_017]","Q 5 [VanillaC4_017]","Q 6 [VanillaC4_017]","Q 7 [VanillaC4_017]","Q 1 [VanillaC4_017]","Q  8 [VanillaC4_017]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -52.6136,          0.0008
           3,        0.016667,        -43.3194,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -56.3443,          0.0005
           4,        0.025000,        -51.4828,        -30.8757,          0.0000,          0.0000,          0.0000,         -0.0001,        -57.7855,         -0.0005
           5,        0.033333,        -54.8736,        -44.4096,        -13.8496,          0.0000,         -0.0000,          0.0002,        -58.6130,          0.0002
           6,        0.041667,        -56.6715,        -50.3216,        -35.8430,         -0.0002,         -0.0001,         -0.0005,        -59.0788,         -0.0015
           7,        0.050000,        -57.7280,        -53.5399,        -44.7400,        -29.9122,         -0.0010,         -0.0024,        -59.3603,          0.0007
           8,        0.058333,        -58.3947,        -55.4976,        -49.6671,        -40.6800,         -0.0228,          0.0002,        -59.5474,          0.0003
           9,        0.066667,        -58.8407,        -56.7858,        -52.7184,        -46.6838,        -28.0032,          0.0000,        -59.6731,          0.0008
          10,        0.075000,        -59.1489,        -57.6505,        -54.7228,        -50.4958,        -37.3232,        -26.7773,        -59.7599,          0.0014
          11,        0.083333,        -59.3714,        -58.2522,        -56.1066,        -53.0354,        -43.5287,        -35.9536,        -59.8228,        -28.9314
          12,        0.091667,        -59.5279,        -58.6917,        -57.0800,        -54.8040,        -47.7781,        -42.0613,        -59.8664,        -47.4084
          13,        0.100000,        -59.6442,        -59.0099,        -57.7809,        -56.0781,        -50.8152,        -47.5968,        -59.8995,        -51.3742
          14,        0.108333,        -59.7301,        -59.2466,        -58.3070,        -57.0009,        -53.0305,        -52.9272,        -59.9232,        -53.0087
          15,        0.116667,        -59.7944,        -59.4241,        -58.7001,        -57.6929,        -54.7506,        -54.5768,        -59.9417,        -54.1187
          16,        0.125000,        -59.8421,        -59.5559,        -58.9967,        -58.2205,        -56.3833,        -55.6864,        -59.9553,        -55.0935
          17,        0.133333,        -59.8777,        -59.6563,        -59.2235,        -58.6222,        -57.3807,        -56.5343,        -59.9660,        -55.9611
          18,        0.141667,        -59.9062,        -59.7338,        -59.3969,        -58.9311,        -57.9984,        -57.2341,        -59.9727,        -56.7346
          19,        0.150000,        -59.9268,        -59.7929,        -59.5304,        -59.1826,        -58.4520,        -57.8056,        -59.9795,        -57.3916
          20,        0.158333,        -59.9432,        -59.8394,        -59.6336,        -59.3913,        -58.7969,        -58.2677,        -59.9843,        -57.9304
          21,        0.166667,        -59.9551,        -59.8738,        -59.7175,        -59.5399,        -59.0634,        -58.6386,        -59.9876,        -58.3665
          22,        0.175000,        -59.9649,        -59.9015,        -59.7861,        -59.6485,        -59.2698,        -58.9319,        -59.9903,        -58.7145
          23,        0.183333,        -59.9727,        -59.9237,        -59.8374,        -59.7295,        -59.4312,        -59.1625,        -59.9920,        -58.9950
          24,        0.191667,        -59.9791,        -59.9408,        -59.8752,        -59.7915,        -59.5568,        -59.3467,        -59.9945,        -59.2103
          25,        0.200000,        -59.9830,        -59.9547,        -59.9043,        -59.8388,        -59.6551,        -59.4896,        -59.9953,        -59.4202
          26,        0.208333,        -59.9871,        -59.9653,        -59.9257,        -59.8747,        -59.7315,        -59.6035,        -59.9968,        -59.5386
          27,        0.216667,        -59.9899,        -59.9742,        -59.9430,        -59.9031,        -59.7910,        -59.6949,        -59.9975,        -59.6078
          28,        0.225000,        -59.9923,        -59.9794,        -59.9554,        -59.9249,        -59.8373,        -59.7534,        -59.9982,        -59.7030
          29,        0.233333,        -59.9946,        -59.9842,        -59.9659,        -59.9414,        -59.8738,        -59.8070,        -59.9982,        -59.7685
          30,        0.241667,        -59.9958,        -59.9882,        -59.9733,        -59.9548,        -59.9026,        -59.8517,        -59.9986,        -59.8201
          31,        0.250000,        -59.9963,        -59.9908,        -59.9799,        -59.9650,        -59.9233,        -59.8842,        -59.9991,        -59.8594
          32,        0.258333,        -59.9973,        -59.9931,        -59.9846,        -59.9727,        -59.9404,        -59.9105,        -59.9997,        -59.8901
          33,        0.266667,        -59.9978,        -59.9945,        -59.9877,        -59.9786,        -59.9536,        -59.9301,        -59.9997,        -59.9150
          34,        0.275000,        -59.9985,        -59.9953,        -59.9904,        -59.9836,        -59.9639,        -59.9457,        -59.9993,        -59.9337
          35,        0.283333,        -59.9987,        -59.9964,        -59.9926,        -59.9875,        -59.9721,        -59.9576,        -59.9997,        -59.9484
          36,        0.291667,        -59.9988,        -59.9974,        -59.9944,        -59.9903,        -59.9781,        -59.9674,        -59.9997,        -59.9609
          37,        0.300000,        -59.9995,        -59.9979,        -59.9954,        -59.9923,        -59.9830,        -59.9746,        -59.9997,        -59.9683
          38,        0.308333,        -59.9996,        -59.9984,        -59.9967,        -59.9939,        -59.9870,        -59.9801,        -59.9999,        -59.9761
          39,        0.316667,        -59.9990,        -59.9992,        -59.9976,        -59.9951,        -59.9898,        -59.9847,        -60.0002,        -59.9819
