"InphaseC4_018 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Inphase\runs\InphaseC4_018.tcf]","Time (h)","Q 2 [InphaseC4_018]","Q 3 [InphaseC4_018]","Q 4 [InphaseC4_018]","Q 5 [InphaseC4_018]","Q 6 [InphaseC4_018]","Q 7 [InphaseC4_018]","Q 1 [InphaseC4_018]","Q  8 [InphaseC4_018]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,        -39.8459,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -65.4632,          0.0000
           3,        0.016667,        -60.9456,         -7.0759,          0.0000,          0.0000,          0.0000,          0.0006,        -69.5694,         -0.0012
           4,        0.025000,        -59.0438,        -40.6450,         -0.0009,          0.0000,          0.0000,          0.0007,        -69.9384,         -0.0004
           5,        0.033333,        -59.5924,        -51.4713,        -41.2638,        -10.8082,          0.0005,         -0.0003,        -69.3178,          0.0008
           6,        0.041667,        -62.6879,        -57.2639,        -47.8301,        -31.0384,          0.0002,         -0.0005,        -66.5636,          0.0004
           7,        0.050000,        -65.9865,        -62.1261,        -51.0222,        -41.5302,        -26.8112,         -0.0005,        -67.9439,          0.0016
           8,        0.058333,        -67.7491,        -65.5496,        -57.0853,        -50.1429,        -38.9292,        -27.8439,        -68.8203,          0.0001
           9,        0.066667,        -68.6433,        -67.3846,        -62.1772,        -57.4413,        -47.1794,        -34.8593,        -69.2793,        -32.8565
          10,        0.075000,        -69.1577,        -68.4228,        -65.1231,        -62.2165,        -53.9627,        -47.7347,        -69.5413,        -56.4293
          11,        0.083333,        -69.4854,        -69.0387,        -66.8446,        -65.0515,        -58.9359,        -62.6070,        -69.7108,        -64.9365
          12,        0.091667,        -69.6920,        -69.4067,        -67.9539,        -66.8252,        -63.1015,        -66.5300,        -69.8269,        -68.4565
          13,        0.100000,        -69.8161,        -69.6265,        -68.6938,        -67.9687,        -66.5091,        -67.5212,        -69.8957,        -68.3805
          14,        0.108333,        -69.8888,        -69.7598,        -69.1698,        -68.6964,        -68.4351,        -68.4835,        -69.9374,        -68.4064
          15,        0.116667,        -69.9279,        -69.8445,        -69.4711,        -69.1564,        -69.1700,        -68.9116,        -69.9617,        -68.7291
          16,        0.125000,        -69.9524,        -69.8971,        -69.6521,        -69.4576,        -69.3952,        -69.1915,        -69.9749,        -69.1354
          17,        0.133333,        -69.9688,        -69.9307,        -69.7678,        -69.6539,        -69.5205,        -69.3966,        -69.9838,        -69.4025
          18,        0.141667,        -69.9785,        -69.9535,        -69.8497,        -69.7803,        -69.6414,        -69.5414,        -69.9885,        -69.5421
          19,        0.150000,        -69.9857,        -69.9689,        -69.9063,        -69.8599,        -69.7428,        -69.6589,        -69.9925,        -69.6409
          20,        0.158333,        -69.9902,        -69.9789,        -69.9416,        -69.9103,        -69.8209,        -69.7490,        -69.9957,        -69.7298
          21,        0.166667,        -69.9934,        -69.9859,        -69.9615,        -69.9420,        -69.8783,        -69.8207,        -69.9965,        -69.8061
          22,        0.175000,        -69.9960,        -69.9910,        -69.9726,        -69.9629,        -69.9164,        -69.8740,        -69.9971,        -69.8659
          23,        0.183333,        -69.9969,        -69.9941,        -69.9848,        -69.9757,        -69.9427,        -69.9149,        -69.9977,        -69.9099
          24,        0.191667,        -69.9974,        -69.9958,        -69.9922,        -69.9847,        -69.9605,        -69.9429,        -69.9980,        -69.9418
          25,        0.200000,        -69.9991,        -69.9974,        -69.9917,        -69.9911,        -69.9736,        -69.9617,        -69.9994,        -69.9603
          26,        0.208333,        -69.9993,        -69.9980,        -69.9978,        -69.9922,        -69.9817,        -69.9745,        -69.9992,        -69.9738
          27,        0.216667,        -69.9991,        -69.9992,        -69.9964,        -69.9950,        -69.9890,        -69.9831,        -70.0003,        -69.9825
          28,        0.225000,        -69.9997,        -69.9994,        -69.9979,        -69.9970,        -69.9916,        -69.9874,        -70.0000,        -69.9879
          29,        0.233333,        -70.0000,        -69.9993,        -69.9986,        -69.9981,        -69.9946,        -69.9911,        -69.9996,        -69.9914
          30,        0.241667,        -69.9999,        -70.0002,        -69.9994,        -69.9990,        -69.9960,        -69.9942,        -69.9997,        -69.9944
          31,        0.250000,        -70.0000,        -69.9998,        -69.9992,        -69.9990,        -69.9971,        -69.9965,        -70.0010,        -69.9966
          32,        0.258333,        -69.9999,        -70.0000,        -69.9996,        -69.9992,        -69.9993,        -69.9975,        -70.0000,        -69.9972
          33,        0.266667,        -69.9998,        -69.9999,        -70.0001,        -69.9995,        -69.9991,        -69.9981,        -70.0001,        -69.9985
          34,        0.275000,        -70.0002,        -70.0003,        -69.9990,        -69.9996,        -69.9996,        -69.9990,        -69.9993,        -69.9992
          35,        0.283333,        -69.9998,        -69.9996,        -69.9985,        -70.0000,        -70.0002,        -69.9998,        -69.9996,        -69.9992
