"OutphaseC4_015 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_015.tcf]","Time (h)","V 2 [OutphaseC4_015]","V 3 [OutphaseC4_015]","V 4 [OutphaseC4_015]","V 5 [OutphaseC4_015]","V 6 [OutphaseC4_015]","V 7 [OutphaseC4_015]","V 8 [OutphaseC4_015]","V 9 [OutphaseC4_015]","V 10 [OutphaseC4_015]","V 11 [OutphaseC4_015]","V 12 [OutphaseC4_015]","V 13 [OutphaseC4_015]","V 14 [OutphaseC4_015]","V 15 [OutphaseC4_015]","V 16 [OutphaseC4_015]","V  1 [OutphaseC4_015]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.1503,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          1.3346
           3,        0.016667,          1.2787,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.7946
           4,        0.025000,          1.4855,          0.0000,          2.0625,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.7834
           5,        0.033333,          1.5563,          0.0755,          2.8334,          1.2888,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.7089
           6,        0.041667,          1.6239,          0.8717,          3.2166,          0.8427,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.7343
           7,        0.050000,          1.6515,          1.2667,          3.1304,          0.7789,          0.5921,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.7570
           8,        0.058333,          1.6702,          1.5746,          2.3753,          0.9164,          0.7095,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.7083
           9,        0.066667,          1.6996,          1.6272,          2.1499,          1.0573,          0.7758,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.7903
          10,        0.075000,          1.6815,          1.7197,          1.9895,          1.1809,          0.8672,          0.0000,          0.0002,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.7011
          11,        0.083333,          1.7149,          1.7322,          1.8530,          1.2541,          0.9759,          0.0000,          0.9922,          0.0120,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.7666
          12,        0.091667,          1.6945,          1.7550,          1.7795,          1.2853,          1.0656,          0.0965,          1.3672,          0.2991,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.7327
          13,        0.100000,          1.7122,          1.7780,          1.6979,          1.3021,          1.1350,          0.3661,          1.1450,          0.2799,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.7331
          14,        0.108333,          1.7063,          1.7652,          1.6367,          1.2846,          1.1850,          0.8632,          0.1098,          0.2827,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.7684
          15,        0.116667,          1.7016,          1.7911,          1.5960,          1.2597,          1.2152,          1.1426,          0.1631,          0.2831,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.7086
          16,        0.125000,          1.7153,          1.7816,          1.5502,          1.2415,          1.2350,          1.3021,          0.1803,          0.2997,          0.2945,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.7796
          17,        0.133333,          1.6972,          1.7879,          1.5309,          1.2196,          1.2584,          1.4032,          0.1644,          0.3324,          0.7661,          0.0000,          0.3686,          0.0000,          0.0000,          0.0000,          0.0001,          0.7232
          18,        0.141667,          1.7156,          1.7668,          1.5032,          1.2060,          1.2715,          1.4901,          0.1383,          0.3719,          0.9964,          0.9434,          0.2196,          0.3093,          0.5700,          0.0000,          0.0002,          0.7493
          19,        0.150000,          1.7009,          1.6684,          1.4914,          1.1920,          1.2865,          1.5453,          0.1018,          0.4077,          1.1573,          1.4749,          0.1295,          0.2554,          0.2781,          0.0000,          0.0002,          0.7560
          20,        0.158333,          1.7055,          1.5228,          1.4839,          1.1818,          1.2942,          1.6072,          0.0696,          0.4390,          1.2776,          1.7654,          0.1815,          0.3203,          0.3910,          0.0000,          0.0002,          0.7134
          21,        0.166667,          1.7114,          1.3040,          1.4740,          1.1818,          1.3046,          1.6406,          0.0519,          0.4807,          1.3589,          2.0064,          0.2485,          0.2787,          0.3841,          0.0000,          0.0000,          0.7795
          22,        0.175000,          1.7019,          1.2179,          1.4713,          1.1718,          1.3086,          1.6675,          0.0385,          0.5208,          1.4217,          2.1962,          0.2578,          0.3099,          0.4097,          0.8667,          0.0005,          0.7305
          23,        0.183333,          1.7115,          1.0594,          1.4615,          1.1696,          1.3135,          1.6730,          0.0392,          0.5421,          1.4767,          2.3399,          0.2345,          0.3484,          0.4942,          1.3324,          0.0002,          0.7471
          24,        0.191667,          1.7086,          1.0282,          1.4647,          1.1574,          1.3137,          1.6827,          0.0415,          0.5479,          1.5141,          2.4529,          0.1888,          0.3967,          0.6032,          1.6312,          0.5995,          0.7605
          25,        0.200000,          1.7081,          0.9526,          1.4572,          1.1649,          1.3139,          1.6989,          0.0478,          0.5498,          1.5422,          2.5457,          0.1426,          0.4531,          0.7283,          1.8549,          1.3988,          0.7385
          26,        0.208333,          1.7092,          0.9068,          1.4498,          1.1580,          1.3231,          1.7026,          0.0520,          0.5415,          1.5661,          2.6198,          0.1062,          0.5033,          0.8398,          2.0263,          1.8886,          0.7869
          27,        0.216667,          1.7019,          0.9340,          1.4495,          1.1415,          1.3160,          1.7157,          0.0615,          0.5370,          1.5828,          2.6756,          0.0932,          0.5412,          0.9296,          2.1571,          2.6636,          0.7597
          28,        0.225000,          1.7047,          0.8253,          1.4508,          1.1459,          1.3165,          1.7163,          0.0712,          0.5345,          1.5998,          2.2883,          0.1007,          0.5679,          1.0007,          2.2639,          3.1154,          0.7323
          29,        0.233333,          1.7142,          0.8658,          1.4494,          1.1560,          1.3238,          1.7230,          0.0809,          0.5374,          1.6130,          1.8102,          0.1137,          0.5985,          1.0560,          2.3496,          3.3206,          0.7918
          30,        0.241667,          1.7106,          0.8601,          1.4478,          1.1547,          1.3257,          1.7288,          0.0929,          0.5453,          1.6273,          1.5091,          0.1233,          0.6481,          1.0981,          2.4158,          3.4631,          0.7777
          31,        0.250000,          1.7019,          0.7993,          1.4444,          1.1472,          1.3234,          1.7300,          0.0988,          0.5604,          1.6358,          1.3424,          0.1296,          0.6839,          1.1302,          2.4706,          3.5724,          0.7866
          32,        0.258333,          1.7088,          0.8651,          1.4408,          1.1431,          1.3188,          1.7327,          0.1060,          0.5606,          1.6482,          1.2428,          0.1353,          0.6941,          1.1520,          2.5147,          3.6603,          0.7612
