"OutphaseC4_015 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_015.tcf]","Time (h)","Q 2 [OutphaseC4_015]","Q 3 [OutphaseC4_015]","Q 4 [OutphaseC4_015]","Q 5 [OutphaseC4_015]","Q 6 [OutphaseC4_015]","Q 7 [OutphaseC4_015]","Q 1 [OutphaseC4_015]","Q  8 [OutphaseC4_015]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -12.8207,          0.0000
           3,        0.016667,         -3.2010,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -18.1445,          0.0001
           4,        0.025000,        -13.9762,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -24.6239,         -0.0001
           5,        0.033333,        -22.1863,        -10.8542,          0.0000,          0.0000,          0.0000,          0.0000,        -29.8687,          0.0001
           6,        0.041667,        -29.2098,        -14.5968,          0.0000,          0.0000,          0.0000,          0.0000,        -33.5785,         -0.0002
           7,        0.050000,        -32.7396,        -15.8551,          0.0000,          0.0000,          0.0000,          0.0000,        -36.3259,         -0.0003
           8,        0.058333,        -36.2631,        -19.0961,         -0.9298,          0.0000,          0.0000,          0.0000,        -37.3214,         -0.0001
           9,        0.066667,        -37.0092,        -20.7610,         -5.5625,          0.0000,          0.0000,          0.0000,        -39.0677,          0.0003
          10,        0.075000,        -38.8855,        -23.6623,        -10.3031,         -4.7599,          0.0000,          0.0000,        -38.9209,          0.0002
          11,        0.083333,        -38.8363,        -26.2438,        -15.1679,        -10.9560,          0.0000,          0.0000,        -39.6922,          0.0002
          12,        0.091667,        -39.5518,        -28.5093,        -19.5511,        -13.8573,          0.0000,          0.0000,        -40.1168,          0.0002
          13,        0.100000,        -39.7533,        -30.8174,        -23.2959,        -15.8208,          0.0000,          0.0000,        -39.5066,         -0.0005
          14,        0.108333,        -39.6115,        -32.2518,        -26.4605,        -18.1113,          0.0000,          0.0000,        -40.3864,         -0.0001
          15,        0.116667,        -40.1798,        -33.8902,        -29.0483,        -19.7486,          0.0000,          0.0000,        -39.5822,          0.0002
          16,        0.125000,        -39.6586,        -34.9733,        -31.2039,        -21.7947,         -2.1743,          0.0000,        -40.1333,          0.0006
          17,        0.133333,        -40.1315,        -35.9602,        -32.8583,        -23.9541,         -6.0939,          0.0000,        -39.9729,         -0.0002
          18,        0.141667,        -39.8828,        -36.8703,        -34.3411,        -26.0524,        -10.2423,         -0.4692,        -39.9171,         -0.0005
          19,        0.150000,        -39.9154,        -37.3157,        -35.3704,        -28.0328,        -14.3335,         -0.7791,        -40.3620,         -0.0005
          20,        0.158333,        -40.1005,        -38.1010,        -36.3721,        -29.9502,        -18.1515,         -2.3084,        -39.7122,          0.0000
          21,        0.166667,        -39.8058,        -38.1439,        -37.0089,        -31.4657,        -21.5664,         -3.7054,        -40.0626,          0.0009
          22,        0.175000,        -40.1431,        -38.7606,        -37.6615,        -32.9633,        -24.5684,         -5.5333,        -39.9732,          0.0002
          23,        0.183333,        -39.9260,        -38.8455,        -38.0833,        -34.0398,        -27.1466,         -8.0916,        -40.0140,         -1.1261
          24,        0.191667,        -39.9344,        -39.1625,        -38.4466,        -35.1910,        -29.3368,        -10.9534,        -40.2260,         -4.3925
          25,        0.200000,        -39.9381,        -39.3663,        -38.8261,        -35.9435,        -31.1043,        -14.1616,        -39.5274,         -7.9882
          26,        0.208333,        -39.9119,        -39.3495,        -38.9456,        -36.6601,        -32.3335,        -17.3080,        -39.6666,        -11.7551
          27,        0.216667,        -40.0105,        -39.5799,        -39.2586,        -37.2526,        -33.3038,        -20.3300,        -40.2931,        -15.4557
          28,        0.225000,        -39.9787,        -39.6712,        -39.3038,        -37.7044,        -34.3537,        -23.1113,        -40.3433,        -18.9043
