"InphaseC4_012 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Inphase\runs\InphaseC4_012.tcf]","Time (h)","Q 2 [InphaseC4_012]","Q 3 [InphaseC4_012]","Q 4 [InphaseC4_012]","Q 5 [InphaseC4_012]","Q 6 [InphaseC4_012]","Q 7 [InphaseC4_012]","Q 1 [InphaseC4_012]","Q  8 [InphaseC4_012]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -12.9633,          0.0004
           3,        0.016667,        -10.5623,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0002,        -15.0210,          0.0005
           4,        0.025000,        -10.0298,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,        -15.0017,          0.0003
           5,        0.033333,         -7.8896,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0003,        -15.0000,          0.0012
           6,        0.041667,         -9.1155,         -1.3560,          0.0000,          0.0000,          0.0000,          0.0007,        -14.9998,         -0.0007
           7,        0.050000,        -10.8318,         -3.9037,          0.0000,          0.0000,          0.0000,         -0.0009,        -14.5361,         -0.0006
           8,        0.058333,        -11.5541,         -6.7649,         -2.3200,          0.0000,          0.0000,         -0.0004,        -14.4061,          0.0001
           9,        0.066667,        -12.2468,         -8.8548,         -5.1927,          0.0000,          0.0000,          0.0007,        -14.3930,         -0.0009
          10,        0.075000,        -13.0631,        -10.4671,         -5.9179,          0.0000,         -0.0000,         -0.0013,        -14.5156,          0.0011
          11,        0.083333,        -13.6497,        -11.7795,         -6.8051,          0.0000,          0.0000,          0.0004,        -14.6585,          0.0001
          12,        0.091667,        -14.0138,        -12.7393,         -8.1694,         -0.5735,          0.0003,          0.0003,        -14.7334,         -0.0000
          13,        0.100000,        -14.2905,        -13.3988,         -9.0218,         -2.4028,         -0.0003,          0.0006,        -14.8002,          0.0006
          14,        0.108333,        -14.5088,        -13.8724,         -9.8822,         -4.4397,         -0.0007,          0.0006,        -14.8616,         -0.0011
          15,        0.116667,        -14.6622,        -14.2139,        -10.9478,         -6.5417,         -0.0026,         -0.0005,        -14.9042,         -0.0000
          16,        0.125000,        -14.7586,        -14.4546,        -11.8970,         -8.5087,         -3.6559,         -0.0004,        -14.9302,         -0.0015
          17,        0.133333,        -14.8311,        -14.6177,        -12.6625,        -10.1370,         -4.2373,          0.0011,        -14.9504,          0.0003
          18,        0.141667,        -14.8839,        -14.7338,        -13.2485,        -11.4082,         -5.1834,         -0.7094,        -14.9660,          0.0011
