"VanillaC4_014 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_014.tcf]","Time (h)","V 2 [VanillaC4_014]","V 3 [VanillaC4_014]","V 4 [VanillaC4_014]","V 5 [VanillaC4_014]","V 6 [VanillaC4_014]","V 7 [VanillaC4_014]","V 8 [VanillaC4_014]","V 9 [VanillaC4_014]","V 10 [VanillaC4_014]","V 11 [VanillaC4_014]","V 12 [VanillaC4_014]","V 13 [VanillaC4_014]","V 14 [VanillaC4_014]","V 15 [VanillaC4_014]","V 16 [VanillaC4_014]","V  1 [VanillaC4_014]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          2.3503,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          2.3428
           3,        0.016667,          2.0053,          1.2593,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          1.9006
           4,        0.025000,          1.8565,          1.3737,          1.8862,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0001,          0.0001,          1.7644
           5,        0.033333,          1.7830,          1.3645,          1.8013,          1.7873,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0003,          0.0000,          0.0001,          0.0000,          1.7045
           6,        0.041667,          1.7303,          1.3385,          1.7461,          1.7408,          1.8162,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0004,          0.0001,          0.0001,          0.0001,          0.0001,          1.6645
           7,        0.050000,          1.7008,          1.3321,          1.6976,          1.7015,          1.7763,          1.1734,          0.0000,          0.0000,          0.0000,          0.0003,          0.0003,          0.0001,          0.0001,          0.0001,          0.0001,          1.6372
           8,        0.058333,          1.6809,          1.3242,          1.6735,          1.6719,          1.7359,          1.2626,          1.1673,          0.0000,          0.0000,          0.0004,          0.0001,          0.0001,          0.0001,          0.0000,          0.0001,          1.6207
           9,        0.066667,          1.6667,          1.3163,          1.6543,          1.6503,          1.7089,          1.2909,          1.2896,          1.1314,          0.0000,          0.0002,          0.0003,          0.0001,          0.0001,          0.0000,          0.0001,          1.6094
          10,        0.075000,          1.6557,          1.3091,          1.6409,          1.6338,          1.6894,          1.2990,          1.3233,          1.3209,          1.1028,          0.0001,          0.0001,          0.0001,          0.0001,          0.0000,          0.0001,          1.6006
