"InphaseC4_013 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_InphaseC4\runs\InphaseC4_013.tcf]","Time (h)","V 2 [InphaseC4_013]","V 3 [InphaseC4_013]","V 4 [InphaseC4_013]","V 5 [InphaseC4_013]","V 6 [InphaseC4_013]","V 7 [InphaseC4_013]","V 8 [InphaseC4_013]","V 9 [InphaseC4_013]","V 10 [InphaseC4_013]","V 11 [InphaseC4_013]","V 12 [InphaseC4_013]","V 13 [InphaseC4_013]","V 14 [InphaseC4_013]","V 15 [InphaseC4_013]","V 16 [InphaseC4_013]","V  1 [InphaseC4_013]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          3.2368,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          2.6132
           3,        0.016667,          2.7369,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          2.6440
           4,        0.025000,          2.5232,          0.0000,          0.8392,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0001,          2.6389
           5,        0.033333,          1.6986,          0.0719,          0.6578,          0.1520,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0001,          0.0001,          2.6220
           6,        0.041667,          1.4769,          0.0681,          0.7226,          1.3771,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          0.0001,          2.6292
           7,        0.050000,          1.3923,          0.1937,          0.8363,          1.6317,          1.9801,          0.0000,          0.0000,          0.0000,          0.0002,          0.0002,          0.0000,          0.0001,          0.0001,          0.0000,          0.0000,          2.2053
           8,        0.058333,          1.3113,          0.2333,          0.8834,          1.7909,          2.2989,          0.0000,          0.0000,          0.0000,          0.0002,          0.0002,          0.0000,          0.0002,          0.0000,          0.0000,          0.0000,          1.9339
           9,        0.066667,          1.2587,          0.2702,          0.9099,          1.8709,          2.4653,          0.0000,          0.1548,          0.0000,          0.0001,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          1.8097
          10,        0.075000,          1.2338,          0.3028,          0.9348,          1.9210,          1.9550,          0.0000,          0.3621,          0.0000,          0.0001,          0.0001,          0.0000,          0.0002,          0.0000,          0.0001,          0.0001,          1.7307
