"VanillaC4_010 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_010.tcf]","Time (h)","Q 2 [VanillaC4_010]","Q 3 [VanillaC4_010]","Q 4 [VanillaC4_010]","Q 5 [VanillaC4_010]","Q 6 [VanillaC4_010]","Q 7 [VanillaC4_010]","Q 1 [VanillaC4_010]","Q  8 [VanillaC4_010]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -4.4889,         -0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -8.4287,         -0.0001
           4,        0.025000,         -5.2827,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -9.2572,          0.0002
           5,        0.033333,         -7.6335,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,         -9.5693,          0.0002
           6,        0.041667,         -8.5902,         -1.6936,          0.0000,          0.0000,          0.0000,         -0.0000,         -9.7190,          0.0002
           7,        0.050000,         -9.1234,         -5.7952,          0.0000,          0.0000,          0.0000,         -0.0002,         -9.8364,         -0.0004
           8,        0.058333,         -9.4276,         -7.4105,          0.0000,          0.0000,          0.0000,          0.0001,         -9.8803,         -0.0001
           9,        0.066667,         -9.6148,         -8.3000,         -2.7129,          0.0000,          0.0000,         -0.0002,         -9.9270,         -0.0005
          10,        0.075000,         -9.7367,         -8.8461,         -5.7066,          0.0000,          0.0000,          0.0001,         -9.9467,         -0.0000
          11,        0.083333,         -9.8164,         -9.1998,         -7.1632,         -0.0000,          0.0000,         -0.0001,         -9.9626,         -0.0001
          12,        0.091667,         -9.8701,         -9.4374,         -8.0452,         -4.5066,          0.0000,         -0.0002,         -9.9750,         -0.0002
          13,        0.100000,         -9.9072,         -9.6007,         -8.6226,         -6.3856,          0.0000,          0.0001,         -9.9811,         -0.0004
          14,        0.108333,         -9.9326,         -9.7133,         -9.0101,         -7.4862,          0.0000,          0.0002,         -9.9868,          0.0004
          15,        0.116667,         -9.9515,         -9.7925,         -9.2851,         -8.2054,          0.0000,         -0.0001,         -9.9908,         -0.0005
          16,        0.125000,         -9.9643,         -9.8486,         -9.4798,         -8.6966,         -2.5383,         -0.0001,         -9.9934,          0.0000
          17,        0.133333,         -9.9743,         -9.8880,         -9.6185,         -9.0428,         -5.2186,         -0.0001,         -9.9947,          0.0006
          18,        0.141667,         -9.9811,         -9.9167,         -9.7187,         -9.2956,         -6.6600,         -0.0001,         -9.9963,         -0.0002
          19,        0.150000,         -9.9860,         -9.9383,         -9.7917,         -9.4783,         -7.5829,         -1.8456,         -9.9976,         -0.0000
          20,        0.158333,         -9.9898,         -9.9542,         -9.8442,         -9.6116,         -8.2214,         -4.5601,         -9.9983,          0.0009
          21,        0.166667,         -9.9927,         -9.9662,         -9.8828,         -9.7094,         -8.6714,         -6.1632,         -9.9984,         -2.7065
          22,        0.175000,         -9.9944,         -9.9749,         -9.9113,         -9.7816,         -9.0017,         -7.2013,         -9.9989,         -4.7218
          23,        0.183333,         -9.9959,         -9.9812,         -9.9332,         -9.8350,         -9.2491,         -7.9174,         -9.9995,         -6.6884
          24,        0.191667,         -9.9970,         -9.9861,         -9.9498,         -9.8746,         -9.4327,         -8.4342,         -9.9994,         -7.5273
          25,        0.200000,         -9.9979,         -9.9895,         -9.9625,         -9.9043,         -9.5696,         -8.8129,         -9.9997,         -8.0543
          26,        0.208333,         -9.9983,         -9.9921,         -9.9716,         -9.9271,         -9.6725,         -9.1211,         -9.9997,         -8.4696
          27,        0.216667,         -9.9989,         -9.9941,         -9.9786,         -9.9445,         -9.7499,         -9.3403,         -9.9998,         -8.8172
          28,        0.225000,         -9.9991,         -9.9956,         -9.9838,         -9.9580,         -9.8083,         -9.4996,        -10.0000,         -9.0921
          29,        0.233333,         -9.9992,         -9.9968,         -9.9878,         -9.9679,         -9.8520,         -9.6188,         -9.9999,         -9.3050
          30,        0.241667,         -9.9994,         -9.9974,         -9.9906,         -9.9758,         -9.8858,         -9.7086,         -9.9999,         -9.4698
          31,        0.250000,         -9.9996,         -9.9982,         -9.9931,         -9.9816,         -9.9122,         -9.7765,        -10.0001,         -9.5934
          32,        0.258333,         -9.9995,         -9.9986,         -9.9947,         -9.9860,         -9.9327,         -9.8276,        -10.0000,         -9.6882
          33,        0.266667,         -9.9995,         -9.9989,         -9.9960,         -9.9895,         -9.9481,         -9.8660,        -10.0000,         -9.7594
          34,        0.275000,         -9.9999,         -9.9991,         -9.9971,         -9.9918,         -9.9601,         -9.8969,         -9.9996,         -9.8131
          35,        0.283333,        -10.0001,         -9.9995,         -9.9977,         -9.9939,         -9.9695,         -9.9201,        -10.0001,         -9.8551
          36,        0.291667,         -9.9998,         -9.9995,         -9.9984,         -9.9953,         -9.9766,         -9.9387,        -10.0000,         -9.8876
          37,        0.300000,        -10.0000,         -9.9997,         -9.9989,         -9.9962,         -9.9820,         -9.9527,        -10.0000,         -9.9133
          38,        0.308333,         -9.9999,         -9.9997,         -9.9990,         -9.9973,         -9.9861,         -9.9634,         -9.9999,         -9.9328
          39,        0.316667,        -10.0000,         -9.9998,         -9.9990,         -9.9980,         -9.9894,         -9.9719,        -10.0001,         -9.9486
          40,        0.325000,        -10.0000,         -9.9995,         -9.9997,         -9.9984,         -9.9921,         -9.9780,        -10.0001,         -9.9601
          41,        0.333333,        -10.0000,         -9.9997,         -9.9995,         -9.9987,         -9.9939,         -9.9834,        -10.0000,         -9.9691
          42,        0.341667,         -9.9998,         -9.9999,         -9.9998,         -9.9991,         -9.9952,         -9.9872,        -10.0000,         -9.9760
          43,        0.350000,        -10.0000,         -9.9999,         -9.9998,         -9.9992,         -9.9963,         -9.9904,         -9.9999,         -9.9817
          44,        0.358333,        -10.0002,         -9.9999,         -9.9999,         -9.9995,         -9.9968,         -9.9926,        -10.0001,         -9.9859
          45,        0.366667,        -10.0000,        -10.0000,         -9.9997,         -9.9994,         -9.9980,         -9.9942,         -9.9998,         -9.9893
