"InphaseC4_013 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Inphase\runs\InphaseC4_013.tcf]","Time (h)","V 2 [InphaseC4_013]","V 3 [InphaseC4_013]","V 4 [InphaseC4_013]","V 5 [InphaseC4_013]","V 6 [InphaseC4_013]","V 7 [InphaseC4_013]","V 8 [InphaseC4_013]","V 9 [InphaseC4_013]","V 10 [InphaseC4_013]","V 11 [InphaseC4_013]","V 12 [InphaseC4_013]","V 13 [InphaseC4_013]","V 14 [InphaseC4_013]","V 15 [InphaseC4_013]","V 16 [InphaseC4_013]","V  1 [InphaseC4_013]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          3.2197,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          2.6807
           3,        0.016667,          2.7492,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          2.6346
           4,        0.025000,          2.5142,          0.0000,          0.8011,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0001,          2.6327
           5,        0.033333,          1.6768,          0.0755,          0.6600,          0.4881,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0001,          0.0001,          2.6327
           6,        0.041667,          1.4779,          0.0765,          0.7285,          1.3875,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          0.0001,          2.6292
           7,        0.050000,          1.3935,          0.1965,          0.8387,          1.6397,          1.9971,          0.0000,          0.0000,          0.0000,          0.0002,          0.0002,          0.0000,          0.0001,          0.0001,          0.0000,          0.0000,          2.1850
           8,        0.058333,          1.3145,          0.2350,          0.8850,          1.7953,          2.3090,          0.0000,          0.0000,          0.0000,          0.0002,          0.0002,          0.0000,          0.0002,          0.0000,          0.0000,          0.0000,          1.9377
           9,        0.066667,          1.2649,          0.2705,          0.9110,          1.8738,          2.4721,          0.0000,          0.2315,          0.0000,          0.0001,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          1.8149
          10,        0.075000,          1.2414,          0.3024,          0.9358,          1.9228,          1.9244,          0.0000,          0.3809,          0.0000,          0.0001,          0.0001,          0.0000,          0.0002,          0.0000,          0.0001,          0.0001,          1.7371
          11,        0.083333,          1.2242,          0.3227,          0.9521,          1.9575,          1.6455,          0.0000,          0.4850,          0.0000,          0.0002,          0.0001,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          1.6893
          12,        0.091667,          1.2089,          0.3360,          0.9619,          1.9799,          1.4881,          0.0420,          0.5649,          0.7272,          0.0001,          0.0001,          0.0000,          0.0001,          0.0000,          0.0001,          0.0000,          1.6597
          13,        0.100000,          1.1990,          0.3459,          0.9685,          1.9938,          1.3957,          0.1199,          0.6324,          1.2100,          0.3184,          0.2574,          0.0000,          0.0001,          0.0000,          0.0001,          0.0000,          1.6401
          14,        0.108333,          1.1936,          0.3540,          0.9733,          2.0029,          1.3349,          0.1653,          0.6867,          1.4621,          0.3384,          0.3793,          0.3278,          0.0000,          0.0000,          0.0000,          0.0000,          1.6264
          15,        0.116667,          1.1895,          0.3596,          0.9762,          2.0092,          1.2957,          0.2014,          0.7255,          1.6156,          0.1932,          0.3844,          0.4909,          0.2774,          0.0668,          0.0001,          0.0001,          1.6180
          16,        0.125000,          1.1870,          0.3632,          0.9780,          2.0133,          1.2679,          0.2299,          0.7547,          1.7137,          0.1594,          0.4157,          0.6784,          0.4215,          0.2092,          0.1227,          0.0350,          1.6121
          17,        0.133333,          1.1852,          0.3656,          0.9791,          2.0161,          1.2478,          0.2512,          0.7754,          1.7771,          0.1885,          0.4357,          0.8361,          0.6331,          0.3613,          0.2136,          0.1886,          1.6076
          18,        0.141667,          1.1839,          0.3671,          0.9799,          2.0180,          1.2332,          0.2689,          0.7903,          1.8194,          0.2237,          0.4525,          0.9516,          0.8799,          0.6423,          0.4009,          0.3573,          1.6052
          19,        0.150000,          1.1830,          0.3681,          0.9804,          2.0193,          1.2226,          0.2812,          0.8010,          1.8484,          0.2577,          0.4723,          1.0248,          1.2309,          0.9224,          0.5305,          0.4843,          1.6034
          20,        0.158333,          1.1825,          0.3687,          0.9807,          2.0201,          1.2155,          0.2902,          0.8087,          1.8664,          0.2919,          0.4973,          1.0744,          1.4609,          1.0594,          0.6003,          0.5706,          1.6022
          21,        0.166667,          1.1821,          0.3691,          0.9811,          2.0206,          1.2108,          0.2970,          0.8139,          1.8797,          0.3196,          0.5199,          1.1113,          1.6305,          1.1853,          0.6979,          0.6162,          1.6014
          22,        0.175000,          1.1819,          0.3693,          0.9813,          2.0210,          1.2073,          0.3019,          0.8176,          1.8914,          0.3428,          0.5361,          1.1383,          1.7568,          1.2730,          0.7679,          0.6583,          1.6009
          23,        0.183333,          1.1817,          0.3696,          0.9814,          2.0213,          1.2049,          0.3049,          0.8202,          1.8991,          0.3604,          0.5481,          1.1570,          1.8436,          1.3258,          0.8153,          0.7003,          1.6005
          24,        0.191667,          1.1816,          0.3696,          0.9815,          2.0214,          1.2029,          0.3071,          0.8220,          1.9046,          0.3730,          0.5578,          1.1702,          1.8796,          1.3673,          0.8565,          0.7517,          1.6003
          25,        0.200000,          1.1815,          0.3697,          0.9816,          2.0215,          1.2018,          0.3086,          0.8231,          1.9066,          0.3826,          0.5651,          1.1799,          1.9082,          1.3939,          0.8851,          0.7882,          1.6001
          26,        0.208333,          1.1815,          0.3697,          0.9816,          2.0216,          1.2010,          0.3096,          0.8239,          1.9108,          0.3898,          0.5704,          1.1868,          1.9356,          1.4128,          0.9047,          0.8122,          1.6000
          27,        0.216667,          1.1815,          0.3698,          0.9816,          2.0217,          1.2004,          0.3104,          0.8245,          1.9091,          0.3952,          0.5744,          1.1916,          1.9497,          1.4272,          0.9183,          0.8277,          1.6000
          28,        0.225000,          1.1815,          0.3698,          0.9817,          2.0217,          1.2000,          0.3109,          0.8250,          1.9082,          0.3993,          0.5774,          1.1950,          1.9583,          1.4369,          0.9274,          0.8383,          1.5999
          29,        0.233333,          1.1814,          0.3698,          0.9817,          2.0217,          1.1997,          0.3113,          0.8253,          1.9070,          0.4021,          0.5795,          1.1976,          1.9646,          1.4439,          0.9337,          0.8454,          1.5999
          30,        0.241667,          1.1814,          0.3699,          0.9817,          2.0217,          1.1995,          0.3115,          0.8254,          1.9059,          0.4040,          0.5809,          1.1993,          1.9690,          1.4488,          0.9382,          0.8503,          1.5998
          31,        0.250000,          1.1814,          0.3698,          0.9816,          2.0217,          1.1994,          0.3117,          0.8256,          1.9045,          0.4054,          0.5819,          1.2005,          1.9719,          1.4521,          0.9415,          0.8538,          1.5998
          32,        0.258333,          1.1814,          0.3698,          0.9816,          2.0217,          1.1993,          0.3118,          0.8257,          1.9036,          0.4063,          0.5826,          1.2014,          1.9737,          1.4544,          0.9438,          0.8563,          1.5998
          33,        0.266667,          1.1814,          0.3698,          0.9816,          2.0217,          1.1993,          0.3118,          0.8256,          1.9031,          0.4070,          0.5831,          1.2019,          1.9752,          1.4560,          0.9455,          0.8581,          1.5998
          34,        0.275000,          1.1814,          0.3698,          0.9817,          2.0217,          1.1992,          0.3119,          0.8257,          1.9028,          0.4075,          0.5835,          1.2023,          1.9762,          1.4572,          0.9466,          0.8593,          1.5998
          35,        0.283333,          1.1814,          0.3699,          0.9817,          2.0217,          1.1992,          0.3119,          0.8257,          1.9047,          0.4079,          0.5837,          1.2027,          1.9769,          1.4580,          0.9474,          0.8602,          1.5998
          36,        0.291667,          1.1814,          0.3698,          0.9816,          2.0217,          1.1991,          0.3119,          0.8258,          1.9060,          0.4082,          0.5839,          1.2029,          1.9773,          1.4586,          0.9480,          0.8608,          1.5998
          37,        0.300000,          1.1814,          0.3698,          0.9817,          2.0217,          1.1991,          0.3120,          0.8257,          1.9059,          0.4084,          0.5840,          1.2031,          1.9777,          1.4590,          0.9484,          0.8612,          1.5998
          38,        0.308333,          1.1814,          0.3699,          0.9816,          2.0217,          1.1991,          0.3120,          0.8258,          1.9060,          0.4085,          0.5842,          1.2031,          1.9779,          1.4593,          0.9487,          0.8616,          1.5998
          39,        0.316667,          1.1814,          0.3699,          0.9816,          2.0217,          1.1991,          0.3120,          0.8258,          1.9059,          0.4086,          0.5842,          1.2033,          1.9781,          1.4594,          0.9489,          0.8617,          1.5998
          40,        0.325000,          1.1814,          0.3699,          0.9817,          2.0217,          1.1991,          0.3120,          0.8258,          1.9059,          0.4087,          0.5842,          1.2032,          1.9782,          1.4596,          0.9490,          0.8620,          1.5998
          41,        0.333333,          1.1814,          0.3698,          0.9817,          2.0217,          1.1992,          0.3119,          0.8258,          1.9059,          0.4088,          0.5842,          1.2033,          1.9782,          1.4597,          0.9491,          0.8621,          1.5998
          42,        0.341667,          1.1814,          0.3698,          0.9816,          2.0218,          1.1991,          0.3120,          0.8257,          1.9059,          0.4087,          0.5842,          1.2033,          1.9783,          1.4597,          0.9492,          0.8621,          1.5998
          43,        0.350000,          1.1814,          0.3699,          0.9817,          2.0217,          1.1992,          0.3120,          0.8258,          1.9058,          0.4088,          0.5843,          1.2033,          1.9784,          1.4598,          0.9492,          0.8622,          1.5998
          44,        0.358333,          1.1814,          0.3698,          0.9816,          2.0217,          1.1991,          0.3120,          0.8258,          1.9059,          0.4088,          0.5843,          1.2034,          1.9784,          1.4598,          0.9492,          0.8621,          1.5998
          45,        0.366667,          1.1814,          0.3698,          0.9816,          2.0217,          1.1991,          0.3120,          0.8258,          1.9059,          0.4088,          0.5843,          1.2034,          1.9783,          1.4599,          0.9493,          0.8622,          1.5998
          46,        0.375000,          1.1814,          0.3698,          0.9816,          2.0217,          1.1991,          0.3120,          0.8258,          1.9058,          0.4088,          0.5843,          1.2033,          1.9784,          1.4599,          0.9492,          0.8622,          1.5997
          47,        0.383333,          1.1814,          0.3699,          0.9816,          2.0217,          1.1991,          0.3120,          0.8258,          1.9058,          0.4088,          0.5842,          1.2033,          1.9784,          1.4598,          0.9493,          0.8622,          1.5998
          48,        0.391667,          1.1814,          0.3699,          0.9816,          2.0217,          1.1991,          0.3120,          0.8258,          1.9059,          0.4088,          0.5843,          1.2033,          1.9784,          1.4599,          0.9493,          0.8622,          1.5998
          49,        0.400000,          1.1814,          0.3698,          0.9816,          2.0217,          1.1991,          0.3120,          0.8258,          1.9059,          0.4088,          0.5843,          1.2033,          1.9784,          1.4599,          0.9493,          0.8622,          1.5998
          50,        0.408333,          1.1814,          0.3698,          0.9816,          2.0217,          1.1991,          0.3120,          0.8259,          1.9060,          0.4088,          0.5842,          1.2034,          1.9784,          1.4599,          0.9493,          0.8623,          1.5998
          51,        0.416667,          1.1814,          0.3698,          0.9816,          2.0217,          1.1991,          0.3120,          0.8258,          1.9060,          0.4089,          0.5843,          1.2034,          1.9784,          1.4598,          0.9493,          0.8622,          1.5998
          52,        0.425000,          1.1815,          0.3698,          0.9817,          2.0218,          1.1991,          0.3120,          0.8258,          1.9059,          0.4088,          0.5844,          1.2034,          1.9784,          1.4599,          0.9493,          0.8622,          1.5998
          53,        0.433333,          1.1814,          0.3699,          0.9817,          2.0217,          1.1991,          0.3120,          0.8258,          1.9059,          0.4088,          0.5843,          1.2034,          1.9784,          1.4599,          0.9493,          0.8623,          1.5998
          54,        0.441667,          1.1814,          0.3698,          0.9817,          2.0218,          1.1991,          0.3120,          0.8258,          1.9060,          0.4088,          0.5843,          1.2035,          1.9784,          1.4599,          0.9493,          0.8622,          1.5998
          55,        0.450000,          1.1814,          0.3698,          0.9817,          2.0217,          1.1991,          0.3120,          0.8258,          1.9059,          0.4088,          0.5843,          1.2034,          1.9784,          1.4599,          0.9493,          0.8623,          1.5998
          56,        0.458333,          1.1814,          0.3699,          0.9817,          2.0217,          1.1991,          0.3120,          0.8258,          1.9059,          0.4089,          0.5843,          1.2034,          1.9784,          1.4599,          0.9493,          0.8622,          1.5998
          57,        0.466667,          1.1814,          0.3698,          0.9817,          2.0217,          1.1991,          0.3119,          0.8258,          1.9059,          0.4088,          0.5843,          1.2034,          1.9784,          1.4599,          0.9493,          0.8622,          1.5997
          58,        0.475000,          1.1814,          0.3698,          0.9817,          2.0217,          1.1991,          0.3120,          0.8259,          1.9059,          0.4088,          0.5844,          1.2034,          1.9784,          1.4599,          0.9493,          0.8623,          1.5998
          59,        0.483333,          1.1814,          0.3699,          0.9816,          2.0218,          1.1991,          0.3119,          0.8258,          1.9059,          0.4088,          0.5843,          1.2034,          1.9784,          1.4598,          0.9493,          0.8622,          1.5998
          60,        0.491667,          1.1814,          0.3698,          0.9817,          2.0217,          1.1991,          0.3121,          0.8258,          1.9059,          0.4088,          0.5843,          1.2034,          1.9784,          1.4599,          0.9493,          0.8623,          1.5998
          61,        0.500000,          1.1814,          0.3698,          0.9816,          2.0217,          1.1991,          0.3119,          0.8258,          1.9059,          0.4088,          0.5843,          1.2034,          1.9784,          1.4599,          0.9493,          0.8622,          1.5998
          62,        0.508333,          1.1814,          0.3699,          0.9816,          2.0217,          1.1991,          0.3120,          0.8258,          1.9060,          0.4088,          0.5843,          1.2034,          1.9784,          1.4599,          0.9493,          0.8622,          1.5998
