"InphaseC4_013 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Inphase\runs\InphaseC4_013.tcf]","Time (h)","Q 2 [InphaseC4_013]","Q 3 [InphaseC4_013]","Q 4 [InphaseC4_013]","Q 5 [InphaseC4_013]","Q 6 [InphaseC4_013]","Q 7 [InphaseC4_013]","Q 1 [InphaseC4_013]","Q  8 [InphaseC4_013]"
          47,        0.383333,        -19.9999,        -20.0002,        -19.9999,        -19.9996,        -19.9997,        -19.9999,        -20.0001,        -19.9987
          48,        0.391667,        -20.0001,        -20.0001,        -19.9998,        -20.0005,        -19.9995,        -19.9997,        -19.9999,        -19.9990
          49,        0.400000,        -20.0001,        -20.0000,        -19.9994,        -19.9998,        -19.9993,        -19.9998,        -19.9999,        -20.0003
          50,        0.408333,        -19.9999,        -19.9999,        -19.9999,        -19.9997,        -20.0008,        -20.0002,        -20.0000,        -19.9993
          51,        0.416667,        -20.0001,        -20.0001,        -19.9998,        -19.9998,        -20.0004,        -19.9999,        -20.0001,        -19.9999
          52,        0.425000,        -19.9996,        -20.0003,        -19.9998,        -20.0001,        -20.0005,        -19.9999,        -20.0000,        -20.0000
          53,        0.433333,        -19.9998,        -20.0002,        -19.9996,        -20.0004,        -20.0000,        -20.0001,        -19.9999,        -20.0000
          54,        0.441667,        -19.9998,        -19.9999,        -19.9997,        -19.9999,        -20.0005,        -19.9999,        -20.0001,        -20.0000
          55,        0.450000,        -19.9995,        -20.0000,        -19.9993,        -20.0001,        -19.9995,        -20.0000,        -19.9999,        -20.0006
          56,        0.458333,        -20.0000,        -19.9998,        -19.9999,        -20.0002,        -19.9993,        -20.0000,        -20.0001,        -20.0004
          57,        0.466667,        -20.0002,        -20.0003,        -20.0001,        -20.0000,        -20.0009,        -19.9999,        -20.0001,        -20.0003
          58,        0.475000,        -19.9996,        -20.0000,        -19.9994,        -20.0001,        -20.0004,        -20.0002,        -20.0001,        -20.0005
          59,        0.483333,        -19.9998,        -19.9998,        -20.0002,        -20.0002,        -20.0001,        -20.0001,        -20.0001,        -19.9997
          60,        0.491667,        -20.0002,        -19.9999,        -20.0000,        -20.0002,        -20.0001,        -20.0001,        -20.0002,        -20.0001
          61,        0.500000,        -19.9999,        -20.0001,        -19.9997,        -19.9998,        -20.0000,        -20.0000,        -19.9999,        -20.0000
          62,        0.508333,        -19.9996,        -20.0002,        -19.9998,        -19.9997,        -20.0000,        -20.0001,        -19.9999,        -20.0003
          63,        0.516667,        -20.0003,        -19.9999,        -19.9993,        -20.0002,        -20.0000,        -19.9998,        -20.0002,        -19.9996
          64,        0.525000,        -19.9996,        -19.9999,        -19.9998,        -20.0001,        -19.9998,        -20.0000,        -20.0001,        -19.9999
          65,        0.533333,        -19.9999,        -20.0000,        -20.0001,        -20.0001,        -20.0001,        -20.0000,        -20.0000,        -19.9995
          66,        0.541667,        -19.9999,        -20.0001,        -19.9999,        -20.0000,        -19.9999,        -20.0000,        -20.0003,        -20.0004
          67,        0.550000,        -20.0000,        -20.0002,        -20.0003,        -19.9999,        -20.0008,        -20.0002,        -20.0000,        -20.0004
          68,        0.558333,        -20.0001,        -20.0000,        -19.9999,        -20.0004,        -20.0000,        -20.0000,        -20.0000,        -20.0001
          69,        0.566667,        -20.0003,        -20.0001,        -20.0000,        -19.9999,        -20.0006,        -20.0003,        -20.0001,        -19.9997
          70,        0.575000,        -19.9995,        -20.0001,        -20.0000,        -19.9999,        -19.9998,        -20.0001,        -20.0000,        -19.9998
          71,        0.583333,        -19.9999,        -19.9999,        -20.0001,        -20.0003,        -20.0001,        -20.0003,        -19.9999,        -19.9992
          72,        0.591667,        -20.0008,        -20.0001,        -20.0002,        -19.9997,        -19.9998,        -19.9998,        -19.9999,        -19.9995
          73,        0.600000,        -20.0002,        -20.0001,        -19.9994,        -19.9999,        -19.9996,        -20.0002,        -20.0000,        -20.0002
          74,        0.608333,        -19.9996,        -20.0003,        -20.0004,        -20.0004,        -19.9995,        -19.9999,        -20.0004,        -20.0003
          75,        0.616667,        -19.9993,        -20.0001,        -19.9999,        -19.9997,        -19.9997,        -20.0002,        -20.0002,        -20.0002
          76,        0.625000,        -20.0000,        -20.0000,        -19.9995,        -20.0000,        -20.0010,        -20.0003,        -20.0000,        -19.9998
          77,        0.633333,        -19.9993,        -20.0000,        -20.0000,        -20.0005,        -20.0003,        -20.0003,        -19.9999,        -19.9994
          78,        0.641667,        -19.9998,        -19.9999,        -20.0000,        -20.0000,        -19.9999,        -20.0001,        -20.0002,        -19.9993
          79,        0.650000,        -20.0004,        -20.0000,        -20.0000,        -20.0002,        -19.9995,        -20.0001,        -20.0001,        -19.9996
          80,        0.658333,        -19.9995,        -19.9999,        -20.0006,        -20.0000,        -19.9997,        -19.9998,        -20.0002,        -20.0001
          81,        0.666667,        -19.9998,        -20.0000,        -20.0002,        -20.0000,        -20.0000,        -19.9999,        -20.0000,        -19.9991
          82,        0.675000,        -20.0000,        -20.0000,        -20.0000,        -20.0002,        -19.9997,        -19.9997,        -19.9997,        -20.0004
          83,        0.683333,        -20.0001,        -19.9999,        -19.9996,        -20.0001,        -20.0005,        -20.0001,        -19.9997,        -20.0000
          84,        0.691667,        -19.9999,        -20.0000,        -19.9995,        -19.9998,        -19.9996,        -20.0000,        -20.0000,        -19.9999
          85,        0.700000,        -20.0000,        -20.0000,        -20.0000,        -20.0002,        -20.0000,        -19.9999,        -20.0001,        -20.0001
          86,        0.708333,        -20.0000,        -19.9999,        -20.0003,        -19.9999,        -19.9999,        -20.0000,        -20.0000,        -20.0005
          87,        0.716667,        -19.9996,        -19.9997,        -20.0003,        -19.9999,        -19.9998,        -20.0001,        -19.9997,        -20.0002
          88,        0.725000,        -19.9997,        -20.0002,        -20.0001,        -20.0000,        -20.0000,        -20.0001,        -19.9999,        -20.0000
          89,        0.733333,        -20.0000,        -20.0002,        -19.9999,        -20.0000,        -19.9994,        -20.0004,        -20.0002,        -20.0003
          90,        0.741667,        -20.0001,        -19.9998,        -20.0005,        -20.0001,        -20.0006,        -20.0001,        -20.0002,        -20.0004
          91,        0.750000,        -20.0000,        -20.0000,        -20.0001,        -20.0001,        -19.9997,        -20.0002,        -20.0001,        -20.0003
          92,        0.758333,        -20.0001,        -20.0000,        -19.9996,        -20.0002,        -20.0002,        -20.0002,        -20.0001,        -20.0004
          93,        0.766667,        -20.0000,        -20.0000,        -19.9999,        -19.9993,        -19.9999,        -19.9999,        -20.0002,        -19.9994
          94,        0.775000,        -19.9998,        -20.0001,        -19.9997,        -20.0003,        -20.0000,        -19.9999,        -20.0000,        -20.0003
