"OutphaseC4_008 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_008.tcf]","Time (h)","Q 2 [OutphaseC4_008]","Q 3 [OutphaseC4_008]","Q 4 [OutphaseC4_008]","Q 5 [OutphaseC4_008]","Q 6 [OutphaseC4_008]","Q 7 [OutphaseC4_008]","Q 1 [OutphaseC4_008]","Q  8 [OutphaseC4_008]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.6043,          0.0000
           4,        0.025000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.3538,          0.0000
           5,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.9024,          0.0000
           6,        0.041667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -2.5240,          0.0000
           7,        0.050000,         -0.4021,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -3.1764,          0.0000
           8,        0.058333,         -1.5119,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -3.8098,          0.0000
           9,        0.066667,         -2.5763,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -4.6275,          0.0000
          10,        0.075000,         -3.5695,         -0.5457,          0.0000,          0.0000,          0.0000,          0.0000,         -5.2249,          0.0000
          11,        0.083333,         -4.4694,         -1.6216,          0.0000,          0.0000,          0.0000,          0.0000,         -5.8331,          0.0000
          12,        0.091667,         -5.2211,         -1.7990,          0.0000,          0.0000,          0.0000,          0.0000,         -6.2645,          0.0000
          13,        0.100000,         -5.8528,         -2.2369,          0.0000,          0.0000,          0.0000,          0.0000,         -6.6719,          0.0000
          14,        0.108333,         -6.3312,         -2.5270,          0.0000,          0.0000,          0.0000,          0.0000,         -6.9918,          0.0000
          15,        0.116667,         -6.7321,         -2.7211,          0.0000,          0.0000,          0.0000,          0.0000,         -7.1934,          0.0000
          16,        0.125000,         -7.0264,         -2.9561,          0.0000,          0.0000,          0.0000,          0.0000,         -7.4482,          0.0000
          17,        0.133333,         -7.2700,         -3.0920,          0.0000,          0.0000,          0.0000,          0.0000,         -7.5432,          0.0000
          18,        0.141667,         -7.4415,         -3.2433,          0.0000,          0.0000,          0.0000,          0.0000,         -7.6597,          0.0000
          19,        0.150000,         -7.5843,         -3.3599,          0.0000,          0.0000,          0.0000,          0.0000,         -7.7488,          0.0000
          20,        0.158333,         -7.6835,         -3.4812,          0.0000,          0.0000,          0.0000,          0.0000,         -7.7990,          0.0000
          21,        0.166667,         -7.7648,         -3.6085,          0.0000,          0.0000,          0.0000,          0.0000,         -7.8801,          0.0000
          22,        0.175000,         -7.8250,         -3.7612,         -0.1648,          0.0000,          0.0000,          0.0000,         -7.8675,          0.0000
          23,        0.183333,         -7.8650,         -3.9452,         -0.5045,          0.0000,          0.0000,          0.0000,         -7.9183,          0.0000
          24,        0.191667,         -7.9019,         -4.1724,         -0.8972,          0.0000,          0.0000,          0.0000,         -7.9479,          0.0000
          25,        0.200000,         -7.9209,         -4.4201,         -1.3426,         -0.0002,          0.0000,          0.0000,         -7.9495,          0.0000
          26,        0.208333,         -7.9418,         -4.6635,         -1.8184,         -0.9547,          0.0000,          0.0000,         -7.9773,          0.0000
          27,        0.216667,         -7.9593,         -4.9457,         -2.3118,         -1.5143,          0.0000,          0.0000,         -7.9627,          0.0000
