"VanillaC4_014 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\runs\VanillaC4_014.tcf]","Time (h)","V 2 [VanillaC4_014]","V 3 [VanillaC4_014]","V 4 [VanillaC4_014]","V 5 [VanillaC4_014]","V 6 [VanillaC4_014]","V 7 [VanillaC4_014]","V 8 [VanillaC4_014]","V 9 [VanillaC4_014]","V 10 [VanillaC4_014]","V 11 [VanillaC4_014]","V 12 [VanillaC4_014]","V 13 [VanillaC4_014]","V 14 [VanillaC4_014]","V 15 [VanillaC4_014]","V 16 [VanillaC4_014]","V  1 [VanillaC4_014]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          2.4381,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          2.3220
           3,        0.016667,          2.0236,          1.2756,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          1.9458
           4,        0.025000,          1.8661,          1.3797,          1.8815,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          1.8310
           5,        0.033333,          1.7898,          1.3613,          1.7948,          1.7849,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0001,          0.0002,          1.7685
           6,        0.041667,          1.7441,          1.3453,          1.7376,          1.7375,          1.8141,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0001,          0.0001,          0.0000,          1.7307
           7,        0.050000,          1.7150,          1.3299,          1.6984,          1.6983,          1.7694,          1.1803,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0000,          0.0000,          1.7056
           8,        0.058333,          1.6951,          1.3198,          1.6717,          1.6700,          1.7338,          1.2649,          1.1785,          0.0000,          0.0000,          0.0001,          0.0004,          0.0001,          0.0001,          0.0001,          0.0001,          1.6885
           9,        0.066667,          1.6810,          1.3125,          1.6539,          1.6487,          1.7075,          1.2904,          1.2944,          1.1549,          0.0000,          0.0000,          0.0003,          0.0001,          0.0002,          0.0001,          0.0000,          1.6768
          10,        0.075000,          1.6711,          1.3067,          1.6402,          1.6331,          1.6880,          1.2994,          1.3236,          1.3253,          1.1161,          0.0001,          0.0005,          0.0001,          0.0000,          0.0001,          0.0001,          1.6680
          11,        0.083333,          1.6639,          1.3023,          1.6301,          1.6219,          1.6732,          1.3010,          1.3369,          1.3628,          1.3452,          1.0975,          0.0001,          0.0001,          0.0000,          0.0001,          0.0001,          1.6620
          12,        0.091667,          1.6587,          1.2992,          1.6225,          1.6130,          1.6625,          1.2997,          1.3386,          1.3735,          1.3869,          1.3314,          0.6841,          0.3923,          0.0000,          0.0001,          0.0000,          1.6577
          13,        0.100000,          1.6548,          1.2969,          1.6166,          1.6063,          1.6539,          1.2989,          1.3392,          1.3790,          1.4011,          1.3895,          0.8953,          0.9301,          0.8710,          0.1865,          0.0001,          1.6544
          14,        0.108333,          1.6520,          1.2949,          1.6125,          1.6011,          1.6472,          1.2976,          1.3399,          1.3794,          1.4054,          1.4101,          1.0204,          1.0985,          1.1813,          0.7810,          0.4668,          1.6519
          15,        0.116667,          1.6498,          1.2935,          1.6093,          1.5972,          1.6420,          1.2962,          1.3387,          1.3780,          1.4062,          1.4194,          1.0898,          1.1966,          1.3182,          1.0055,          1.0036,          1.6499
          16,        0.125000,          1.6481,          1.2923,          1.6069,          1.5942,          1.6378,          1.2949,          1.3372,          1.3770,          1.4062,          1.4238,          1.1274,          1.2512,          1.3912,          1.2883,          1.2362,          1.6486
          17,        0.133333,          1.6469,          1.2915,          1.6051,          1.5920,          1.6349,          1.2937,          1.3358,          1.3757,          1.4060,          1.4245,          1.1517,          1.2896,          1.4828,          1.4380,          1.3283,          1.6476
          18,        0.141667,          1.6459,          1.2908,          1.6036,          1.5902,          1.6326,          1.2930,          1.3344,          1.3743,          1.4050,          1.4254,          1.1706,          1.3567,          1.5657,          1.4921,          1.3816,          1.6468
          19,        0.150000,          1.6452,          1.2903,          1.6025,          1.5888,          1.6308,          1.2922,          1.3333,          1.3730,          1.4037,          1.4257,          1.2023,          1.3889,          1.5929,          1.5222,          1.4199,          1.6463
          20,        0.158333,          1.6447,          1.2899,          1.6016,          1.5877,          1.6293,          1.2916,          1.3324,          1.3719,          1.4026,          1.4274,          1.2171,          1.4026,          1.6074,          1.5433,          1.4513,          1.6458
          21,        0.166667,          1.6442,          1.2897,          1.6010,          1.5868,          1.6282,          1.2911,          1.3318,          1.3712,          1.4019,          1.4318,          1.2243,          1.4108,          1.6165,          1.5593,          1.4774,          1.6454
          22,        0.175000,          1.6440,          1.2894,          1.6004,          1.5862,          1.6273,          1.2907,          1.3313,          1.3705,          1.4025,          1.4336,          1.2289,          1.4161,          1.6225,          1.5715,          1.4981,          1.6452
