"InphaseC4_016 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_InphaseC4\runs\InphaseC4_016.tcf]","Time (h)","V 2 [InphaseC4_016]","V 3 [InphaseC4_016]","V 4 [InphaseC4_016]","V 5 [InphaseC4_016]","V 6 [InphaseC4_016]","V 7 [InphaseC4_016]","V 8 [InphaseC4_016]","V 9 [InphaseC4_016]","V 10 [InphaseC4_016]","V 11 [InphaseC4_016]","V 12 [InphaseC4_016]","V 13 [InphaseC4_016]","V 14 [InphaseC4_016]","V 15 [InphaseC4_016]","V 16 [InphaseC4_016]","V  1 [InphaseC4_016]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          4.0589,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          3.1758
           3,        0.016667,          3.1624,          0.6490,          1.8936,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0001,          0.0000,          3.1469
           4,        0.025000,          2.8313,          0.4384,          1.5098,          2.1691,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          3.1433
           5,        0.033333,          2.1230,          0.5029,          1.4770,          2.3006,          2.3979,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0000,          0.0001,          3.1350
           6,        0.041667,          1.9908,          0.6672,          1.5107,          2.3783,          2.5443,          0.0000,          1.0240,          0.0001,          0.0001,          0.0001,          0.0001,          0.0001,          0.0000,          0.0000,          0.0001,          2.4659
           7,        0.050000,          1.9375,          0.7678,          1.5636,          2.4582,          2.4336,          0.3203,          0.9493,          1.2467,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0000,          2.2637
           8,        0.058333,          1.8918,          0.8193,          1.5838,          2.4989,          2.1442,          0.4648,          1.0495,          1.9702,          0.6447,          0.5582,          0.0000,          0.0001,          0.0000,          0.0000,          0.0001,          2.1675
           9,        0.066667,          1.8614,          0.8503,          1.5890,          2.5165,          2.0250,          0.6157,          1.1742,          2.2338,          0.6668,          0.7727,          0.8336,          0.4946,          0.0429,          0.0000,          0.0000,          2.1107
          10,        0.075000,          1.8455,          0.8724,          1.5911,          2.5260,          1.9481,          0.6904,          1.2476,          2.3790,          0.6974,          0.8899,          1.1643,          0.8340,          0.5140,          0.4035,          0.0897,          2.0753
