"InphaseC4_016 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_InphaseC4\runs\InphaseC4_016.tcf]","Time (h)","Q 2 [InphaseC4_016]","Q 3 [InphaseC4_016]","Q 4 [InphaseC4_016]","Q 5 [InphaseC4_016]","Q 6 [InphaseC4_016]","Q 7 [InphaseC4_016]","Q 1 [InphaseC4_016]","Q  8 [InphaseC4_016]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -46.9639,          0.0003
           3,        0.016667,        -42.5411,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0001,        -50.1066,         -0.0002
           4,        0.025000,        -39.9689,        -20.3228,          0.0000,          0.0000,          0.0000,          0.0004,        -50.1105,          0.0000
           5,        0.033333,        -39.1849,        -30.2325,        -20.4701,          0.0000,         -0.0005,          0.0013,        -50.0028,          0.0001
           6,        0.041667,        -42.6647,        -35.9512,        -28.4732,         -7.8963,          0.0001,          0.0001,        -47.3228,          0.0012
           7,        0.050000,        -46.1155,        -41.3900,        -30.3166,        -17.2140,         -0.0002,         -0.0005,        -48.4385,         -0.0004
           8,        0.058333,        -47.7482,        -45.0487,        -35.2390,        -25.4139,        -12.2301,         -0.0004,        -49.1197,          0.0001
           9,        0.066667,        -48.5347,        -47.0323,        -40.6627,        -33.5254,        -21.1576,         -1.6395,        -49.3870,          0.0004
          10,        0.075000,        -49.0603,        -48.1467,        -43.9592,        -39.4796,        -28.7159,        -17.3402,        -49.5739,        -14.5992
          11,        0.083333,        -49.4280,        -48.8540,        -45.9312,        -43.1436,        -35.2552,        -27.4704,        -49.7362,        -25.4705
          12,        0.091667,        -49.6589,        -49.3043,        -47.3245,        -45.5108,        -39.7627,        -36.2626,        -49.8428,        -39.5224
          13,        0.100000,        -49.7916,        -49.5802,        -48.2957,        -47.1129,        -42.9139,        -43.9927,        -49.9049,        -45.6962
          14,        0.108333,        -49.8723,        -49.7430,        -48.9195,        -48.1642,        -45.2901,        -45.3097,        -49.9410,        -46.5593
          15,        0.116667,        -49.9222,        -49.8438,        -49.3105,        -48.8320,        -47.2046,        -46.4567,        -49.9643,        -46.5690
          16,        0.125000,        -49.9531,        -49.9043,        -49.5621,        -49.2546,        -48.2843,        -47.3938,        -49.9782,        -47.0484
          17,        0.133333,        -49.9713,        -49.9413,        -49.7224,        -49.5267,        -48.8607,        -48.0842,        -49.9863,        -47.7899
          18,        0.141667,        -49.9819,        -49.9640,        -49.8250,        -49.7003,        -49.1985,        -48.6902,        -49.9924,        -48.5426
          19,        0.150000,        -49.9893,        -49.9776,        -49.8884,        -49.8101,        -49.4518,        -49.1289,        -49.9953,        -49.0747
          20,        0.158333,        -49.9930,        -49.9865,        -49.9302,        -49.8795,        -49.6351,        -49.4296,        -49.9969,        -49.4066
          21,        0.166667,        -49.9957,        -49.9915,        -49.9548,        -49.9242,        -49.7592,        -49.6269,        -49.9984,        -49.6123
          22,        0.175000,        -49.9975,        -49.9951,        -49.9721,        -49.9515,        -49.8380,        -49.7516,        -49.9989,        -49.7409
          23,        0.183333,        -49.9985,        -49.9966,        -49.9829,        -49.9699,        -49.8938,        -49.8341,        -49.9995,        -49.8254
          24,        0.191667,        -49.9993,        -49.9978,        -49.9891,        -49.9811,        -49.9308,        -49.8893,        -49.9998,        -49.8835
          25,        0.200000,        -49.9988,        -49.9987,        -49.9923,        -49.9876,        -49.9548,        -49.9262,        -49.9998,        -49.9222
          26,        0.208333,        -49.9994,        -49.9989,        -49.9961,        -49.9924,        -49.9698,        -49.9518,        -49.9996,        -49.9489
          27,        0.216667,        -49.9997,        -49.9997,        -49.9968,        -49.9951,        -49.9802,        -49.9688,        -49.9993,        -49.9668
          28,        0.225000,        -49.9992,        -49.9993,        -49.9985,        -49.9971,        -49.9875,        -49.9796,        -50.0002,        -49.9780
          29,        0.233333,        -50.0002,        -49.9998,        -49.9984,        -49.9984,        -49.9919,        -49.9872,        -49.9997,        -49.9864
          30,        0.241667,        -50.0000,        -49.9999,        -49.9990,        -49.9985,        -49.9946,        -49.9917,        -50.0003,        -49.9904
          31,        0.250000,        -49.9997,        -50.0003,        -49.9995,        -49.9994,        -49.9957,        -49.9946,        -50.0004,        -49.9943
          32,        0.258333,        -49.9998,        -50.0003,        -49.9998,        -50.0000,        -49.9976,        -49.9963,        -49.9996,        -49.9965
          33,        0.266667,        -49.9996,        -50.0000,        -49.9997,        -49.9997,        -49.9976,        -49.9979,        -50.0003,        -49.9973
          34,        0.275000,        -50.0000,        -50.0000,        -49.9994,        -49.9992,        -49.9982,        -49.9983,        -49.9998,        -49.9983
          35,        0.283333,        -50.0001,        -49.9999,        -50.0002,        -50.0001,        -49.9986,        -49.9993,        -50.0002,        -49.9991
