iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
1,0.025,0.025,0.025,0.000823975,0.0865021,0.00128174,8.65021
2,0.0504996,0.0255102,0.0254996,0.00349426,0.0882721,0.00500488,8.73773
3,0.0765193,0.0260308,0.0260197,0.00799561,0.0900726,0.0113068,8.82808
4,0.103081,0.0265621,0.0265618,0.0140533,0.103088,0.0198364,9.20961
5,0.130184,0.0271041,0.0271027,0.0210571,0.114471,0.0296936,9.67531
6,0.157837,0.0276573,0.0276535,0.0281677,0.122879,0.0397034,10.2986
7,0.186051,0.0282217,0.0282141,0.0346375,0.128387,0.0487976,11.2028
8,0.214836,0.0287977,0.0287844,0.0399933,0.131271,0.0563354,12.2167
9,0.244214,0.0293854,0.0293785,0.0441437,0.131943,0.062149,13.2386
10,0.274197,0.0299851,0.0299828,0.0472107,0.130875,0.0664063,14.2112
11,0.304779,0.030597,0.0305816,0.0492554,0.128525,0.0692291,15.0996
12,0.336,0.0312215,0.0312214,0.0518341,0.125381,0.06987,15.8607
13,0.367855,0.0318586,0.0318548,0.0567017,0.121918,0.068985,16.4782
14,0.400352,0.0325088,0.0324971,0.0615997,0.118408,0.0670776,16.9549
15,0.433518,0.0331722,0.0331662,0.0662994,0.115067,0.064621,17.3054
16,0.467363,0.0338492,0.0338446,0.0707397,0.117126,0.0618896,17.546
17,0.501894,0.03454,0.0345317,0.0749054,0.119522,0.0590668,17.6931
18,0.537121,0.0352449,0.0352268,0.0788269,0.121964,0.0562134,17.761
19,0.573072,0.0359642,0.035951,0.0822601,0.124451,0.0533905,17.7628
20,0.609755,0.0366982,0.0366833,0.0853424,0.126984,0.0505524,17.7075
21,0.647202,0.0374471,0.0374466,0.0878906,0.129578,0.0477448,17.6038
22,0.685396,0.0382114,0.0381936,0.0900269,0.132233,0.0472565,17.5002
23,0.724367,0.0389912,0.0389715,0.0947876,0.134918,0.0496063,17.4479
24,0.764149,0.0397869,0.0397823,0.0996857,0.13768,0.0516663,17.436
25,0.804722,0.0405989,0.0405725,0.104614,0.140488,0.0533447,17.4528
26,0.846146,0.0414274,0.0414243,0.109482,0.143356,0.0546875,17.4908
27,0.888399,0.0422729,0.0422528,0.113907,0.146286,0.0557251,17.5419
28,0.931515,0.0431356,0.0431157,0.117371,0.149261,0.0591431,17.6421
29,0.97553,0.0440159,0.0440153,0.119766,0.152313,0.0621033,17.7801
30,1.02042,0.0449142,0.0448855,0.121246,0.155426,0.0639648,17.9352
31,1.06624,0.0458308,0.0458272,0.125717,0.1586,0.0645294,18.0888
32,1.11298,0.0467662,0.0467357,0.130295,0.161835,0.0642242,18.2276
33,1.1607,0.0477206,0.0477204,0.134583,0.165131,0.0633392,18.3462
34,1.20937,0.0486945,0.0486677,0.138397,0.168503,0.061676,18.4348
35,1.25902,0.0496882,0.0496543,0.141632,0.171936,0.0626984,18.5315
36,1.3097,0.0507023,0.0506825,0.144196,0.175446,0.0646667,18.6482
37,1.36141,0.051737,0.0517095,0.146072,0.179031,0.0659027,18.7738
38,1.41419,0.0527929,0.05278,0.147263,0.182693,0.0665588,18.9009
39,1.46804,0.0538703,0.0538472,0.149673,0.186417,0.0667419,19.0233
40,1.523,0.0549697,0.0549596,0.152725,0.191116,0.0665283,19.137
41,1.57907,0.0560915,0.0560662,0.158127,0.202332,0.0659485,19.2377
42,1.63629,0.0572362,0.0572193,0.165375,0.211121,0.0647736,19.3197
43,1.69465,0.0584043,0.0583637,0.171616,0.216385,0.0627899,19.3991
44,1.7542,0.0595962,0.059556,0.181152,0.217819,0.0638885,19.4795
45,1.815,0.0608125,0.0607994,0.190857,0.216095,0.0637817,19.5507
46,1.87704,0.0620536,0.0620309,0.199814,0.214737,0.0670776,19.6432
47,1.94035,0.06332,0.0633148,0.207291,0.219116,0.0692749,19.7557
48,2.00493,0.0646122,0.0645825,0.213287,0.223587,0.0699158,19.8697
49,2.07084,0.0659308,0.0659035,0.223602,0.228149,0.0727997,20.0093
50,2.13804,0.0672763,0.0672032,0.232727,0.232803,0.0800629,20.2183
51,2.20668,0.0686493,0.0686382,0.2388,0.237564,0.0882721,20.5045
52,2.27664,0.0700503,0.0699677,0.24086,0.242401,0.0961914,20.8586
53,2.34808,0.0714799,0.0714398,0.248627,0.24736,0.1026,21.2639
54,2.42097,0.0729387,0.0728849,0.252975,0.252411,0.107208,21.6988
55,2.49536,0.0744272,0.0743915,0.253082,0.257553,0.109848,22.143
56,2.57122,0.0759462,0.0758636,0.252213,0.262817,0.110291,22.5732
57,2.64862,0.0774961,0.0773973,0.254883,0.268173,0.108597,22.97
58,2.72762,0.0790776,0.0789964,0.255341,0.273651,0.10556,23.3228
59,2.80828,0.0806915,0.0806653,0.25322,0.279236,0.101913,23.6283
60,2.89057,0.0823382,0.0822902,0.253143,0.284927,0.0983124,23.888
61,2.97456,0.0840186,0.0839844,0.255661,0.290741,0.0954285,24.1113
62,3.06018,0.0857333,0.0856238,0.258957,0.296677,0.0933533,24.3063
63,3.14765,0.0874829,0.0874652,0.264191,0.302734,0.0921936,24.4846
64,3.2369,0.0892683,0.0892502,0.264999,0.308914,0.0920105,24.6611
65,3.32786,0.0910901,0.0909665,0.264435,0.315216,0.0926971,24.8475
66,3.42077,0.0929491,0.0929051,0.268234,0.321655,0.0939331,25.0458
67,3.51554,0.094846,0.0947726,0.268082,0.328217,0.0957184,25.2547
68,3.61226,0.0967816,0.09672,0.272217,0.334915,0.0979614,25.4747
69,3.71101,0.0987568,0.0987526,0.277039,0.341751,0.100494,25.7062
70,3.81171,0.100772,0.100696,0.278,0.348724,0.103134,25.9476
71,3.91443,0.102829,0.102721,0.283783,0.355835,0.105743,26.1995
72,4.01926,0.104927,0.104833,0.287766,0.363098,0.108093,26.4624
73,4.1263,0.107069,0.107038,0.288162,0.370514,0.109909,26.7368
74,4.23543,0.109254,0.109128,0.289505,0.378082,0.111267,27.0209
75,4.34674,0.111483,0.111307,0.293747,0.385788,0.112289,27.3153
76,4.46031,0.113759,0.113578,0.295135,0.393661,0.113022,27.6206
77,4.57626,0.11608,0.115949,0.301666,0.401703,0.117584,27.9374
78,4.69469,0.118449,0.118427,0.304581,0.409897,0.127396,28.3037
79,4.81544,0.120867,0.120754,0.303848,0.418259,0.133636,28.7099
80,4.93862,0.123333,0.12318,0.308945,0.426804,0.138733,29.1458
81,5.06434,0.12585,0.125711,0.31723,0.435501,0.144501,29.6167
82,5.19269,0.128419,0.128354,0.329483,0.444397,0.149979,30.1197
83,5.32349,0.131039,0.130805,0.333984,0.453461,0.155716,30.6527
84,5.45718,0.133714,0.133683,0.347198,0.462723,0.163345,31.2354
85,5.59353,0.136442,0.136357,0.375381,0.472168,0.175415,31.8984
86,5.73268,0.139227,0.139147,0.401978,0.481796,0.188156,32.6456
87,5.87474,0.142068,0.142061,0.427094,0.491638,0.198196,33.4537
88,6.01946,0.144968,0.14472,0.452637,0.501663,0.20285,34.2723
89,6.16735,0.147926,0.147892,0.47937,0.511902,0.204941,35.0882
90,6.31815,0.150945,0.150792,0.504272,0.522354,0.205032,35.8802
91,6.47196,0.154026,0.153816,0.526001,0.533005,0.203659,36.6387
92,6.62894,0.157169,0.156974,0.547928,0.543884,0.20108,37.3563
93,6.78921,0.160377,0.160273,0.563263,0.554993,0.19751,38.0277
94,6.95243,0.16365,0.163223,0.579361,0.566315,0.193848,38.6479
95,7.11925,0.166989,0.166816,0.584961,0.577881,0.190826,39.2313
96,7.28928,0.170397,0.170035,0.586243,0.589661,0.217316,40.0023
97,7.46267,0.173875,0.173391,0.582504,0.6017,0.255188,41.0437
98,7.63957,0.177423,0.176893,0.580048,0.613983,0.266632,42.1452
99,7.82012,0.181044,0.180553,0.578308,0.626511,0.261612,43.18
100,8.0045,0.184739,0.184381,0.577682,0.639297,0.246109,44.0714
101,8.19289,0.188509,0.188389,0.579727,0.652344,0.232849,44.8416
