Stage                                             ,Total (s)   ,Elapsed (s) 
Initilisation (file opened)                       ,      0.00,      0.00
Searching Wibu Licence                            ,      0.04,      0.04
Found 2D domains                                  ,      0.24,      0.19
Start 2D BC Array Sizes Domain_001                ,      0.26,      0.02
End 2D BC Array Sizes Domain_001                  ,      0.30,      0.05
Start Estry Setup s0                              ,      0.31,      0.00
End Estry Setup s0                                ,      0.31,      0.00
Start TUFLOW Setup s2                             ,      0.31,      0.00
End TUFLOW Setup s2                               ,      0.51,      0.20
Reading Geometry File Domain_001                  ,      0.55,      0.04
Start Read Grid Read GRID Zpts                    ,      0.55,      0.00
End Read Grid Read GRID Zpts                      ,      0.56,      0.00
Start Read Read GIS Code                          ,      0.56,      0.00
End Read Read GIS Code                            ,      0.57,      0.01
Finished Reading Geometry File Domain_001         ,      0.57,      0.00
Start Read input file (stage 2) Domain_001        ,      0.58,      0.00
End Read input file (stage 2) Domain_001          ,      0.66,      0.08
Identifying cells within user defined output zones,      0.66,      0.00
Finished Identifying cells within user defined out,      0.66,      0.00
Setting instability water levels Domain_001       ,      0.66,      0.00
Finished Setting instability water levels Domain_0,      0.66,      0.00
Assigning any Variable Z Shape 1D Trigger Nodes   ,      0.66,      0.00
Finished Assigning any Variable Z Shape 1D Trigger,      0.66,      0.00
Start Reading Input File (Stage 3)                ,      0.66,      0.00
End Reading Input File (Stage 3)                  ,      0.66,      0.00
Reading Boundary File Domain_001                  ,      0.67,      0.00
Finished Reading Boundary File Domain_001         ,      0.76,      0.09
Initialising 2D Data (Stage 1) Domain_001         ,      0.76,      0.01
Finished Initialising 2D Data (Stage 1) Domain_001,      0.78,      0.01
Initialising 2D Data (Stage 2) Domain_001         ,      0.78,      0.00
Finished Initialising 2D Data (Stage 2) Domain_001,      0.80,      0.02
Start Writing _grd_check                          ,      0.84,      0.03
End Writing _grd_check                            ,      5.22,      4.39
Start Writing _zpt_check                          ,      5.22,      0.00
End Writing _zpt_check                            ,     15.98,     10.76
Start Writing _uvpt_check                         ,     15.98,      0.00
End Writing _uvpt_check                           ,     23.39,      7.41
Start Writing check DEMs                          ,     23.75,      0.36
Start Calculating grid interpolation factors      ,     23.75,      0.00
End Calculating grid interpolation factors        ,     23.79,      0.03
End Writing check DEMs                            ,     23.85,      0.07
Start Calculating grid interpolation factors      ,     23.85,      0.00
End Calculating grid interpolation factors        ,     23.87,      0.02
Starting Simulation                               ,     23.89,      0.01
Summary File Close                                ,     23.89,      0.00
