"OutphaseC4_015 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_015.tcf]","Time (h)","V 2 [OutphaseC4_015]","V 3 [OutphaseC4_015]","V 4 [OutphaseC4_015]","V 5 [OutphaseC4_015]","V 6 [OutphaseC4_015]","V 7 [OutphaseC4_015]","V 8 [OutphaseC4_015]","V 9 [OutphaseC4_015]","V 10 [OutphaseC4_015]","V 11 [OutphaseC4_015]","V 12 [OutphaseC4_015]","V 13 [OutphaseC4_015]","V 14 [OutphaseC4_015]","V 15 [OutphaseC4_015]","V 16 [OutphaseC4_015]","V  1 [OutphaseC4_015]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          1.2861
           3,        0.016667,          1.2752,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.8171
           4,        0.025000,          1.5154,          0.0000,          2.0860,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.7900
           5,        0.033333,          1.5545,          0.0680,          2.8610,          1.2640,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.7574
           6,        0.041667,          1.6110,          0.8728,          3.2198,          0.8316,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.8363
           7,        0.050000,          1.6678,          1.2686,          3.0539,          0.7793,          0.5988,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.7460
           8,        0.058333,          1.6712,          1.5564,          2.3755,          0.9150,          0.7109,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.7414
           9,        0.066667,          1.6916,          1.6366,          2.1465,          1.0583,          0.7761,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.7534
          10,        0.075000,          1.6900,          1.7064,          1.9819,          1.1816,          0.8682,          0.0000,          0.0021,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.7282
          11,        0.083333,          1.7021,          1.7387,          1.8566,          1.2525,          0.9764,          0.0000,          0.9943,          0.0504,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.7528
          12,        0.091667,          1.6984,          1.7582,          1.7759,          1.2855,          1.0659,          0.0947,          1.3680,          0.2991,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.7285
          13,        0.100000,          1.7049,          1.7757,          1.6993,          1.3021,          1.1348,          0.3658,          1.1309,          0.2794,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.7534
          14,        0.108333,          1.7065,          1.7698,          1.6368,          1.2851,          1.1850,          0.8634,          0.1082,          0.2826,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.7361
          15,        0.116667,          1.7024,          1.7827,          1.5925,          1.2596,          1.2152,          1.1431,          0.1633,          0.2832,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.7387
          16,        0.125000,          1.7068,          1.7869,          1.5533,          1.2407,          1.2356,          1.2992,          0.1805,          0.2998,          0.2986,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.7485
          17,        0.133333,          1.7050,          1.7792,          1.5281,          1.2210,          1.2583,          1.4050,          0.1640,          0.3322,          0.7671,          0.0000,          0.3653,          0.0000,          0.0000,          0.0000,          0.0001,          0.7330
          18,        0.141667,          1.7075,          1.7699,          1.5046,          1.2057,          1.2722,          1.4877,          0.1386,          0.3723,          0.9974,          0.9455,          0.2181,          0.3086,          0.5618,          0.0000,          0.0002,          0.7497
          19,        0.150000,          1.7040,          1.6720,          1.4906,          1.1919,          1.2858,          1.5480,          0.1012,          0.4077,          1.1579,          1.4763,          0.1298,          0.2553,          0.2792,          0.0000,          0.0003,          0.7359
          20,        0.158333,          1.7064,          1.5119,          1.4825,          1.1819,          1.2952,          1.6035,          0.0704,          0.4390,          1.2783,          1.7659,          0.1817,          0.3202,          0.3912,          0.0000,          0.0001,          0.7427
          21,        0.166667,          1.7071,          1.3305,          1.4748,          1.1826,          1.3026,          1.6417,          0.0507,          0.4811,          1.3594,          2.0072,          0.2486,          0.2782,          0.3841,          0.0000,          0.0002,          0.7442
          22,        0.175000,          1.7055,          1.1964,          1.4693,          1.1728,          1.3112,          1.6660,          0.0397,          0.5209,          1.4218,          2.1970,          0.2576,          0.3100,          0.4102,          0.8679,          0.0001,          0.7364
          23,        0.183333,          1.7056,          1.0883,          1.4633,          1.1700,          1.3117,          1.6739,          0.0385,          0.5420,          1.4769,          2.3401,          0.2345,          0.3483,          0.4947,          1.3336,          0.0001,          0.7497
          24,        0.191667,          1.7038,          1.0253,          1.4635,          1.1591,          1.3148,          1.6840,          0.0422,          0.5480,          1.5143,          2.4538,          0.1888,          0.3969,          0.6036,          1.6322,          0.6035,          0.7390
          25,        0.200000,          1.7063,          0.9441,          1.4568,          1.1661,          1.3152,          1.6950,          0.0476,          0.5492,          1.5421,          2.5459,          0.1421,          0.4535,          0.7292,          1.8554,          1.4015,          0.7416
          26,        0.208333,          1.7080,          0.9295,          1.4500,          1.1588,          1.3217,          1.7059,          0.0524,          0.5422,          1.5664,          2.6206,          0.1062,          0.5035,          0.8399,          2.0272,          1.8910,          0.7464
          27,        0.216667,          1.7064,          0.8919,          1.4501,          1.1413,          1.3180,          1.7138,          0.0616,          0.5365,          1.5829,          2.6759,          0.0930,          0.5413,          0.9300,          2.1572,          2.6680,          0.7381
          28,        0.225000,          1.7038,          0.8671,          1.4512,          1.1467,          1.3151,          1.7190,          0.0709,          0.5352,          1.6000,          2.2879,          0.1007,          0.5681,          1.0012,          2.2647,          3.1165,          0.7536
          29,        0.233333,          1.7035,          0.8703,          1.4497,          1.1589,          1.3241,          1.7249,          0.0818,          0.5381,          1.6137,          1.8080,          0.1137,          0.5987,          1.0562,          2.3495,          3.3213,          0.7422
          30,        0.241667,          1.7053,          0.8212,          1.4475,          1.1542,          1.3282,          1.7285,          0.0927,          0.5449,          1.6269,          1.5110,          0.1235,          0.6488,          1.0988,          2.4163,          3.4635,          0.7413
          31,        0.250000,          1.7082,          0.8410,          1.4461,          1.1491,          1.3216,          1.7318,          0.0995,          0.5606,          1.6368,          1.3409,          0.1294,          0.6838,          1.1301,          2.4711,          3.5737,          0.7498
          32,        0.258333,          1.7067,          0.8222,          1.4430,          1.1476,          1.3211,          1.7344,          0.1066,          0.5612,          1.6476,          1.2447,          0.1355,          0.6949,          1.1524,          2.5149,          3.6607,          0.7384
          33,        0.266667,          1.7031,          0.8130,          1.4399,          1.1445,          1.3226,          1.7362,          0.1103,          0.5672,          1.6479,          1.1918,          0.1383,          0.6892,          1.1729,          2.5525,          3.7301,          0.7565
          34,        0.275000,          1.7045,          0.8320,          1.4383,          1.1431,          1.3226,          1.7379,          0.1116,          0.5762,          1.6560,          1.1604,          0.1432,          0.6716,          1.1908,          2.5843,          3.7870,          0.7439
          35,        0.283333,          1.7074,          0.7861,          1.4370,          1.1428,          1.3236,          1.7390,          0.1145,          0.5685,          1.6611,          1.1401,          0.1475,          0.6581,          1.2043,          2.6098,          3.8335,          0.7396
          36,        0.291667,          1.7101,          0.8181,          1.4382,          1.1448,          1.3241,          1.7401,          0.1169,          0.5698,          1.6589,          1.1268,          0.1507,          0.6480,          1.2124,          2.6289,          3.8723,          0.7530
          37,        0.300000,          1.7084,          0.8113,          1.4383,          1.1481,          1.3253,          1.7410,          0.1169,          0.5773,          1.6655,          1.1169,          0.1580,          0.6408,          1.2177,          2.6438,          3.9039,          0.7342
          38,        0.308333,          1.7052,          0.7925,          1.4380,          1.1497,          1.3259,          1.7415,          0.1146,          0.5815,          1.6698,          1.1094,          0.1618,          0.6478,          1.2230,          2.6560,          3.9298,          0.7580
