Stage                                             ,Total (s)   ,Elapsed (s) 
Initilisation (file opened)                       ,      0.00,      0.00
Searching Wibu Licence                            ,      0.01,      0.01
Found 2D domains                                  ,      0.28,      0.28
Start 2D BC Array Sizes Domain_001                ,      0.29,      0.01
End 2D BC Array Sizes Domain_001                  ,      0.30,      0.01
Start Estry Setup s0                              ,      0.30,      0.00
End Estry Setup s0                                ,      0.30,      0.00
Start TUFLOW Setup s2                             ,      0.30,      0.00
End TUFLOW Setup s2                               ,      0.50,      0.19
Reading Geometry File Domain_001                  ,      0.54,      0.04
Start Read Grid Read GRID Zpts                    ,      0.54,      0.01
End Read Grid Read GRID Zpts                      ,      0.65,      0.11
Start Read Read GIS Code                          ,      0.66,      0.00
End Read Read GIS Code                            ,      0.67,      0.01
Finished Reading Geometry File Domain_001         ,      0.67,      0.00
Start Read input file (stage 2) Domain_001        ,      0.67,      0.00
End Read input file (stage 2) Domain_001          ,      0.71,      0.03
Identifying cells within user defined output zones,      0.71,      0.00
Finished Identifying cells within user defined out,      0.71,      0.00
Setting instability water levels Domain_001       ,      0.71,      0.00
Finished Setting instability water levels Domain_0,      0.71,      0.00
Assigning any Variable Z Shape 1D Trigger Nodes   ,      0.71,      0.00
Finished Assigning any Variable Z Shape 1D Trigger,      0.71,      0.00
Start Reading Input File (Stage 3)                ,      0.71,      0.00
End Reading Input File (Stage 3)                  ,      0.71,      0.00
Reading Boundary File Domain_001                  ,      0.71,      0.00
Finished Reading Boundary File Domain_001         ,      0.79,      0.08
Initialising 2D Data (Stage 1) Domain_001         ,      0.80,      0.00
Finished Initialising 2D Data (Stage 1) Domain_001,      0.81,      0.02
Initialising 2D Data (Stage 2) Domain_001         ,      0.82,      0.00
Finished Initialising 2D Data (Stage 2) Domain_001,      0.84,      0.02
Start Writing _grd_check                          ,      0.86,      0.02
End Writing _grd_check                            ,      1.63,      0.77
Start Writing _zpt_check                          ,      1.63,      0.00
End Writing _zpt_check                            ,      2.57,      0.94
Start Writing _uvpt_check                         ,      2.57,      0.00
End Writing _uvpt_check                           ,      3.38,      0.81
Start Writing check DEMs                          ,      4.56,      1.18
Start Calculating grid interpolation factors      ,      4.56,      0.00
End Calculating grid interpolation factors        ,      4.63,      0.07
End Writing check DEMs                            ,      4.68,      0.05
Start Calculating grid interpolation factors      ,      4.68,      0.00
End Calculating grid interpolation factors        ,      4.75,      0.07
Starting Simulation                               ,      4.78,      0.04
Summary File Close                                ,      4.78,      0.00
