"OutphaseC4_019","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_019.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
,        0.150000,          1.9876,          2.0612,          2.2808,          1.8439,          1.8154,          2.7329,          0.4713,          1.0106,          1.9298,          3.6187,          0.2571,          1.0006,          1.5027,          2.6980,          2.7872,          0.9941,        -79.9301,        -78.2105,        -76.5755,        -72.0448,        -62.2650,        -42.3529,        -79.9922,        -34.3008
,        0.158333,          1.9876,          2.0011,          2.2695,          1.8305,          1.8135,          2.7282,          0.4803,          1.0062,          1.9315,          3.0282,          0.2917,          1.0466,          1.6055,          2.8187,          3.0709,          0.9941,        -79.9445,        -78.5895,        -77.3093,        -73.5975,        -65.2689,        -48.3002,        -79.9962,        -41.4703
,        0.166667,          1.9875,          1.9608,          2.2598,          1.8272,          1.8226,          2.7208,          0.4883,          0.9944,          1.9352,          2.5840,          0.3229,          1.0429,          1.6873,          2.9184,          3.8269,          0.9941,        -79.9535,        -78.8901,        -77.8825,        -74.8218,        -67.7720,        -53.5620,        -79.9964,        -47.7296
,        0.175000,          1.9875,          1.9378,          2.2522,          1.8173,          1.8186,          2.7151,          0.4996,          0.9939,          1.9434,          2.3571,          0.3497,          1.0880,          1.7414,          3.0009,          4.3890,          0.9941,        -79.9615,        -79.1307,        -78.3353,        -75.8204,        -69.9225,        -58.0774,        -79.9974,        -53.0274
,        0.183333,          1.9875,          1.9170,          2.2488,          1.8150,          1.8192,          2.7134,          0.5149,          1.0063,          1.9526,          2.2471,          0.3648,          1.1511,          1.7767,          3.0587,          4.5295,          0.9941,        -79.9686,        -79.3151,        -78.6911,        -76.6209,        -71.7147,        -61.8312,        -79.9996,        -57.5069
,        0.191667,          1.9875,          1.9013,          2.2428,          1.8138,          1.8217,          2.7119,          0.5228,          1.0267,          1.9605,          2.1885,          0.3665,          1.1857,          1.7993,          3.1054,          4.6170,          0.9941,        -79.9754,        -79.4605,        -78.9683,        -77.2629,        -73.2021,        -64.9368,        -79.9998,        -61.2291
,        0.200000,          1.9875,          1.8906,          2.2404,          1.8028,          1.8169,          2.7080,          0.5271,          1.0284,          1.9641,          2.1517,          0.3671,          1.1903,          1.8187,          3.1449,          4.6894,          0.9941,        -79.9825,        -79.5778,        -79.1881,        -77.7957,        -74.4405,        -67.5171,        -80.0006,        -64.3439
,        0.208333,          1.9875,          1.8818,          2.2387,          1.8073,          1.8189,          2.7085,          0.5313,          1.0250,          1.9563,          2.1269,          0.3683,          1.1867,          1.8349,          3.1684,          4.7452,          0.9941,        -79.9864,        -79.6662,        -79.3617,        -78.2196,        -75.4686,        -69.6640,        -80.0003,        -66.9478
,        0.216667,          1.9875,          1.8747,          2.2351,          1.8035,          1.8207,          2.7024,          0.5324,          1.0262,          1.9647,          2.1092,          0.3707,          1.1884,          1.8461,          3.1757,          4.7930,          0.9941,        -79.9913,        -79.7380,        -79.4982,        -78.5664,        -76.3141,        -71.4593,        -79.9999,        -69.1369
,        0.225000,          1.9875,          1.8696,          2.2332,          1.7962,          1.8159,          2.7011,          0.5334,          1.0222,          1.9652,          2.0949,          0.3712,          1.1855,          1.8537,          3.1729,          4.8286,          0.9941,        -79.9939,        -79.7943,        -79.6058,        -78.8450,        -77.0034,        -72.9468,        -80.0016,        -70.9778
,        0.233333,          1.9875,          1.8656,          2.2313,          1.7981,          1.8183,          2.7019,          0.5352,          1.0200,          1.9658,          2.0836,          0.3746,          1.1820,          1.8601,          3.1686,          4.8610,          0.9941,        -79.9946,        -79.8379,        -79.6908,        -79.0665,        -77.5609,        -74.1907,        -80.0000,        -72.5295
,        0.241667,          1.9875,          1.8626,          2.2309,          1.7959,          1.8193,          2.7011,          0.5364,          1.0199,          1.9696,          2.0753,          0.3769,          1.1973,          1.8622,          3.1633,          4.8859,          0.9941,        -79.9940,        -79.8735,        -79.7554,        -79.2483,        -78.0231,        -75.2176,        -79.9994,        -73.8333
,        0.250000,          1.9875,          1.8603,          2.2304,          1.7970,          1.8188,          2.7008,          0.5360,          1.0223,          1.9721,          2.0685,          0.3781,          1.1957,          1.8647,          3.1564,          4.9050,          0.9941,        -79.9950,        -79.9005,        -79.8078,        -79.3928,        -78.4047,        -76.0777,        -79.9997,        -74.9222
,        0.258333,          1.9875,          1.8583,          2.2297,          1.7958,          1.8189,          2.7006,          0.5398,          1.0149,          1.9705,          2.0646,          0.3783,          1.1946,          1.8671,          3.1550,          4.9210,          0.9941,        -79.9958,        -79.9222,        -79.8494,        -79.5107,        -78.7033,        -76.7870,        -80.0004,        -75.8305
