"OutphaseC4_017 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_017.tcf]","Time (h)","Q 2 [OutphaseC4_017]","Q 3 [OutphaseC4_017]","Q 4 [OutphaseC4_017]","Q 5 [OutphaseC4_017]","Q 6 [OutphaseC4_017]","Q 7 [OutphaseC4_017]","Q 1 [OutphaseC4_017]","Q  8 [OutphaseC4_017]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -23.8668,         -0.0000
           3,        0.016667,        -12.5411,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -34.8354,         -0.0004
           4,        0.025000,        -28.9647,        -10.0791,          0.0000,          0.0000,          0.0000,          0.0000,        -43.4029,          0.0002
           5,        0.033333,        -41.8949,        -24.0419,          0.0000,          0.0000,          0.0000,          0.0000,        -49.3126,         -0.0001
           6,        0.041667,        -49.4384,        -24.9491,          0.0000,          0.0000,          0.0000,          0.0000,        -53.3989,         -0.0010
           7,        0.050000,        -53.8152,        -30.1617,         -5.8511,          0.0000,          0.0000,          0.0000,        -57.0062,         -0.0004
           8,        0.058333,        -56.1550,        -34.2140,        -14.5893,         -5.0583,          0.0000,          0.0000,        -58.2004,          0.0004
           9,        0.066667,        -57.6746,        -38.8818,        -22.9484,        -16.6420,          0.0000,          0.0000,        -58.8336,          0.0010
          10,        0.075000,        -58.6011,        -43.0359,        -30.4749,        -21.6234,          0.0000,          0.0000,        -59.1956,          0.0004
          11,        0.083333,        -59.1192,        -46.4683,        -36.6025,        -25.1261,          0.0000,          0.0000,        -59.5096,         -0.0002
          12,        0.091667,        -59.4598,        -49.3736,        -41.5151,        -28.7638,          0.0000,          0.0000,        -59.7040,          0.0004
          13,        0.100000,        -59.6777,        -51.6345,        -45.3973,        -32.1116,         -5.1580,          0.0000,        -59.8184,          0.0004
          14,        0.108333,        -59.7930,        -53.4287,        -48.4712,        -36.0952,        -11.9488,         -0.0104,        -59.8915,         -0.0005
          15,        0.116667,        -59.8745,        -54.8936,        -50.8971,        -39.8212,        -19.0776,         -2.0893,        -59.9334,         -0.0000
          16,        0.125000,        -59.9316,        -55.9726,        -52.7878,        -43.1245,        -25.7081,         -4.2293,        -59.9584,          0.0001
          17,        0.133333,        -59.9557,        -56.8285,        -54.2795,        -46.0701,        -31.5579,         -8.0165,        -59.9731,         -0.0002
          18,        0.141667,        -59.9483,        -57.4885,        -55.4530,        -48.5534,        -36.5562,        -11.7399,        -59.9830,         -2.9989
          19,        0.150000,        -59.9489,        -58.0165,        -56.3788,        -50.6197,        -40.7695,        -16.7492,        -59.9894,         -7.5422
          20,        0.158333,        -59.9637,        -58.4199,        -57.1223,        -52.3879,        -44.1217,        -21.9689,        -59.9953,        -13.3915
          21,        0.166667,        -59.9656,        -58.7447,        -57.7020,        -53.7975,        -46.5048,        -27.1157,        -59.9964,        -19.5602
          22,        0.175000,        -59.9702,        -59.0046,        -58.1672,        -54.9793,        -48.4646,        -31.8977,        -59.9967,        -25.4005
          23,        0.183333,        -59.9698,        -59.2069,        -58.5350,        -55.9243,        -50.4037,        -36.2116,        -59.9973,        -30.7235
          24,        0.191667,        -59.9791,        -59.3661,        -58.8313,        -56.6967,        -52.0064,        -39.9987,        -60.0007,        -35.3755
          25,        0.200000,        -59.9818,        -59.4947,        -59.0652,        -57.3173,        -53.3711,        -43.2783,        -59.9999,        -39.4195
          26,        0.208333,        -59.9858,        -59.5972,        -59.2518,        -57.8122,        -54.5085,        -46.0697,        -59.9987,        -42.8472
          27,        0.216667,        -59.9891,        -59.6768,        -59.4020,        -58.2236,        -55.4528,        -48.4498,        -59.9997,        -45.7460
          28,        0.225000,        -59.9901,        -59.7415,        -59.5225,        -58.5589,        -56.2557,        -50.4504,        -59.9993,        -48.1671
          29,        0.233333,        -59.9921,        -59.7948,        -59.6178,        -58.8356,        -56.9104,        -52.0876,        -59.9992,        -50.1862
          30,        0.241667,        -59.9931,        -59.8352,        -59.6938,        -59.0449,        -57.4605,        -53.4540,        -60.0002,        -51.8565
          31,        0.250000,        -59.9962,        -59.8681,        -59.7553,        -59.2234,        -57.9112,        -54.5842,        -59.9995,        -53.2444
          32,        0.258333,        -59.9954,        -59.8956,        -59.8040,        -59.3702,        -58.2834,        -55.5177,        -60.0007,        -54.3998
          33,        0.266667,        -59.9959,        -59.9156,        -59.8426,        -59.4868,        -58.5899,        -56.2931,        -59.9990,        -55.3542
          34,        0.275000,        -59.9979,        -59.9335,        -59.8745,        -59.5820,        -58.8396,        -56.9332,        -59.9989,        -56.1494
          35,        0.283333,        -60.0000,        -59.9470,        -59.8997,        -59.6593,        -59.0453,        -57.4575,        -60.0011,        -56.8090
          36,        0.291667,        -60.0000,        -59.9568,        -59.9201,        -59.7230,        -59.2210,        -57.8968,        -59.9991,        -57.3526
          37,        0.300000,        -59.9981,        -59.9654,        -59.9365,        -59.7759,        -59.3619,        -58.2637,        -59.9997,        -57.8103
          38,        0.308333,        -60.0002,        -59.9730,        -59.9493,        -59.8167,        -59.4745,        -58.5586,        -60.0016,        -58.1841
          39,        0.316667,        -59.9997,        -59.9781,        -59.9588,        -59.8514,        -59.5673,        -58.8092,        -59.9999,        -58.4959
          40,        0.325000,        -59.9978,        -59.9839,        -59.9681,        -59.8797,        -59.6463,        -59.0154,        -60.0004,        -58.7553
          41,        0.333333,        -59.9993,        -59.9864,        -59.9743,        -59.9011,        -59.7092,        -59.1894,        -59.9988,        -58.9722
          42,        0.341667,        -60.0018,        -59.9891,        -59.9791,        -59.9212,        -59.7645,        -59.3295,        -60.0000,        -59.1492
