"   Time (h) ","iStep     ","nRS_NaNs","nRS_HCNs","dtTarget    ","tLastMax    ","H V In      ","H V Out     ","Es HX V In  ","Es HX V Out ","x1D HX V In ","x1D HX V Out","S/RF Vol In ","S/RF Vol Out","Es SX V In  ","Es SX V Out ","x1D SX V In ","x1D SX V Out","V In-Out    ","dVol        ","V Err       ","Total V     ","Q ME (%)"
         0.000,           0,         0,         0, 0.2500000E-01,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  79.85262    ,     0.000
         2.000,       23037,         0,         0, 0.3122699    ,  1.996459    ,  0.000000    ,  22026.98    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  25060.60    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  3033.619    ,  3033.621    , 0.2131934E-02,  3113.473    ,     0.000
         2.500,       28827,         0,         0, 0.3122794    ,  2.499827    ,  0.000000    ,  6265.149    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  6265.149    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,-0.3957748E-04,  0.000000    , 0.3957748E-04,  3113.473    ,     0.000
         3.000,       34617,         0,         0, 0.3122747    ,  2.992142    ,  0.000000    ,  6265.150    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  6265.149    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,-0.3225803E-03, 0.7324219E-03, 0.1055002E-02,  3113.474    ,     0.000
         3.000,       34618,         0,         0, 0.3122699    ,  3.000035    ,  0.000000    , 0.4361655    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.4361686    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.3129244E-05, 0.2441406E-03, 0.2410114E-03,  3113.474    ,     0.000
