"VanillaC4_013","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_013.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
,        0.150000,          1.4467,          1.0704,          1.4051,          1.3904,          1.4351,          1.0701,          1.1146,          1.1579,          1.1937,          1.2264,          0.9599,          1.1415,          1.3322,          1.2456,          1.1301,          1.4077,        -19.9742,        -19.9076,        -19.7374,        -19.4406,        -18.1028,        -15.9486,        -19.9941,        -15.5030
,        0.158333,          1.4462,          1.0701,          1.4044,          1.3895,          1.4338,          1.0700,          1.1145,          1.1575,          1.1937,          1.2267,          0.9730,          1.1601,          1.3793,          1.3101,          1.1907,          1.4074,        -19.9811,        -19.9304,        -19.8007,        -19.5729,        -18.5532,        -17.0617,        -19.9952,        -16.3648
,        0.166667,          1.4460,          1.0701,          1.4038,          1.3888,          1.4328,          1.0699,          1.1144,          1.1575,          1.1935,          1.2266,          0.9831,          1.1894,          1.4139,          1.3444,          1.2331,          1.4072,        -19.9856,        -19.9475,        -19.8483,        -19.6735,        -18.8895,        -17.8557,        -19.9970,        -17.0601
,        0.175000,          1.4457,          1.0698,          1.4034,          1.3882,          1.4320,          1.0698,          1.1142,          1.1574,          1.1936,          1.2262,          0.9959,          1.2032,          1.4271,          1.3655,          1.2673,          1.4069,        -19.9888,        -19.9600,        -19.8848,        -19.7504,        -19.1420,        -18.3600,        -19.9980,        -17.6672
,        0.183333,          1.4455,          1.0697,          1.4031,          1.3878,          1.4314,          1.0696,          1.1140,          1.1572,          1.1934,          1.2263,          1.0031,          1.2101,          1.4342,          1.3806,          1.2952,          1.4068,        -19.9920,        -19.9698,        -19.9118,        -19.8082,        -19.3384,        -18.7350,        -19.9980,        -18.1702
,        0.191667,          1.4454,          1.0697,          1.4028,          1.3874,          1.4309,          1.0696,          1.1138,          1.1570,          1.1933,          1.2275,          1.0078,          1.2141,          1.4384,          1.3911,          1.3169,          1.4067,        -19.9940,        -19.9771,        -19.9327,        -19.8525,        -19.4962,        -19.0121,        -19.9983,        -18.5705
,        0.200000,          1.4453,          1.0696,          1.4026,          1.3872,          1.4305,          1.0695,          1.1137,          1.1569,          1.1933,          1.2282,          1.0109,          1.2174,          1.4417,          1.3989,          1.3333,          1.4066,        -19.9951,        -19.9827,        -19.9487,        -19.8867,        -19.6135,        -19.2333,        -19.9990,        -18.8764
,        0.208333,          1.4452,          1.0696,          1.4025,          1.3870,          1.4302,          1.0694,          1.1136,          1.1567,          1.1934,          1.2286,          1.0131,          1.2198,          1.4439,          1.4050,          1.3460,          1.4065,        -19.9965,        -19.9867,        -19.9608,        -19.9129,        -19.7026,        -19.4039,        -19.9992,        -19.1232
,        0.216667,          1.4452,          1.0695,          1.4024,          1.3868,          1.4300,          1.0693,          1.1134,          1.1567,          1.1934,          1.2289,          1.0147,          1.2215,          1.4457,          1.4098,          1.3559,          1.4065,        -19.9972,        -19.9898,        -19.9697,        -19.9329,        -19.7705,        -19.5379,        -19.9992,        -19.3164
,        0.225000,          1.4451,          1.0695,          1.4023,          1.3867,          1.4298,          1.0693,          1.1134,          1.1567,          1.1935,          1.2290,          1.0160,          1.2227,          1.4470,          1.4133,          1.3637,          1.4065,        -19.9980,        -19.9922,        -19.9767,        -19.9484,        -19.8228,        -19.6419,        -19.9995,        -19.4689
