"OutphaseC4_003","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_003.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\results\003\OutphaseC4_003_POMM.csv","Maximum (Extracted from Time Series)",          0.6758,          0.0000,          1.1757,          0.2173,          0.3554,          0.0000,          0.1353,          0.1472,          0.0000,          0.0861,          0.1174,          0.1779,          0.2045,          1.2573,          1.6817,          0.1826,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
"","Time of Maximum",          3.9750,          0.0000,          0.1917,          2.1083,          2.1083,          0.0000,          0.6250,          4.4083,          0.0000,          1.7917,          0.9917,          4.3750,          5.5750,          4.6917,          2.6917,          0.0250,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
"","Minimum (Extracted From Time Series)",          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -3.0037,         -3.0094,         -3.0015,         -3.0035,         -3.0005,         -3.0013,         -3.0207,         -3.0002
"","Time of Minimum",          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          3.1583,          2.6083,          3.1417,          3.0667,          2.3917,          2.9917,          3.8833,          2.7917
