"InphaseC4_019 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_InphaseC4\runs\InphaseC4_019.tcf]","Time (h)","Q 2 [InphaseC4_019]","Q 3 [InphaseC4_019]","Q 4 [InphaseC4_019]","Q 5 [InphaseC4_019]","Q 6 [InphaseC4_019]","Q 7 [InphaseC4_019]","Q 1 [InphaseC4_019]","Q  8 [InphaseC4_019]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,         -0.6168,          0.0000,          0.0000,         -0.0000,          0.0000,          0.0000,        -79.2297,         -0.0001
           3,        0.016667,        -71.8829,        -14.3464,          0.0000,         -0.0000,          0.0000,         -0.0008,        -80.5208,         -0.0001
           4,        0.025000,        -69.6766,        -50.3260,        -29.8860,         -0.0000,          0.0000,         -0.0001,        -79.6230,         -0.0005
           5,        0.033333,        -69.8832,        -61.6408,        -50.9207,        -24.1496,         -0.0002,         -0.0001,        -79.1504,          0.0017
           6,        0.041667,        -72.4873,        -67.5288,        -57.7583,        -42.4768,         -0.0007,          0.0002,        -76.0689,          0.0005
           7,        0.050000,        -75.7409,        -71.9914,        -61.4875,        -53.1848,        -39.3886,          0.0012,        -77.6864,         -0.0016
           8,        0.058333,        -77.6958,        -75.5625,        -67.3871,        -61.2200,        -51.4981,        -35.3413,        -78.6580,         -1.3635
           9,        0.066667,        -78.7058,        -77.4432,        -72.3896,        -68.2708,        -58.9225,        -49.1483,        -79.2999,        -48.0412
          10,        0.075000,        -79.2368,        -78.5323,        -75.3468,        -72.7619,        -63.7761,        -61.5334,        -79.5859,        -71.9929
          11,        0.083333,        -79.5389,        -79.0841,        -77.0506,        -75.4685,        -70.0638,        -77.1780,        -79.7455,        -78.2379
          12,        0.091667,        -79.7281,        -79.4005,        -78.0888,        -77.0913,        -74.4099,        -78.0425,        -79.8509,        -79.6008
          13,        0.100000,        -79.8354,        -79.6010,        -78.7632,        -78.0738,        -77.9808,        -78.9023,        -79.9120,        -79.2455
          14,        0.108333,        -79.8927,        -79.7288,        -79.1876,        -78.6870,        -79.2557,        -79.4741,        -79.9453,        -79.3566
