Stage                                             ,Total (s)   ,Elapsed (s) 
Initilisation (file opened)                       ,      0.00,      0.00
Searching Wibu Licence                            ,      0.01,      0.01
Found 2D domains                                  ,      0.25,      0.24
Start 2D BC Array Sizes Domain_001                ,      0.28,      0.03
End 2D BC Array Sizes Domain_001                  ,      0.29,      0.01
Start Estry Setup s0                              ,      0.29,      0.00
End Estry Setup s0                                ,      0.29,      0.00
Start TUFLOW Setup s2                             ,      0.30,      0.00
End TUFLOW Setup s2                               ,      0.51,      0.21
Reading Geometry File Domain_001                  ,      0.55,      0.04
Start Read Grid Read GRID Zpts                    ,      0.56,      0.00
End Read Grid Read GRID Zpts                      ,      0.56,      0.00
Start Read Read GIS Code                          ,      0.56,      0.00
End Read Read GIS Code                            ,      0.58,      0.01
Finished Reading Geometry File Domain_001         ,      0.58,      0.00
Start Read input file (stage 2) Domain_001        ,      0.58,      0.00
End Read input file (stage 2) Domain_001          ,      0.67,      0.08
Identifying cells within user defined output zones,      0.67,      0.00
Finished Identifying cells within user defined out,      0.67,      0.00
Setting instability water levels Domain_001       ,      0.67,      0.00
Finished Setting instability water levels Domain_0,      0.67,      0.00
Assigning any Variable Z Shape 1D Trigger Nodes   ,      0.67,      0.00
Finished Assigning any Variable Z Shape 1D Trigger,      0.67,      0.00
Start Reading Input File (Stage 3)                ,      0.67,      0.00
End Reading Input File (Stage 3)                  ,      0.67,      0.00
Reading Boundary File Domain_001                  ,      0.68,      0.00
Finished Reading Boundary File Domain_001         ,      0.77,      0.09
Initialising 2D Data (Stage 1) Domain_001         ,      0.77,      0.01
Finished Initialising 2D Data (Stage 1) Domain_001,      0.79,      0.02
Initialising 2D Data (Stage 2) Domain_001         ,      0.79,      0.00
Finished Initialising 2D Data (Stage 2) Domain_001,      0.82,      0.03
Start Writing _grd_check                          ,      0.85,      0.03
End Writing _grd_check                            ,      5.06,      4.21
Start Writing _zpt_check                          ,      5.06,      0.00
End Writing _zpt_check                            ,     15.38,     10.32
Start Writing _uvpt_check                         ,     15.38,      0.00
End Writing _uvpt_check                           ,     22.44,      7.06
Start Writing check DEMs                          ,     23.04,      0.60
Start Calculating grid interpolation factors      ,     23.04,      0.00
End Calculating grid interpolation factors        ,     23.07,      0.02
End Writing check DEMs                            ,     23.14,      0.07
Start Calculating grid interpolation factors      ,     23.14,      0.00
End Calculating grid interpolation factors        ,     23.16,      0.02
Starting Simulation                               ,     23.17,      0.01
Summary File Close                                ,     23.17,      0.00
