"VanillaC4_013 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_013.tcf]","Time (h)","V 2 [VanillaC4_013]","V 3 [VanillaC4_013]","V 4 [VanillaC4_013]","V 5 [VanillaC4_013]","V 6 [VanillaC4_013]","V 7 [VanillaC4_013]","V 8 [VanillaC4_013]","V 9 [VanillaC4_013]","V 10 [VanillaC4_013]","V 11 [VanillaC4_013]","V 12 [VanillaC4_013]","V 13 [VanillaC4_013]","V 14 [VanillaC4_013]","V 15 [VanillaC4_013]","V 16 [VanillaC4_013]","V  1 [VanillaC4_013]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          2.0459
           3,        0.016667,          1.7881,          0.0712,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          1.6825
           4,        0.025000,          1.6420,          1.0655,          1.5722,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          1.5634
           5,        0.033333,          1.6182,          1.1005,          1.5727,          1.4292,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0002,          0.0000,          0.0001,          1.5090
           6,        0.041667,          1.5333,          1.0991,          1.5248,          1.5137,          1.4960,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0000,          0.0001,          0.0001,          1.4775
           7,        0.050000,          1.5066,          1.0925,          1.4914,          1.4854,          1.5574,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0001,          0.0001,          0.0001,          1.4548
           8,        0.058333,          1.4883,          1.0892,          1.4673,          1.4619,          1.5298,          0.9046,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0000,          0.0001,          1.4407
           9,        0.066667,          1.4770,          1.0849,          1.4506,          1.4440,          1.5060,          1.0056,          0.8383,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0001,          0.0001,          1.4315
          10,        0.075000,          1.4683,          1.0798,          1.4386,          1.4301,          1.4890,          1.0425,          1.0235,          0.6501,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0001,          1.4243
          11,        0.083333,          1.4620,          1.0776,          1.4291,          1.4200,          1.4743,          1.0559,          1.0746,          1.0389,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0001,          0.0001,          1.4197
          12,        0.091667,          1.4578,          1.0766,          1.4222,          1.4121,          1.4642,          1.0648,          1.0961,          1.1072,          1.0459,          0.0000,          0.0000,          0.0003,          0.0001,          0.0001,          0.0000,          1.4164
          13,        0.100000,          1.4545,          1.0741,          1.4178,          1.4057,          1.4564,          1.0680,          1.1054,          1.1356,          1.1346,          1.0753,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          1.4135
          14,        0.108333,          1.4520,          1.0731,          1.4140,          1.4010,          1.4500,          1.0695,          1.1095,          1.1460,          1.1676,          1.1736,          0.4019,          0.0004,          0.0001,          0.0001,          0.0001,          1.4118
          15,        0.116667,          1.4503,          1.0727,          1.4111,          1.3979,          1.4451,          1.0702,          1.1122,          1.1515,          1.1819,          1.2006,          0.7353,          0.8141,          0.7759,          0.0001,          0.0000,          1.4105
          16,        0.125000,          1.4490,          1.0716,          1.4090,          1.3952,          1.4417,          1.0701,          1.1136,          1.1561,          1.1891,          1.2153,          0.8535,          0.9910,          1.1196,          0.6344,          0.0320,          1.4094
          17,        0.133333,          1.4479,          1.0711,          1.4074,          1.3932,          1.4390,          1.0700,          1.1141,          1.1575,          1.1910,          1.2209,          0.9063,          1.0752,          1.2393,          0.8886,          0.5536,          1.4086
          18,        0.141667,          1.4472,          1.0708,          1.4061,          1.3917,          1.4368,          1.0702,          1.1142,          1.1579,          1.1930,          1.2244,          0.9417,          1.1181,          1.2972,          1.0344,          1.0050,          1.4081
          19,        0.150000,          1.4467,          1.0704,          1.4051,          1.3904,          1.4351,          1.0701,          1.1146,          1.1579,          1.1937,          1.2264,          0.9599,          1.1415,          1.3322,          1.2456,          1.1301,          1.4077
          20,        0.158333,          1.4462,          1.0701,          1.4044,          1.3895,          1.4338,          1.0700,          1.1145,          1.1575,          1.1937,          1.2267,          0.9730,          1.1601,          1.3793,          1.3101,          1.1907,          1.4074
          21,        0.166667,          1.4460,          1.0701,          1.4038,          1.3888,          1.4328,          1.0699,          1.1144,          1.1575,          1.1935,          1.2266,          0.9831,          1.1894,          1.4139,          1.3444,          1.2331,          1.4072
          22,        0.175000,          1.4457,          1.0698,          1.4034,          1.3882,          1.4320,          1.0698,          1.1142,          1.1574,          1.1936,          1.2262,          0.9959,          1.2032,          1.4271,          1.3655,          1.2673,          1.4069
          23,        0.183333,          1.4455,          1.0697,          1.4031,          1.3878,          1.4314,          1.0696,          1.1140,          1.1572,          1.1934,          1.2263,          1.0031,          1.2101,          1.4342,          1.3806,          1.2952,          1.4068
          24,        0.191667,          1.4454,          1.0697,          1.4028,          1.3874,          1.4309,          1.0696,          1.1138,          1.1570,          1.1933,          1.2275,          1.0078,          1.2141,          1.4384,          1.3911,          1.3169,          1.4067
          25,        0.200000,          1.4453,          1.0696,          1.4026,          1.3872,          1.4305,          1.0695,          1.1137,          1.1569,          1.1933,          1.2282,          1.0109,          1.2174,          1.4417,          1.3989,          1.3333,          1.4066
          26,        0.208333,          1.4452,          1.0696,          1.4025,          1.3870,          1.4302,          1.0694,          1.1136,          1.1567,          1.1934,          1.2286,          1.0131,          1.2198,          1.4439,          1.4050,          1.3460,          1.4065
          27,        0.216667,          1.4452,          1.0695,          1.4024,          1.3868,          1.4300,          1.0693,          1.1134,          1.1567,          1.1934,          1.2289,          1.0147,          1.2215,          1.4457,          1.4098,          1.3559,          1.4065
          28,        0.225000,          1.4451,          1.0695,          1.4023,          1.3867,          1.4298,          1.0693,          1.1134,          1.1567,          1.1935,          1.2290,          1.0160,          1.2227,          1.4470,          1.4133,          1.3637,          1.4065
          29,        0.233333,          1.4451,          1.0695,          1.4022,          1.3866,          1.4296,          1.0692,          1.1133,          1.1566,          1.1934,          1.2291,          1.0169,          1.2237,          1.4479,          1.4161,          1.3697,          1.4064
