"VanillaC4_006","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\runs\VanillaC4_006.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\results\006\VanillaC4_006_PO.csv",        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          1.3707,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.1919,          0.0000
,        0.016667,          1.2310,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          1.1520,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -4.7898,         -0.0000
,        0.025000,          1.1409,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          1.0813,         -1.1515,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -5.4178,          0.0005
,        0.033333,          1.0907,          0.2394,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          1.0453,         -3.9011,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -5.6735,          0.0004
,        0.041667,          1.0615,          0.4275,          0.9699,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0001,          0.0001,          1.0242,         -4.8220,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0001,         -5.8050,          0.0002
,        0.050000,          1.0429,          0.4660,          0.9870,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0002,          0.0001,          1.0113,         -5.2793,         -0.8503,          0.0000,          0.0000,          0.0000,          0.0000,         -5.8759,          0.0002
,        0.058333,          1.0306,          0.4881,          0.9798,          0.9308,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0004,          0.0002,          0.0001,          1.0032,         -5.5414,         -3.3399,          0.0000,          0.0000,          0.0000,          0.0000,         -5.9184,          0.0002
,        0.066667,          1.0227,          0.5003,          0.9705,          0.9448,          0.9713,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0002,          0.0001,          0.9978,         -5.6956,         -4.3534,          0.0000,          0.0000,          0.0000,         -0.0000,         -5.9460,         -0.0002
,        0.075000,          1.0175,          0.5072,          0.9641,          0.9451,          1.0077,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0000,          0.9941,         -5.7923,         -4.9218,          0.0000,          0.0000,          0.0000,         -0.0000,         -5.9633,          0.0010
,        0.083333,          1.0137,          0.5093,          0.9582,          0.9402,          1.0049,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0003,          0.0000,          0.9916,         -5.8563,         -5.2690,         -2.5464,          0.0000,          0.0000,          0.0000,         -5.9749,         -0.0006
,        0.091667,          1.0111,          0.5115,          0.9536,          0.9366,          0.9991,          0.2879,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0004,          0.0001,          0.9898,         -5.9002,         -5.4956,         -3.8058,          0.0000,          0.0000,         -0.0000,         -5.9827,         -0.0000
,        0.100000,          1.0091,          0.5129,          0.9502,          0.9336,          0.9936,          0.4053,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0004,          0.0000,          0.0001,          0.9885,         -5.9303,         -5.6457,         -4.5205,          0.0000,          0.0000,         -0.0000,         -5.9878,          0.0000
,        0.108333,          1.0078,          0.5138,          0.9479,          0.9308,          0.9896,          0.4443,          0.3611,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0006,          0.0001,          0.0002,          0.9876,         -5.9508,         -5.7469,         -4.9712,         -2.6200,          0.0000,         -0.0000,         -5.9915,         -0.0004
,        0.116667,          1.0068,          0.5145,          0.9462,          0.9287,          0.9859,          0.4694,          0.4620,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          0.9870,         -5.9651,         -5.8179,         -5.2704,         -3.7734,          0.0000,         -0.0000,         -5.9939,         -0.0010
,        0.125000,          1.0061,          0.5150,          0.9449,          0.9273,          0.9829,          0.4858,          0.5058,          0.4515,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.9866,         -5.9752,         -5.8690,         -5.4775,         -4.4589,          0.0000,         -0.0001,         -5.9958,         -0.0003
,        0.133333,          1.0057,          0.5152,          0.9439,          0.9262,          0.9804,          0.4963,          0.5305,          0.5264,          0.0229,          0.0000,          0.0000,          0.0000,          0.0010,          0.0004,          0.0002,          0.9863,         -5.9822,         -5.9055,         -5.6211,         -4.9052,          0.0000,         -0.0001,         -5.9969,          0.0002
,        0.141667,          1.0052,          0.5155,          0.9432,          0.9253,          0.9791,          0.5031,          0.5447,          0.5692,          0.5088,          0.0000,          0.0000,          0.0000,          0.0008,          0.0005,          0.0002,          0.9860,         -5.9874,         -5.9317,         -5.7219,         -5.2084,          0.0000,          0.0001,         -5.9980,          0.0003
,        0.150000,          1.0050,          0.5155,          0.9426,          0.9245,          0.9779,          0.5058,          0.5541,          0.5900,          0.5887,          0.4624,          0.0000,          0.0000,          0.0007,          0.0001,          0.0001,          0.9859,         -5.9909,         -5.9503,         -5.7946,         -5.4233,         -1.7918,          0.0000,         -5.9985,          0.0001
,        0.158333,          1.0048,          0.5157,          0.9422,          0.9240,          0.9770,          0.5088,          0.5605,          0.6040,          0.6226,          0.6101,          0.0000,          0.0000,          0.0004,          0.0002,          0.0001,          0.9858,         -5.9934,         -5.9640,         -5.8490,         -5.5761,         -3.2668,         -0.0001,         -5.9988,         -0.0005
