"sfe_25 [F:\tuflow-wf_python3\output_folder\sfe_25_tuflow\runs\007\sfe_25.tcf]","Time (h)","V 1 [sfe_25]","V 2 [sfe_25]","V 3 [sfe_25]","V 4 [sfe_25]","V 5 [sfe_25]","V 6 [sfe_25]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           4,        0.050000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           5,        0.066667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           6,        0.083333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           7,        0.100000,          1.5081,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           8,        0.116667,          0.4701,          0.2410,          0.0000,          0.0000,          0.0000,          0.0000
           9,        0.133333,          0.4977,          1.1944,          0.0000,          0.0000,          0.0000,          0.0000
          10,        0.150000,          0.5251,          1.3248,          0.5629,          0.4854,          0.0000,          0.0000
          11,        0.166667,          0.5479,          1.3668,          0.1392,          0.8418,          0.5332,          0.0000
          12,        0.183333,          0.5576,          1.3058,          0.0843,          1.1353,          0.7164,          0.0000
          13,        0.200000,          0.5609,          1.2052,          0.0682,          1.2642,          0.8333,          0.9406
          14,        0.216667,          0.5626,          1.1048,          0.0588,          1.3342,          0.9143,          1.1994
          15,        0.233333,          0.5630,          1.0524,          0.0499,          1.3851,          0.9503,          1.2528
          16,        0.250000,          0.5633,          1.0299,          0.0428,          1.3988,          0.9704,          1.2803
          17,        0.266667,          0.5636,          1.0185,          0.0360,          1.4073,          0.9810,          1.2949
          18,        0.283333,          0.5636,          1.0092,          0.0318,          1.4150,          0.9871,          1.3013
          19,        0.300000,          0.5636,          1.0045,          0.0285,          1.4176,          0.9903,          1.3058
          20,        0.316667,          0.5636,          1.0022,          0.0265,          1.4197,          0.9921,          1.3090
          21,        0.333333,          0.5637,          1.0478,          0.0250,          1.4210,          0.9933,          1.3109
          22,        0.350000,          0.5637,          1.1193,          0.0239,          1.4292,          0.9973,          1.3123
          23,        0.366667,          0.5637,          1.0727,          0.0231,          1.4512,          1.0118,          1.3198
          24,        0.383333,          0.5637,          1.0476,          0.0265,          1.4706,          1.0365,          1.3389
          25,        0.400000,          0.5636,          1.0296,          0.0275,          1.4893,          1.0556,          1.3550
          26,        0.416667,          0.5636,          1.0165,          0.0264,          1.5018,          1.0709,          1.3682
          27,        0.433333,          0.5637,          1.0072,          0.0246,          1.5127,          1.1051,          1.3773
          28,        0.450000,          0.5637,          1.0006,          0.0224,          1.5228,          1.1145,          1.3841
          29,        0.466667,          0.5637,          0.9950,          0.0211,          1.5265,          1.1218,          1.3898
          30,        0.483333,          0.5636,          0.9884,          0.0195,          1.5299,          1.1280,          1.3929
          31,        0.500000,          0.5637,          0.9813,          0.0186,          1.5333,          1.1339,          1.3970
          32,        0.516667,          0.5637,          0.9761,          0.0176,          1.5367,          1.1383,          1.4003
          33,        0.533333,          0.5637,          0.9721,          0.0168,          1.5403,          1.1428,          1.4032
          34,        0.550000,          0.5637,          0.9692,          0.0161,          1.5416,          1.1461,          1.4057
          35,        0.566667,          0.5636,          0.9669,          0.0154,          1.5436,          1.1482,          1.4078
          36,        0.583333,          0.5637,          0.9648,          0.0149,          1.5452,          1.1501,          1.4098
          37,        0.600000,          0.5637,          0.9638,          0.0144,          1.5466,          1.1520,          1.4112
          38,        0.616667,          0.5637,          0.9623,          0.0141,          1.5478,          1.1535,          1.4126
          39,        0.633333,          0.5637,          0.9615,          0.0137,          1.5488,          1.1549,          1.4138
          40,        0.650000,          0.5636,          0.9605,          0.0134,          1.5500,          1.1560,          1.4155
          41,        0.666667,          0.5637,          0.9597,          0.0131,          1.5508,          1.1567,          1.4162
          42,        0.683333,          0.5637,          0.9592,          0.0129,          1.5504,          1.1575,          1.4168
          43,        0.700000,          0.5636,          0.9585,          0.0126,          1.5510,          1.1581,          1.4174
          44,        0.716667,          0.5637,          0.9581,          0.0125,          1.5515,          1.1588,          1.4178
          45,        0.733333,          0.5637,          0.9579,          0.0122,          1.5519,          1.1592,          1.4186
          46,        0.750000,          0.5637,          0.9577,          0.0122,          1.5523,          1.1595,          1.4189
          47,        0.766667,          0.5636,          0.9535,          0.0120,          1.5526,          1.1599,          1.4190
          48,        0.783333,          0.5637,          0.9534,          0.0119,          1.5528,          1.1601,          1.4192
          49,        0.800000,          0.5637,          0.9532,          0.0119,          1.5531,          1.1602,          1.4195
          50,        0.816667,          0.5637,          0.9530,          0.0118,          1.5532,          1.1604,          1.4197
          51,        0.833333,          0.5637,          0.9529,          0.0117,          1.5534,          1.1606,          1.4197
          52,        0.850000,          0.5637,          0.9528,          0.0116,          1.5535,          1.1607,          1.4198
          53,        0.866667,          0.5636,          0.9527,          0.0116,          1.5537,          1.1610,          1.4199
          54,        0.883333,          0.5637,          0.9527,          0.0116,          1.5538,          1.1610,          1.4200
          55,        0.900000,          0.5637,          0.9526,          0.0115,          1.5538,          1.1611,          1.4201
          56,        0.916667,          0.5637,          0.9525,          0.0116,          1.5527,          1.1611,          1.4203
          57,        0.933333,          0.5637,          0.9525,          0.0116,          1.5527,          1.1612,          1.4202
          58,        0.950000,          0.5637,          0.9525,          0.0114,          1.5528,          1.1613,          1.4202
          59,        0.966667,          0.5636,          0.9524,          0.0115,          1.5528,          1.1614,          1.4202
          60,        0.983333,          0.5637,          0.9523,          0.0115,          1.5529,          1.1614,          1.4202
          61,        1.000000,          0.5637,          0.9524,          0.0115,          1.5530,          1.1614,          1.4203
          62,        1.016667,          0.5636,          0.9524,          0.0115,          1.5531,          1.1614,          1.4203
          63,        1.033333,          0.5636,          0.9524,          0.0116,          1.5531,          1.1613,          1.4203
          64,        1.050000,          0.5636,          0.9523,          0.0115,          1.5531,          1.1615,          1.4203
          65,        1.066667,          0.5637,          0.9524,          0.0116,          1.5531,          1.1614,          1.4203
          66,        1.083333,          0.5637,          0.9523,          0.0115,          1.5531,          1.1614,          1.4203
