"VanillaC4_009 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_009.tcf]","Time (h)","V 2 [VanillaC4_009]","V 3 [VanillaC4_009]","V 4 [VanillaC4_009]","V 5 [VanillaC4_009]","V 6 [VanillaC4_009]","V 7 [VanillaC4_009]","V 8 [VanillaC4_009]","V 9 [VanillaC4_009]","V 10 [VanillaC4_009]","V 11 [VanillaC4_009]","V 12 [VanillaC4_009]","V 13 [VanillaC4_009]","V 14 [VanillaC4_009]","V 15 [VanillaC4_009]","V 16 [VanillaC4_009]","V  1 [VanillaC4_009]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0000,          1.5395
           3,        0.016667,          1.4082,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          1.3150
           4,        0.025000,          1.2938,          0.0223,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          1.2300
           5,        0.033333,          1.2362,          0.5854,          1.0490,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0001,          1.1847
           6,        0.041667,          1.2024,          0.6496,          1.1604,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0002,          0.0001,          1.1639
           7,        0.050000,          1.1812,          0.6699,          1.1434,          1.0960,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0002,          0.0000,          1.1458
           8,        0.058333,          1.1678,          0.6794,          1.1264,          1.1069,          1.1480,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          1.1354
           9,        0.066667,          1.1589,          0.6843,          1.1147,          1.0998,          1.1658,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0002,          1.1287
          10,        0.075000,          1.1526,          0.6869,          1.1054,          1.0914,          1.1562,          0.3650,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0003,          0.0001,          1.1241
          11,        0.083333,          1.1482,          0.6878,          1.0980,          1.0843,          1.1460,          0.5478,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0001,          1.1209
          12,        0.091667,          1.1449,          0.6886,          1.0931,          1.0789,          1.1378,          0.6120,          0.5137,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          1.1186
          13,        0.100000,          1.1426,          0.6887,          1.0896,          1.0744,          1.1314,          0.6399,          0.6269,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0002,          0.0000,          1.1170
          14,        0.108333,          1.1409,          0.6889,          1.0868,          1.0715,          1.1261,          0.6571,          0.6720,          0.5996,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0001,          1.1159
          15,        0.116667,          1.1398,          0.6890,          1.0846,          1.0691,          1.1219,          0.6681,          0.6978,          0.6958,          0.4308,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          1.1150
          16,        0.125000,          1.1389,          0.6890,          1.0831,          1.0671,          1.1192,          0.6749,          0.7145,          0.7385,          0.6985,          0.0000,          0.0000,          0.0000,          0.0003,          0.0001,          0.0001,          1.1145
