"VanillaC4_009 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_009.tcf]","Time (h)","Q 2 [VanillaC4_009]","Q 3 [VanillaC4_009]","Q 4 [VanillaC4_009]","Q 5 [VanillaC4_009]","Q 6 [VanillaC4_009]","Q 7 [VanillaC4_009]","Q 1 [VanillaC4_009]","Q  8 [VanillaC4_009]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -3.6243,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -7.4958,         -0.0004
           4,        0.025000,         -4.3168,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -8.2988,         -0.0001
           5,        0.033333,         -6.6965,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -8.5894,          0.0005
           6,        0.041667,         -7.6459,         -0.0000,          0.0000,          0.0000,          0.0000,          0.0002,         -8.7416,         -0.0002
           7,        0.050000,         -8.1624,         -4.7369,          0.0000,          0.0000,          0.0000,          0.0002,         -8.8392,         -0.0003
           8,        0.058333,         -8.4507,         -6.4198,          0.0000,          0.0000,          0.0000,          0.0001,         -8.8925,          0.0002
           9,        0.066667,         -8.6267,         -7.3240,         -0.5455,          0.0000,          0.0000,          0.0000,         -8.9253,         -0.0003
          10,        0.075000,         -8.7447,         -7.8660,         -4.5090,          0.0000,          0.0000,          0.0001,         -8.9511,          0.0001
          11,        0.083333,         -8.8228,         -8.2173,         -6.1004,          0.0000,          0.0000,         -0.0004,         -8.9663,          0.0008
          12,        0.091667,         -8.8748,         -8.4469,         -7.0228,         -2.9559,          0.0000,          0.0002,         -8.9751,         -0.0009
          13,        0.100000,         -8.9117,         -8.6033,         -7.6085,         -5.1784,          0.0000,          0.0003,         -8.9831,         -0.0001
          14,        0.108333,         -8.9372,         -8.7153,         -8.0090,         -6.3884,          0.0000,         -0.0000,         -8.9882,          0.0005
          15,        0.116667,         -8.9547,         -8.7945,         -8.2828,         -7.1510,          0.0000,         -0.0001,         -8.9912,          0.0002
          16,        0.125000,         -8.9675,         -8.8507,         -8.4726,         -7.6630,          0.0000,          0.0001,         -8.9937,         -0.0007
          17,        0.133333,         -8.9766,         -8.8912,         -8.6124,         -8.0242,         -3.5839,         -0.0003,         -8.9956,          0.0004
          18,        0.141667,         -8.9830,         -8.9206,         -8.7142,         -8.2790,         -5.3470,         -0.0001,         -8.9970,         -0.0003
          19,        0.150000,         -8.9877,         -8.9418,         -8.7887,         -8.4607,         -6.3999,          0.0001,         -8.9977,         -0.0001
          20,        0.158333,         -8.9911,         -8.9571,         -8.8433,         -8.5975,         -7.1025,         -2.4725,         -8.9984,          0.0000
          21,        0.166667,         -8.9934,         -8.9686,         -8.8836,         -8.6990,         -7.5907,         -4.6094,         -8.9987,          0.0002
          22,        0.175000,         -8.9951,         -8.9768,         -8.9135,         -8.7748,         -7.9472,         -5.8773,         -8.9991,         -2.8641
          23,        0.183333,         -8.9965,         -8.9828,         -8.9358,         -8.8311,         -8.2062,         -6.7112,         -8.9993,         -4.4728
          24,        0.191667,         -8.9973,         -8.9875,         -8.9518,         -8.8731,         -8.3958,         -7.2855,         -8.9996,         -6.1699
          25,        0.200000,         -8.9979,         -8.9907,         -8.9641,         -8.9047,         -8.5392,         -7.7111,         -8.9994,         -6.8413
          26,        0.208333,         -8.9986,         -8.9930,         -8.9730,         -8.9283,         -8.6493,         -8.0247,         -8.9997,         -7.3019
          27,        0.216667,         -8.9989,         -8.9951,         -8.9798,         -8.9463,         -8.7328,         -8.2683,         -8.9996,         -7.6827
          28,        0.225000,         -8.9993,         -8.9963,         -8.9849,         -8.9595,         -8.7965,         -8.4425,         -8.9999,         -7.9812
          29,        0.233333,         -8.9994,         -8.9975,         -8.9885,         -8.9692,         -8.8446,         -8.5749,         -8.9998,         -8.2088
          30,        0.241667,         -8.9998,         -8.9977,         -8.9916,         -8.9770,         -8.8818,         -8.6753,         -9.0000,         -8.3899
          31,        0.250000,         -8.9998,         -8.9982,         -8.9937,         -8.9827,         -8.9100,         -8.7520,         -8.9998,         -8.5304
          32,        0.258333,         -8.9998,         -8.9988,         -8.9954,         -8.9870,         -8.9316,         -8.8105,         -8.9998,         -8.6392
          33,        0.266667,         -8.9997,         -8.9990,         -8.9965,         -8.9901,         -8.9480,         -8.8553,         -8.9998,         -8.7237
          34,        0.275000,         -8.9997,         -8.9993,         -8.9974,         -8.9925,         -8.9604,         -8.8894,         -8.9999,         -8.7883
          35,        0.283333,         -8.9997,         -8.9995,         -8.9981,         -8.9942,         -8.9700,         -8.9156,         -9.0001,         -8.8379
          36,        0.291667,         -9.0000,         -8.9997,         -8.9985,         -8.9956,         -8.9772,         -8.9355,         -9.0000,         -8.8761
          37,        0.300000,         -8.9998,         -8.9999,         -8.9989,         -8.9967,         -8.9824,         -8.9506,         -9.0001,         -8.9056
          38,        0.308333,         -9.0000,         -8.9999,         -8.9992,         -8.9978,         -8.9867,         -8.9625,         -9.0000,         -8.9279
          39,        0.316667,         -9.0000,         -8.9997,         -8.9991,         -8.9980,         -8.9897,         -8.9714,         -9.0001,         -8.9449
          40,        0.325000,         -8.9999,         -9.0001,         -8.9996,         -8.9985,         -8.9926,         -8.9783,         -9.0001,         -8.9578
          41,        0.333333,         -8.9999,         -8.9998,         -8.9997,         -8.9989,         -8.9944,         -8.9835,         -8.9999,         -8.9680
          42,        0.341667,         -9.0000,         -8.9999,         -8.9995,         -8.9992,         -8.9958,         -8.9874,         -9.0000,         -8.9758
          43,        0.350000,         -8.9999,         -9.0001,         -8.9998,         -8.9993,         -8.9968,         -8.9903,         -9.0001,         -8.9812
          44,        0.358333,         -9.0000,         -9.0001,         -8.9998,         -8.9995,         -8.9976,         -8.9928,         -9.0000,         -8.9856
          45,        0.366667,         -8.9998,         -9.0000,         -9.0000,         -8.9996,         -8.9980,         -8.9943,         -9.0001,         -8.9890
