"InphaseC4_008 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_InphaseC4\runs\InphaseC4_008.tcf]","Time (h)","Q 2 [InphaseC4_008]","Q 3 [InphaseC4_008]","Q 4 [InphaseC4_008]","Q 5 [InphaseC4_008]","Q 6 [InphaseC4_008]","Q 7 [InphaseC4_008]","Q 1 [InphaseC4_008]","Q  8 [InphaseC4_008]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0000,         -5.7009,         -0.0003
           3,        0.016667,         -3.0288,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0001,         -7.9791,          0.0002
           4,        0.025000,         -5.2566,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0004,         -7.9820,         -0.0004
           5,        0.033333,         -3.6814,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0002,         -8.0009,         -0.0002
           6,        0.041667,         -3.9421,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,         -8.0030,         -0.0005
           7,        0.050000,         -4.7650,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,         -7.9987,          0.0002
           8,        0.058333,         -4.7361,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,         -8.0001,          0.0012
           9,        0.066667,         -4.8971,         -0.8541,          0.0000,          0.0000,          0.0000,         -0.0003,         -7.7585,         -0.0008
          10,        0.075000,         -5.4414,         -1.8511,          0.0000,          0.0000,          0.0000,         -0.0004,         -7.6861,          0.0002
          11,        0.083333,         -5.9416,         -2.9146,         -0.0000,          0.0000,          0.0000,         -0.0001,         -7.6727,          0.0014
          12,        0.091667,         -6.2666,         -3.9314,         -1.8750,          0.0000,          0.0000,         -0.0006,         -7.6755,         -0.0006
          13,        0.100000,         -6.6177,         -4.7656,         -2.3307,          0.0000,          0.0000,         -0.0000,         -7.7175,         -0.0008
          14,        0.108333,         -6.9344,         -5.4618,         -2.8463,          0.0000,          0.0000,          0.0002,         -7.7686,          0.0021
          15,        0.116667,         -7.1779,         -6.0465,         -3.4103,          0.0000,          0.0000,          0.0003,         -7.8180,          0.0002
          16,        0.125000,         -7.3556,         -6.5040,         -3.7281,          0.0000,          0.0000,          0.0002,         -7.8521,         -0.0009
          17,        0.133333,         -7.5127,         -6.8566,         -4.0571,          0.0000,          0.0000,          0.0001,         -7.8840,          0.0007
          18,        0.141667,         -7.6327,         -7.1337,         -4.3875,         -0.0917,          0.0000,          0.0004,         -7.9124,          0.0005
          19,        0.150000,         -7.7206,         -7.3465,         -4.6869,         -0.6333,          0.0000,         -0.0001,         -7.9313,         -0.0013
          20,        0.158333,         -7.7865,         -7.5062,         -5.0111,         -1.3617,          0.0000,         -0.0005,         -7.9471,          0.0005
          21,        0.166667,         -7.8400,         -7.6271,         -5.3976,         -2.2265,          0.0000,          0.0000,         -7.9602,         -0.0006
          22,        0.175000,         -7.8805,         -7.7201,         -5.8096,         -3.1340,         -0.0000,          0.0003,         -7.9706,         -0.0001
          23,        0.183333,         -7.9104,         -7.7906,         -6.1949,         -4.0037,         -1.4116,          0.0005,         -7.9780,          0.0011
          24,        0.191667,         -7.9319,         -7.8421,         -6.5325,         -4.7729,         -1.3148,          0.0000,         -7.9828,          0.0001
          25,        0.200000,         -7.9494,         -7.8815,         -6.8397,         -5.4348,         -1.4858,         -0.0007,         -7.9872,         -0.0003
          26,        0.208333,         -7.9617,         -7.9109,         -7.0874,         -5.9939,         -2.2847,          0.0004,         -7.9903,         -0.0002
          27,        0.216667,         -7.9714,         -7.9331,         -7.2857,         -6.4369,         -2.8652,          0.0001,         -7.9929,         -0.0005
          28,        0.225000,         -7.9778,         -7.9498,         -7.4468,         -6.7923,         -3.1483,         -0.0007,         -7.9947,         -0.0009
