"InphaseC4_003 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_InphaseC4\runs\InphaseC4_003.tcf]","Time (h)","Q 2 [InphaseC4_003]","Q 3 [InphaseC4_003]","Q 4 [InphaseC4_003]","Q 5 [InphaseC4_003]","Q 6 [InphaseC4_003]","Q 7 [InphaseC4_003]","Q 1 [InphaseC4_003]","Q  8 [InphaseC4_003]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0000,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -2.9351,          0.0007
           4,        0.025000,         -1.6077,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0001,         -2.9980,         -0.0001
           5,        0.033333,         -1.4247,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,         -3.0012,         -0.0000
           6,        0.041667,         -1.1088,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0003,         -3.0001,         -0.0003
           7,        0.050000,         -1.4166,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0003,         -2.9999,         -0.0000
           8,        0.058333,         -1.4095,          0.0000,          0.0000,          0.0000,          0.0000,          0.0005,         -3.0000,         -0.0012
           9,        0.066667,         -1.3242,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0001,         -3.0000,         -0.0004
          10,        0.075000,         -1.4900,          0.0000,          0.0000,          0.0000,          0.0000,          0.0006,         -3.0001,          0.0003
          11,        0.083333,         -1.4914,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,         -2.9999,          0.0002
          12,        0.091667,         -1.4554,          0.0000,          0.0000,          0.0000,          0.0000,          0.0005,         -3.0002,         -0.0007
          13,        0.100000,         -1.5463,          0.0000,          0.0000,          0.0000,          0.0000,          0.0006,         -3.0010,          0.0005
          14,        0.108333,         -1.6159,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0004,         -2.9767,          0.0004
          15,        0.116667,         -1.6103,          0.0000,          0.0000,          0.0000,          0.0000,          0.0004,         -2.9372,         -0.0002
          16,        0.125000,         -1.6654,         -0.0001,          0.0000,          0.0000,          0.0000,         -0.0000,         -2.9104,         -0.0001
          17,        0.133333,         -1.7585,         -0.0527,          0.0000,          0.0000,          0.0000,          0.0000,         -2.8895,         -0.0008
          18,        0.141667,         -1.8463,         -0.2710,          0.0000,          0.0000,          0.0000,         -0.0004,         -2.8815,          0.0007
          19,        0.150000,         -1.9209,         -0.5026,          0.0000,          0.0000,          0.0000,         -0.0001,         -2.8724,          0.0002
          20,        0.158333,         -2.0302,         -0.7419,         -0.0001,          0.0000,          0.0000,          0.0002,         -2.8710,          0.0002
          21,        0.166667,         -2.1531,         -0.9838,         -0.0000,          0.0000,          0.0000,          0.0002,         -2.8786,         -0.0004
          22,        0.175000,         -2.2467,         -1.2273,         -0.4821,          0.0000,          0.0000,          0.0002,         -2.8854,          0.0008
          23,        0.183333,         -2.3416,         -1.4568,         -0.5722,          0.0000,          0.0000,         -0.0001,         -2.8906,         -0.0004
          24,        0.191667,         -2.4339,         -1.6638,         -0.7432,          0.0000,          0.0000,         -0.0000,         -2.9054,         -0.0010
          25,        0.200000,         -2.5176,         -1.8539,         -0.8862,          0.0000,          0.0000,          0.0006,         -2.9155,         -0.0004
          26,        0.208333,         -2.5850,         -2.0261,         -0.9993,          0.0000,          0.0000,          0.0001,         -2.9258,          0.0002
          27,        0.216667,         -2.6468,         -2.1738,         -1.1164,          0.0000,          0.0000,          0.0002,         -2.9342,          0.0001
