"InphaseC4_002 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_inphase\runs\InphaseC4_002.tcf]","Time (h)","Q 2 [InphaseC4_002]","Q 3 [InphaseC4_002]","Q 4 [InphaseC4_002]","Q 5 [InphaseC4_002]","Q 6 [InphaseC4_002]","Q 7 [InphaseC4_002]","Q 1 [InphaseC4_002]","Q  8 [InphaseC4_002]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -11.2626,         -0.0002
           3,        0.016667,         -8.9467,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,        -13.3285,          0.0000
           4,        0.025000,         -8.8927,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0001,        -13.3200,          0.0003
           5,        0.033333,         -6.7098,          0.0000,          0.0000,          0.0000,          0.0000,          0.0005,        -13.3186,         -0.0000
           6,        0.041667,         -7.7502,         -0.1417,          0.0000,          0.0000,          0.0000,         -0.0002,        -13.3240,          0.0007
           7,        0.050000,         -9.1828,         -2.3032,          0.0000,          0.0000,          0.0000,         -0.0009,        -13.0307,          0.0001
           8,        0.058333,         -9.7777,         -4.8423,          0.0000,          0.0000,          0.0000,          0.0001,        -12.8060,          0.0012
           9,        0.066667,        -10.4194,         -6.8218,         -3.5171,          0.0000,          0.0000,          0.0002,        -12.7287,         -0.0006
          10,        0.075000,        -11.2406,         -8.3967,         -4.9031,          0.0000,          0.0000,         -0.0008,        -12.8482,          0.0001
          11,        0.083333,        -11.8358,         -9.7450,         -5.2571,          0.0000,          0.0000,          0.0000,        -12.9630,          0.0006
          12,        0.091667,        -12.1980,        -10.7545,         -6.5080,          0.0000,          0.0000,         -0.0002,        -13.0293,         -0.0002
          13,        0.100000,        -12.5042,        -11.4643,         -7.3876,         -0.5579,          0.0000,          0.0005,        -13.1016,          0.0001
          14,        0.108333,        -12.7479,        -11.9913,         -7.9224,         -2.0407,          0.0000,          0.0005,        -13.1622,          0.0002
          15,        0.116667,        -12.9137,        -12.3786,         -8.7286,         -3.7351,          0.0000,          0.0004,        -13.2069,          0.0010
          16,        0.125000,        -13.0271,        -12.6526,         -9.6673,         -5.5655,         -0.0000,          0.0009,        -13.2370,          0.0004
          17,        0.133333,        -13.1119,        -12.8455,        -10.4669,         -7.2742,         -2.9593,          0.0002,        -13.2600,          0.0002
          18,        0.141667,        -13.1732,        -12.9841,        -11.1046,         -8.7046,         -3.4220,          0.0005,        -13.2776,         -0.0007
          19,        0.150000,        -13.2158,        -13.0824,        -11.6559,         -9.8550,         -4.0227,          0.0002,        -13.2890,          0.0003
