"2","2D","V_","P"
"3","2D","V_","P"
"4","2D","V_","P"
"5","2D","V_","P"
"6","2D","V_","P"
"7","2D","V_","P"
"8","2D","V_","P"
"9","2D","V_","P"
"10","2D","V_","P"
"11","2D","V_","P"
"12","2D","V_","P"
"13","2D","V_","P"
"14","2D","V_","P"
"15","2D","V_","P"
"16","2D","V_","P"
" 1","2D","V_","P"
"2","2D","Q_","L"
"3","2D","Q_","L"
"4","2D","Q_","L"
"5","2D","Q_","L"
"6","2D","Q_","L"
"7","2D","Q_","L"
"1","2D","Q_","L"
" 8","2D","Q_","L"
