"Time (h)    ","1D and 2D:  ","H Vol In    ","H Vol Out   ","Q Vol In    ","Q Vol Out   ","Tot Vol In  ","Tot Vol Out ","Vol I-O     ","dVol        ","Vol Err     ","Q ME (%)    ","Vol I+O     ","Tot Vol     ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  285.8049    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         4.000,              , 0.4342474    ,  53876.91    ,  57600.00    ,  0.000000    ,  57600.43    ,  53876.91    ,  3723.522    ,  3723.523    , 0.5482848E-03, 0.4918352E-06,  111477.3    ,  4009.327    ,  111477.3    , 0.5482848E-03, 0.4918352E-06, 0.4918352E-06
         4.500,              ,  0.000000    ,  7199.998    ,  7200.000    ,  0.000000    ,  7200.000    ,  7199.998    , 0.1506329E-02, 0.7324219E-03,-0.7739067E-03,-0.5374353E-05,  14400.00    ,  4009.328    ,  125877.3    ,-0.2256219E-03,-0.1792395E-06,-0.1792395E-06
         5.000,              ,  0.000000    ,  7200.064    ,  7200.000    ,  0.000000    ,  7200.000    ,  7200.064    ,-0.6407809E-01,-0.6445312E-01,-0.3750324E-03,-0.2604380E-05,  14400.06    ,  4009.264    ,  140277.4    ,-0.6006543E-03,-0.4281903E-06,-0.4281903E-06
         5.500,              ,  0.000000    ,  7199.937    ,  7200.000    ,  0.000000    ,  7200.000    ,  7199.937    , 0.6327605E-01, 0.6420898E-01, 0.9329319E-03, 0.6478722E-05,  14399.94    ,  4009.328    ,  154677.3    , 0.3322776E-03, 0.2148198E-06, 0.2148198E-06
         6.000,              ,  0.000000    ,  7199.997    ,  7200.000    ,  0.000000    ,  7200.000    ,  7199.997    , 0.2629519E-02, 0.1708984E-02,-0.9205341E-03,-0.6392600E-05,  14400.00    ,  4009.330    ,  169077.3    ,-0.5882565E-03,-0.3479216E-06,-0.3479216E-06
         6.000,              ,  0.000000    , 0.5012696    , 0.5012512    ,  0.000000    , 0.5012512    , 0.5012696    ,-0.1835823E-04, 0.4882812E-03, 0.5066395E-03, 0.5053655E-01,  1.002521    ,  4009.330    ,  169078.3    ,-0.8161706E-04,-0.4827174E-07,-0.4827174E-07
