"VanillaC4_009 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\runs\VanillaC4_009.tcf]","Time (h)","V 2 [VanillaC4_009]","V 3 [VanillaC4_009]","V 4 [VanillaC4_009]","V 5 [VanillaC4_009]","V 6 [VanillaC4_009]","V 7 [VanillaC4_009]","V 8 [VanillaC4_009]","V 9 [VanillaC4_009]","V 10 [VanillaC4_009]","V 11 [VanillaC4_009]","V 12 [VanillaC4_009]","V 13 [VanillaC4_009]","V 14 [VanillaC4_009]","V 15 [VanillaC4_009]","V 16 [VanillaC4_009]","V  1 [VanillaC4_009]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0000,          1.5784
           3,        0.016667,          1.3979,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          1.3105
           4,        0.025000,          1.2883,          0.1137,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          1.2297
           5,        0.033333,          1.2363,          0.5876,          1.0882,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0001,          1.1871
           6,        0.041667,          1.2018,          0.6501,          1.1599,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          1.1634
           7,        0.050000,          1.1810,          0.6701,          1.1417,          1.0938,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          1.1490
           8,        0.058333,          1.1678,          0.6793,          1.1256,          1.1060,          1.1498,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0002,          0.0001,          1.1393
           9,        0.066667,          1.1591,          0.6843,          1.1141,          1.0992,          1.1645,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          1.1326
          10,        0.075000,          1.1528,          0.6869,          1.1049,          1.0909,          1.1555,          0.3756,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0001,          1.1280
          11,        0.083333,          1.1484,          0.6879,          1.0978,          1.0839,          1.1454,          0.5502,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0001,          0.0002,          1.1248
          12,        0.091667,          1.1453,          0.6884,          1.0930,          1.0786,          1.1375,          0.6128,          0.5187,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          1.1226
          13,        0.100000,          1.1430,          0.6887,          1.0894,          1.0743,          1.1311,          0.6403,          0.6283,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0002,          0.0000,          1.1210
          14,        0.108333,          1.1414,          0.6889,          1.0866,          1.0714,          1.1259,          0.6573,          0.6728,          0.6037,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0002,          1.1198
