"InphaseC4_009 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_InphaseC4\runs\InphaseC4_009.tcf]","Time (h)","Q 2 [InphaseC4_009]","Q 3 [InphaseC4_009]","Q 4 [InphaseC4_009]","Q 5 [InphaseC4_009]","Q 6 [InphaseC4_009]","Q 7 [InphaseC4_009]","Q 1 [InphaseC4_009]","Q  8 [InphaseC4_009]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -6.7281,          0.0000
           3,        0.016667,         -4.3061,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0000,         -9.0020,         -0.0010
           4,        0.025000,         -5.9417,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0002,         -8.9771,          0.0008
           5,        0.033333,         -4.2224,          0.0000,          0.0000,          0.0000,          0.0000,          0.0006,         -8.9934,          0.0008
           6,        0.041667,         -4.5660,          0.0000,          0.0000,          0.0000,          0.0000,          0.0005,         -9.0043,         -0.0005
           7,        0.050000,         -5.5189,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,         -8.9986,         -0.0013
           8,        0.058333,         -5.5960,         -0.3695,          0.0000,          0.0000,          0.0000,         -0.0003,         -8.9203,          0.0007
           9,        0.066667,         -5.8312,         -1.8150,          0.0000,          0.0000,          0.0000,         -0.0003,         -8.6281,         -0.0006
          10,        0.075000,         -6.4880,         -2.9934,          0.0000,          0.0000,          0.0000,          0.0002,         -8.6054,          0.0011
          11,        0.083333,         -7.0324,         -4.1969,         -1.9837,          0.0000,          0.0000,          0.0007,         -8.6499,          0.0004
          12,        0.091667,         -7.4037,         -5.2648,         -2.6763,          0.0000,          0.0000,          0.0004,         -8.6797,          0.0002
          13,        0.100000,         -7.7486,         -6.1037,         -3.1286,          0.0000,          0.0000,         -0.0012,         -8.7240,         -0.0004
          14,        0.108333,         -8.0659,         -6.7802,         -3.8757,          0.0000,          0.0000,         -0.0007,         -8.7850,         -0.0004
          15,        0.116667,         -8.2918,         -7.3266,         -4.2614,          0.0000,          0.0000,         -0.0004,         -8.8357,         -0.0006
          16,        0.125000,         -8.4547,         -7.7454,         -4.5952,          0.0000,          0.0000,         -0.0008,         -8.8678,         -0.0004
          17,        0.133333,         -8.5946,         -8.0568,         -5.0642,         -0.3498,          0.0000,         -0.0000,         -8.8996,          0.0000
          18,        0.141667,         -8.6998,         -8.2960,         -5.4345,         -1.1315,          0.0000,         -0.0001,         -8.9258,          0.0007
          19,        0.150000,         -8.7753,         -8.4767,         -5.8377,         -2.0896,          0.0000,         -0.0000,         -8.9448,         -0.0004
          20,        0.158333,         -8.8327,         -8.6113,         -6.3301,         -3.1466,          0.0000,         -0.0009,         -8.9580,          0.0009
          21,        0.166667,         -8.8755,         -8.7111,         -6.8163,         -4.1968,         -1.6301,          0.0003,         -8.9684,          0.0005
