"InphaseC4_009 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_InphaseC4\runs\InphaseC4_009.tcf]","Time (h)","V 2 [InphaseC4_009]","V 3 [InphaseC4_009]","V 4 [InphaseC4_009]","V 5 [InphaseC4_009]","V 6 [InphaseC4_009]","V 7 [InphaseC4_009]","V 8 [InphaseC4_009]","V 9 [InphaseC4_009]","V 10 [InphaseC4_009]","V 11 [InphaseC4_009]","V 12 [InphaseC4_009]","V 13 [InphaseC4_009]","V 14 [InphaseC4_009]","V 15 [InphaseC4_009]","V 16 [InphaseC4_009]","V  1 [InphaseC4_009]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          2.1567
           3,        0.016667,          2.2928,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          2.1620
           4,        0.025000,          2.1847,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0000,          0.0001,          0.0001,          2.1577
           5,        0.033333,          1.5539,          0.0000,          0.2974,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0000,          0.0000,          2.1565
           6,        0.041667,          1.1948,          0.0000,          0.2871,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0000,          0.0000,          0.0001,          2.1574
           7,        0.050000,          1.0702,          0.0000,          0.3779,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0004,          0.0000,          0.0001,          0.0001,          2.1578
           8,        0.058333,          0.9614,          0.0232,          0.3966,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0001,          0.0000,          0.0001,          2.1524
           9,        0.066667,          0.8883,          0.0354,          0.4177,          0.9283,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0000,          0.0001,          2.0871
          10,        0.075000,          0.8599,          0.0693,          0.4671,          1.1309,          1.2450,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0001,          0.0001,          1.6509
          11,        0.083333,          0.8335,          0.0939,          0.5094,          1.2739,          1.5598,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0000,          0.0000,          0.0001,          1.4931
          12,        0.091667,          0.8088,          0.1108,          0.5361,          1.3741,          1.7521,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0000,          0.0001,          1.4028
          13,        0.100000,          0.7933,          0.1255,          0.5574,          1.4397,          1.8821,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          0.0000,          1.3391
          14,        0.108333,          0.7834,          0.1385,          0.5775,          1.4873,          1.9719,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0001,          0.0000,          0.0001,          1.2959
          15,        0.116667,          0.7747,          0.1464,          0.5907,          1.5231,          1.5779,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0000,          0.0000,          0.0001,          1.2659
          16,        0.125000,          0.7669,          0.1530,          0.6004,          1.5486,          1.2628,          0.0000,          0.1212,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0000,          0.0000,          0.0001,          1.2436
          17,        0.133333,          0.7615,          0.1589,          0.6079,          1.5668,          1.0989,          0.0000,          0.2046,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          0.0001,          1.2270
          18,        0.141667,          0.7577,          0.1628,          0.6141,          1.5804,          0.9956,          0.0000,          0.2535,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0000,          0.0001,          0.0001,          1.2151
          19,        0.150000,          0.7543,          0.1657,          0.6181,          1.5904,          0.9212,          0.0000,          0.2977,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0001,          0.0001,          0.0001,          1.2065
          20,        0.158333,          0.7520,          0.1680,          0.6211,          1.5977,          0.8758,          0.0000,          0.3424,          0.0853,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0000,          0.0001,          1.2000
          21,        0.166667,          0.7503,          0.1698,          0.6234,          1.6031,          0.8409,          0.0000,          0.3820,          0.5747,          0.0015,          0.1634,          0.0000,          0.0002,          0.0001,          0.0001,          0.0001,          1.1956
          22,        0.175000,          0.7489,          0.1711,          0.6250,          1.6071,          0.8194,          0.0000,          0.4141,          0.7908,          0.0950,          0.1690,          0.0000,          0.0006,          0.0001,          0.0001,          0.0001,          1.1923
          23,        0.183333,          0.7477,          0.1723,          0.6263,          1.6101,          0.8035,          0.0000,          0.4400,          0.9376,          0.0582,          0.1317,          0.0000,          0.0002,          0.0000,          0.0001,          0.0000,          1.1896
          24,        0.191667,          0.7470,          0.1733,          0.6271,          1.6122,          0.7909,          0.0401,          0.4605,          1.0385,          0.0346,          0.1695,          0.0000,          0.0002,          0.0000,          0.0000,          0.0001,          1.1874
          25,        0.200000,          0.7464,          0.1738,          0.6279,          1.6137,          0.7812,          0.0512,          0.4760,          1.1125,          0.0241,          0.2098,          0.0000,          0.0001,          0.0001,          0.0001,          0.0001,          1.1860
          26,        0.208333,          0.7460,          0.1743,          0.6283,          1.6149,          0.7741,          0.0644,          0.4875,          1.1677,          0.0103,          0.2099,          0.1842,          0.1320,          0.0011,          0.0000,          0.0001,          1.1849
          27,        0.216667,          0.7457,          0.1746,          0.6287,          1.6158,          0.7688,          0.0725,          0.4967,          1.2080,          0.0155,          0.2146,          0.3510,          0.2227,          0.1010,          0.0314,          0.0001,          1.1842
          28,        0.225000,          0.7455,          0.1748,          0.6290,          1.6165,          0.7648,          0.0784,          0.5036,          1.2365,          0.0184,          0.2244,          0.4672,          0.4100,          0.1829,          0.0872,          0.0608,          1.1836
          29,        0.233333,          0.7454,          0.1750,          0.6292,          1.6170,          0.7619,          0.0831,          0.5093,          1.2574,          0.0305,          0.2319,          0.5610,          0.6859,          0.3230,          0.1341,          0.1534,          1.1831
          30,        0.241667,          0.7453,          0.1752,          0.6293,          1.6173,          0.7595,          0.0864,          0.5132,          1.2724,          0.0424,          0.2426,          0.6287,          0.9168,          0.5542,          0.2236,          0.2285,          1.1829
          31,        0.250000,          0.7451,          0.1753,          0.6294,          1.6176,          0.7575,          0.0888,          0.5163,          1.2840,          0.0555,          0.2539,          0.6796,          1.1264,          0.6908,          0.2803,          0.2941,          1.1826
          32,        0.258333,          0.7451,          0.1753,          0.6295,          1.6178,          0.7561,          0.0908,          0.5185,          1.2928,          0.0709,          0.2640,          0.7189,          1.2239,          0.7877,          0.3039,          0.3252,          1.1824
          33,        0.266667,          0.7451,          0.1755,          0.6295,          1.6179,          0.7550,          0.0921,          0.5202,          1.2986,          0.0838,          0.2729,          0.7492,          1.2864,          0.8713,          0.3397,          0.3504,          1.1823
          34,        0.275000,          0.7450,          0.1754,          0.6296,          1.6180,          0.7543,          0.0932,          0.5215,          1.3032,          0.0944,          0.2789,          0.7720,          1.3331,          0.9324,          0.3704,          0.3751,          1.1822
          35,        0.283333,          0.7450,          0.1754,          0.6296,          1.6180,          0.7538,          0.0941,          0.5225,          1.3069,          0.1032,          0.2848,          0.7893,          1.3657,          0.9738,          0.4136,          0.3983,          1.1822
