"InphaseC4_020 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_InphaseC4\runs\InphaseC4_020.tcf]","Time (h)","Q 2 [InphaseC4_020]","Q 3 [InphaseC4_020]","Q 4 [InphaseC4_020]","Q 5 [InphaseC4_020]","Q 6 [InphaseC4_020]","Q 7 [InphaseC4_020]","Q 1 [InphaseC4_020]","Q  8 [InphaseC4_020]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,        -42.9612,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -89.1499,         -0.0016
           3,        0.016667,        -81.6131,        -27.4408,          0.0000,          0.0000,          0.0000,         -0.0001,        -90.7586,          0.0008
           4,        0.025000,        -79.7455,        -60.4864,        -38.8306,          0.0000,          0.0003,         -0.0000,        -88.6258,         -0.0006
           5,        0.033333,        -80.3224,        -72.0653,        -60.9517,        -36.5251,          0.0009,          0.0001,        -88.7891,         -0.0001
           6,        0.041667,        -82.5356,        -78.0632,        -68.1501,        -54.4811,         -4.5755,          0.0013,        -85.9464,         -0.0008
           7,        0.050000,        -85.6695,        -82.2611,        -72.2681,        -65.0852,        -52.7443,         -6.0015,        -87.4024,         -0.0002
           8,        0.058333,        -87.6606,        -85.5877,        -77.9494,        -72.6847,        -64.2483,        -45.1435,        -88.5791,        -43.5166
           9,        0.066667,        -88.7712,        -87.5730,        -82.6062,        -79.0136,        -70.1068,        -63.6920,        -89.3103,        -72.2281
          10,        0.075000,        -89.2914,        -88.5375,        -85.5065,        -83.2354,        -74.8590,        -78.7881,        -89.6124,        -86.0616
          11,        0.083333,        -89.5763,        -88.9981,        -87.1436,        -85.7213,        -81.0607,        -89.2982,        -89.7667,        -90.7787
          12,        0.091667,        -89.7405,        -89.2987,        -88.1282,        -87.1393,        -86.1175,        -89.4391,        -89.8580,        -90.5796
          13,        0.100000,        -89.8195,        -89.5029,        -88.7299,        -87.8495,        -88.9923,        -90.0621,        -89.9131,        -90.1643
          14,        0.108333,        -89.8629,        -89.6447,        -89.0612,        -88.5780,        -89.7685,        -90.1850,        -89.9337,        -90.1056
          15,        0.116667,        -89.8924,        -89.7398,        -89.2931,        -89.1070,        -89.8606,        -90.0731,        -89.9473,        -90.1076
          16,        0.125000,        -89.9196,        -89.8027,        -89.5219,        -89.4743,        -89.7883,        -89.9602,        -89.9602,        -90.0259
          17,        0.133333,        -89.9425,        -89.8500,        -89.7198,        -89.6964,        -89.7713,        -89.8534,        -89.9706,        -89.8853
          18,        0.141667,        -89.9586,        -89.8951,        -89.8500,        -89.8242,        -89.8087,        -89.8168,        -89.9783,        -89.7965
          19,        0.150000,        -89.9683,        -89.9304,        -89.9146,        -89.8961,        -89.8624,        -89.8237,        -89.9843,        -89.7927
          20,        0.158333,        -89.9765,        -89.9572,        -89.9465,        -89.9317,        -89.9057,        -89.8522,        -89.9876,        -89.8301
          21,        0.166667,        -89.9838,        -89.9735,        -89.9627,        -89.9530,        -89.9306,        -89.8868,        -89.9910,        -89.8773
          22,        0.175000,        -89.9911,        -89.9835,        -89.9737,        -89.9660,        -89.9457,        -89.9183,        -89.9940,        -89.9159
          23,        0.183333,        -89.9947,        -89.9900,        -89.9818,        -89.9761,        -89.9575,        -89.9408,        -89.9966,        -89.9414
          24,        0.191667,        -89.9971,        -89.9932,        -89.9875,        -89.9842,        -89.9670,        -89.9569,        -89.9983,        -89.9570
          25,        0.200000,        -89.9984,        -89.9959,        -89.9925,        -89.9899,        -89.9774,        -89.9691,        -89.9996,        -89.9682
          26,        0.208333,        -89.9989,        -89.9972,        -89.9950,        -89.9929,        -89.9842,        -89.9777,        -89.9991,        -89.9771
          27,        0.216667,        -89.9992,        -89.9984,        -89.9970,        -89.9949,        -89.9888,        -89.9838,        -89.9995,        -89.9836
          28,        0.225000,        -89.9995,        -89.9989,        -89.9971,        -89.9964,        -89.9925,        -89.9892,        -89.9995,        -89.9881
          29,        0.233333,        -89.9998,        -89.9987,        -89.9977,        -89.9972,        -89.9943,        -89.9926,        -89.9999,        -89.9919
          30,        0.241667,        -89.9993,        -89.9997,        -89.9980,        -89.9976,        -89.9962,        -89.9938,        -90.0000,        -89.9946
          31,        0.250000,        -89.9998,        -89.9994,        -89.9993,        -89.9982,        -89.9974,        -89.9962,        -89.9994,        -89.9959
          32,        0.258333,        -89.9997,        -90.0004,        -89.9993,        -89.9991,        -89.9984,        -89.9974,        -89.9987,        -89.9974
          33,        0.266667,        -90.0001,        -90.0006,        -89.9995,        -89.9985,        -89.9985,        -89.9984,        -90.0005,        -89.9983
          34,        0.275000,        -89.9998,        -90.0002,        -89.9997,        -89.9996,        -89.9991,        -89.9982,        -90.0000,        -89.9991
          35,        0.283333,        -89.9999,        -90.0000,        -89.9996,        -90.0007,        -89.9991,        -89.9990,        -89.9999,        -89.9988
          36,        0.291667,        -90.0001,        -89.9997,        -89.9996,        -89.9990,        -89.9996,        -89.9992,        -90.0000,        -89.9993
          37,        0.300000,        -90.0001,        -89.9997,        -90.0003,        -89.9996,        -89.9992,        -90.0000,        -90.0004,        -89.9995
          38,        0.308333,        -90.0000,        -89.9999,        -90.0000,        -89.9997,        -89.9998,        -89.9987,        -89.9997,        -89.9996
          39,        0.316667,        -90.0000,        -89.9994,        -89.9997,        -90.0006,        -89.9995,        -90.0001,        -90.0003,        -89.9993
          40,        0.325000,        -90.0002,        -90.0005,        -90.0001,        -89.9992,        -89.9999,        -90.0000,        -89.9996,        -89.9996
          41,        0.333333,        -90.0000,        -90.0005,        -90.0002,        -90.0003,        -90.0000,        -89.9999,        -90.0002,        -90.0003
          42,        0.341667,        -90.0000,        -90.0005,        -89.9999,        -90.0000,        -89.9997,        -90.0002,        -89.9999,        -89.9998
          43,        0.350000,        -90.0000,        -89.9999,        -90.0000,        -89.9998,        -90.0001,        -89.9997,        -90.0007,        -90.0004
          44,        0.358333,        -89.9998,        -89.9998,        -90.0000,        -89.9993,        -90.0004,        -89.9985,        -90.0000,        -90.0004
          45,        0.366667,        -90.0003,        -90.0008,        -90.0006,        -90.0004,        -89.9999,        -89.9999,        -90.0002,        -90.0003
          46,        0.375000,        -89.9998,        -90.0002,        -90.0000,        -89.9997,        -90.0004,        -90.0002,        -90.0000,        -89.9997
          47,        0.383333,        -89.9999,        -90.0002,        -89.9996,        -90.0003,        -89.9994,        -90.0002,        -90.0004,        -89.9996
          48,        0.391667,        -89.9996,        -90.0002,        -89.9996,        -90.0002,        -90.0003,        -89.9987,        -89.9999,        -90.0003
          49,        0.400000,        -89.9998,        -89.9998,        -89.9995,        -90.0002,        -89.9992,        -89.9997,        -90.0005,        -90.0006
          50,        0.408333,        -89.9999,        -90.0002,        -90.0003,        -90.0001,        -90.0003,        -89.9996,        -90.0004,        -89.9797
          51,        0.416667,        -90.0002,        -89.9998,        -90.0006,        -89.9997,        -89.9996,        -89.9710,        -89.9996,        -90.0051
          52,        0.425000,        -89.9998,        -89.9995,        -90.0000,        -89.9995,        -90.0000,        -89.9983,        -90.0003,        -89.9798
          53,        0.433333,        -90.0002,        -90.0008,        -89.9994,        -90.0003,        -90.0031,        -89.9891,        -90.0003,        -89.9896
          54,        0.441667,        -90.0002,        -90.0006,        -90.0001,        -89.9999,        -89.9996,        -89.9952,        -89.9998,        -89.9953
          55,        0.450000,        -89.9995,        -90.0006,        -90.0000,        -90.0001,        -90.0002,        -89.9988,        -89.9993,        -89.9983
          56,        0.458333,        -89.9998,        -89.9998,        -89.9994,        -89.9997,        -89.9990,        -89.9992,        -90.0007,        -89.9992
          57,        0.466667,        -90.0006,        -89.9996,        -89.9999,        -90.0000,        -89.9988,        -89.9994,        -89.9996,        -89.9997
          58,        0.475000,        -90.0002,        -89.9996,        -89.9992,        -90.0003,        -89.9994,        -89.9989,        -90.0002,        -89.9996
          59,        0.483333,        -89.9998,        -90.0003,        -90.0008,        -89.9996,        -89.9988,        -90.0000,        -89.9995,        -89.9994
          60,        0.491667,        -89.9995,        -90.0001,        -89.9997,        -89.9991,        -89.9999,        -89.9994,        -90.0005,        -89.9995
          61,        0.500000,        -89.9995,        -90.0000,        -89.9999,        -90.0002,        -90.0001,        -90.0005,        -90.0002,        -89.9996
          62,        0.508333,        -89.9999,        -90.0002,        -90.0000,        -90.0000,        -90.0008,        -89.9997,        -89.9997,        -90.0002
          63,        0.516667,        -90.0000,        -90.0012,        -90.0001,        -90.0001,        -89.9997,        -90.0001,        -90.0002,        -89.9996
          64,        0.525000,        -90.0002,        -89.9999,        -89.9999,        -90.0006,        -89.9992,        -90.0003,        -90.0002,        -90.0002
          65,        0.533333,        -89.9996,        -90.0000,        -89.9999,        -89.9996,        -89.9993,        -90.0001,        -90.0006,        -89.9998
          66,        0.541667,        -89.9999,        -89.9998,        -89.9996,        -89.9998,        -90.0000,        -89.9996,        -90.0005,        -90.0001
          67,        0.550000,        -89.9999,        -90.0004,        -90.0007,        -90.0000,        -89.9995,        -89.9999,        -89.9998,        -89.9996
          68,        0.558333,        -90.0001,        -89.9997,        -89.9994,        -90.0006,        -89.9999,        -89.9990,        -89.9996,        -90.0003
          69,        0.566667,        -89.9998,        -90.0006,        -89.9994,        -90.0003,        -90.0001,        -89.9998,        -90.0004,        -89.9998
          70,        0.575000,        -90.0002,        -90.0000,        -90.0007,        -90.0003,        -90.0001,        -90.0003,        -90.0005,        -90.0005
          71,        0.583333,        -90.0000,        -90.0000,        -89.9999,        -89.9998,        -90.0004,        -90.0008,        -90.0007,        -89.9998
          72,        0.591667,        -89.9998,        -90.0000,        -89.9993,        -90.0011,        -90.0005,        -89.9998,        -90.0006,        -89.9999
          73,        0.600000,        -89.9999,        -90.0004,        -89.9998,        -90.0004,        -89.9996,        -90.0004,        -90.0001,        -90.0003
          74,        0.608333,        -90.0000,        -90.0006,        -90.0003,        -89.9999,        -90.0004,        -89.9996,        -89.9992,        -89.9995
          75,        0.616667,        -89.9994,        -90.0002,        -89.9998,        -90.0000,        -89.9997,        -89.9995,        -90.0005,        -90.0000
          76,        0.625000,        -90.0002,        -89.9999,        -90.0004,        -90.0005,        -89.9998,        -90.0005,        -90.0007,        -89.9995
          77,        0.633333,        -89.9998,        -90.0000,        -89.9994,        -90.0007,        -89.9996,        -90.0009,        -90.0003,        -90.0001
          78,        0.641667,        -90.0001,        -90.0001,        -90.0006,        -89.9996,        -90.0000,        -90.0003,        -90.0004,        -90.0009
          79,        0.650000,        -90.0004,        -89.9996,        -90.0001,        -90.0000,        -89.9995,        -90.0005,        -90.0004,        -89.9999
          80,        0.658333,        -90.0004,        -90.0003,        -90.0001,        -90.0001,        -89.9999,        -89.9999,        -90.0006,        -89.9996
          81,        0.666667,        -90.0002,        -90.0000,        -90.0005,        -89.9999,        -90.0001,        -89.9998,        -89.9997,        -90.0004
          82,        0.675000,        -89.9998,        -89.9993,        -90.0002,        -90.0008,        -90.0001,        -89.9998,        -90.0002,        -90.0001
