"InphaseC4_020 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_InphaseC4\runs\InphaseC4_020.tcf]","Time (h)","V 2 [InphaseC4_020]","V 3 [InphaseC4_020]","V 4 [InphaseC4_020]","V 5 [InphaseC4_020]","V 6 [InphaseC4_020]","V 7 [InphaseC4_020]","V 8 [InphaseC4_020]","V 9 [InphaseC4_020]","V 10 [InphaseC4_020]","V 11 [InphaseC4_020]","V 12 [InphaseC4_020]","V 13 [InphaseC4_020]","V 14 [InphaseC4_020]","V 15 [InphaseC4_020]","V 16 [InphaseC4_020]","V  1 [InphaseC4_020]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          4.2103,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          4.1485
           3,        0.016667,          3.3090,          1.7437,          2.5868,          2.8005,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0000,          0.0000,          3.3952
           4,        0.025000,          3.0554,          1.2605,          2.2063,          2.8144,          2.5131,          1.2239,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0000,          0.0000,          0.0001,          3.2552
           5,        0.033333,          2.6750,          1.2862,          2.1640,          2.8485,          2.6320,          1.1656,          1.6622,          0.0001,          0.0000,          0.0001,          0.0001,          0.0000,          0.0000,          0.0001,          0.0001,          2.9870
           6,        0.041667,          2.5215,          1.3979,          2.1404,          2.8673,          2.6325,          1.1381,          1.5929,          1.9668,          1.0295,          0.8567,          0.0001,          0.0001,          0.0001,          0.0000,          0.0000,          2.6568
           7,        0.050000,          2.4937,          1.4718,          2.1455,          2.8856,          2.4455,          1.2202,          1.6696,          2.0153,          1.2812,          1.3263,          1.1870,          0.8099,          0.0912,          0.0000,          0.0000,          2.5563
           8,        0.058333,          2.4836,          1.5123,          2.1583,          2.9011,          2.3669,          1.3604,          1.7483,          2.1816,          1.4397,          1.4193,          1.4489,          1.1275,          0.8650,          0.9602,          0.6434,          2.5070
           9,        0.066667,          2.4786,          1.5371,          2.1656,          2.8577,          2.3371,          1.4563,          1.8140,          2.2414,          1.5727,          1.5034,          1.3533,          1.3155,          1.2960,          1.4446,          1.4214,          2.4706
          10,        0.075000,          2.4713,          1.5553,          2.1673,          2.7428,          2.3229,          1.5212,          1.8545,          2.2375,          1.6187,          1.5293,          1.5945,          1.5687,          1.6687,          2.2100,          1.7068,          2.4484
