"OutphaseC4_011 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_011.tcf]","Time (h)","Q 2 [OutphaseC4_011]","Q 3 [OutphaseC4_011]","Q 4 [OutphaseC4_011]","Q 5 [OutphaseC4_011]","Q 6 [OutphaseC4_011]","Q 7 [OutphaseC4_011]","Q 1 [OutphaseC4_011]","Q  8 [OutphaseC4_011]"
          49,        0.400000,        -12.0052,        -11.9394,        -11.8699,        -11.2188,        -10.0515,         -2.4564,        -11.9026,         -0.0004
          50,        0.408333,        -12.0084,        -11.9398,        -11.8915,        -11.3309,        -10.3102,         -3.0054,        -11.9226,         -0.8019
          51,        0.416667,        -12.0148,        -11.9458,        -11.9028,        -11.4123,        -10.5272,         -3.6166,        -12.0293,         -1.5030
          52,        0.425000,        -11.9966,        -11.9549,        -11.9199,        -11.4989,        -10.6529,         -4.2645,        -11.9779,         -2.2583
          53,        0.433333,        -11.9964,        -11.9610,        -11.9307,        -11.5625,        -10.7584,         -4.9333,        -11.8048,         -3.0475
          54,        0.441667,        -12.0016,        -11.9733,        -11.9421,        -11.6232,        -10.8725,         -5.5921,        -11.8240,         -3.8576
          55,        0.450000,        -12.0112,        -11.9702,        -11.9503,        -11.6764,        -10.9880,         -6.2170,        -12.0067,         -4.6352
          56,        0.458333,        -12.0041,        -11.9775,        -11.9577,        -11.7180,        -11.0931,         -6.8232,        -12.1244,         -5.3923
          57,        0.466667,        -11.9986,        -11.9708,        -11.9629,        -11.7595,        -11.1964,         -7.3827,        -12.1795,         -6.1006
          58,        0.475000,        -12.0052,        -11.9940,        -11.9680,        -11.7895,        -11.2855,         -7.9022,        -12.0224,         -6.7567
          59,        0.483333,        -11.9938,        -11.9782,        -11.9748,        -11.8217,        -11.3694,         -8.3794,        -11.8184,         -7.3641
          60,        0.491667,        -12.0014,        -11.9884,        -11.9742,        -11.8401,        -11.4421,         -8.8127,        -11.9337,         -7.9121
          61,        0.500000,        -11.9927,        -11.9922,        -11.9831,        -11.8699,        -11.5103,         -9.1977,        -12.0879,         -8.4067
          62,        0.508333,        -12.0018,        -11.9841,        -11.9812,        -11.8818,        -11.5667,         -9.5467,        -12.1588,         -8.8474
          63,        0.516667,        -12.0056,        -12.0051,        -11.9848,        -11.8998,        -11.6259,         -9.8494,        -12.1994,         -9.2416
          64,        0.525000,        -11.9956,        -11.9800,        -11.9890,        -11.9189,        -11.6712,        -10.1274,        -11.8568,         -9.5921
          65,        0.533333,        -12.0017,        -11.9957,        -11.9858,        -11.9207,        -11.7093,        -10.3665,        -11.8387,         -9.9018
          66,        0.541667,        -11.9914,        -11.9935,        -11.9933,        -11.9403,        -11.7524,        -10.5743,        -11.9356,        -10.1720
          67,        0.550000,        -12.0016,        -11.9897,        -11.9899,        -11.9408,        -11.7810,        -10.7655,        -12.0211,        -10.4118
          68,        0.558333,        -12.0024,        -12.0064,        -11.9938,        -11.9533,        -11.8133,        -10.9251,        -12.1216,        -10.6190
          69,        0.566667,        -12.0025,        -11.9904,        -11.9947,        -11.9627,        -11.8364,        -11.0693,        -11.9585,        -10.8020
          70,        0.575000,        -12.0064,        -12.0003,        -11.9926,        -11.9617,        -11.8576,        -11.1927,        -11.7389,        -10.9616
          71,        0.583333,        -11.9928,        -11.9921,        -11.9970,        -11.9739,        -11.8788,        -11.2999,        -11.8678,        -11.0995
          72,        0.591667,        -12.0035,        -11.9952,        -11.9939,        -11.9703,        -11.8916,        -11.3940,        -12.0311,        -11.2212
          73,        0.600000,        -12.0012,        -12.0033,        -11.9973,        -11.9794,        -11.9082,        -11.4747,        -12.0003,        -11.3244
          74,        0.608333,        -12.0049,        -11.9982,        -11.9965,        -11.9782,        -11.9203,        -11.5472,        -11.9944,        -11.4158
          75,        0.616667,        -12.0061,        -11.9983,        -11.9967,        -11.9835,        -11.9312,        -11.6061,        -11.7582,        -11.4943
          76,        0.625000,        -11.9968,        -11.9947,        -11.9971,        -11.9860,        -11.9410,        -11.6607,        -11.9081,        -11.5624
          77,        0.633333,        -11.9988,        -11.9989,        -11.9972,        -11.9859,        -11.9489,        -11.7064,        -12.1603,        -11.6225
          78,        0.641667,        -12.0063,        -12.0001,        -11.9977,        -11.9884,        -11.9560,        -11.7450,        -12.0579,        -11.6732
          79,        0.650000,        -12.0053,        -12.0014,        -11.9976,        -11.9895,        -11.9611,        -11.7805,        -11.9125,        -11.7179
          80,        0.658333,        -11.9996,        -11.9920,        -11.9982,        -11.9919,        -11.9666,        -11.8095,        -11.8945,        -11.7558
          81,        0.666667,        -11.9970,        -11.9974,        -11.9972,        -11.9915,        -11.9704,        -11.8369,        -11.8491,        -11.7891
          82,        0.675000,        -11.9931,        -12.0017,        -11.9990,        -11.9938,        -11.9748,        -11.8587,        -12.1690,        -11.8178
          83,        0.683333,        -12.0101,        -12.0002,        -11.9973,        -11.9935,        -11.9775,        -11.8778,        -12.2583,        -11.8428
          84,        0.691667,        -12.0073,        -12.0006,        -11.9979,        -11.9955,        -11.9812,        -11.8940,        -11.9250,        -11.8633
          85,        0.700000,        -11.9938,        -11.9897,        -11.9981,        -11.9961,        -11.9832,        -11.9084,        -11.9689,        -11.8825
          86,        0.708333,        -11.9967,        -11.9982,        -11.9968,        -11.9939,        -11.9854,        -11.9197,        -11.7806,        -11.8983
          87,        0.716667,        -11.9916,        -12.0018,        -11.9994,        -11.9964,        -11.9874,        -11.9309,        -12.0433,        -11.9121
          88,        0.725000,        -12.0101,        -11.9992,        -11.9974,        -11.9948,        -11.9883,        -11.9413,        -12.2708,        -11.9239
          89,        0.733333,        -12.0085,        -12.0011,        -11.9975,        -11.9969,        -11.9905,        -11.9479,        -12.1392,        -11.9340
          90,        0.741667,        -11.9941,        -11.9891,        -11.9977,        -11.9977,        -11.9907,        -11.9559,        -11.8787,        -11.9428
          91,        0.750000,        -11.9927,        -11.9969,        -11.9966,        -11.9961,        -11.9918,        -11.9603,        -11.8632,        -11.9505
          92,        0.758333,        -11.9942,        -12.0030,        -11.9990,        -11.9992,        -11.9932,        -11.9662,        -11.9003,        -11.9574
          93,        0.766667,        -12.0059,        -12.0004,        -11.9970,        -11.9962,        -11.9925,        -11.9704,        -12.1416,        -11.9630
          94,        0.775000,        -12.0091,        -11.9997,        -11.9979,        -11.9977,        -11.9941,        -11.9735,        -12.2930,        -11.9675
          95,        0.783333,        -11.9988,        -11.9895,        -11.9970,        -11.9967,        -11.9939,        -11.9786,        -11.8269,        -11.9720
          96,        0.791667,        -11.9909,        -11.9974,        -11.9962,        -11.9966,        -11.9945,        -11.9799,        -11.9568,        -11.9753
          97,        0.800000,        -11.9952,        -11.9997,        -11.9981,        -11.9986,        -11.9952,        -11.9820,        -11.8299,        -11.9783
