"VanillaC4_003 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\runs\VanillaC4_003.tcf]","Time (h)","V 2 [VanillaC4_003]","V 3 [VanillaC4_003]","V 4 [VanillaC4_003]","V 5 [VanillaC4_003]","V 6 [VanillaC4_003]","V 7 [VanillaC4_003]","V 8 [VanillaC4_003]","V 9 [VanillaC4_003]","V 10 [VanillaC4_003]","V 11 [VanillaC4_003]","V 12 [VanillaC4_003]","V 13 [VanillaC4_003]","V 14 [VanillaC4_003]","V 15 [VanillaC4_003]","V 16 [VanillaC4_003]","V  1 [VanillaC4_003]"
          28,        0.225000,          0.8116,          0.2227,          0.7409,          0.7201,          0.7777,          0.2204,          0.3125,          0.3764,          0.4247,          0.4638,          0.0000,          0.0540,          0.0000,          0.0003,          0.0002,          0.7922
          29,        0.233333,          0.8116,          0.2227,          0.7410,          0.7201,          0.7777,          0.2213,          0.3134,          0.3790,          0.4303,          0.4735,          0.0000,          0.3528,          0.8087,          0.0002,          0.0000,          0.7923
          30,        0.241667,          0.8115,          0.2228,          0.7409,          0.7200,          0.7776,          0.2220,          0.3141,          0.3807,          0.4340,          0.4799,          0.0000,          0.4080,          0.8137,          0.0003,          0.0002,          0.7922
          31,        0.250000,          0.8115,          0.2228,          0.7409,          0.7200,          0.7775,          0.2225,          0.3146,          0.3822,          0.4367,          0.4843,          0.0000,          0.4395,          0.8144,          0.6565,          0.0001,          0.7921
          32,        0.258333,          0.8116,          0.2228,          0.7409,          0.7200,          0.7775,          0.2228,          0.3150,          0.3832,          0.4380,          0.4875,          0.0000,          0.4570,          0.8150,          0.7527,          0.0024,          0.7922
          33,        0.266667,          0.8116,          0.2228,          0.7409,          0.7200,          0.7775,          0.2231,          0.3153,          0.3839,          0.4383,          0.4897,          0.0000,          0.4686,          0.8139,          0.7695,          0.3403,          0.7921
          34,        0.275000,          0.8115,          0.2228,          0.7409,          0.7200,          0.7774,          0.2232,          0.3155,          0.3846,          0.4394,          0.4913,          0.0000,          0.4763,          0.8142,          0.7752,          0.5150,          0.7922
          35,        0.283333,          0.8115,          0.2228,          0.7409,          0.7200,          0.7774,          0.2234,          0.3156,          0.3850,          0.4400,          0.4926,          0.0000,          0.4816,          0.8139,          0.7769,          0.6448,          0.7922
          36,        0.291667,          0.8116,          0.2228,          0.7409,          0.7199,          0.7774,          0.2235,          0.3156,          0.3853,          0.4407,          0.4935,          0.0000,          0.4853,          0.8134,          0.7799,          0.6888,          0.7922
          37,        0.300000,          0.8115,          0.2229,          0.7409,          0.7200,          0.7774,          0.2236,          0.3159,          0.3855,          0.4411,          0.4942,          0.0019,          0.4879,          0.8128,          0.7838,          0.7157,          0.7922
          38,        0.308333,          0.8115,          0.2227,          0.7409,          0.7200,          0.7774,          0.2237,          0.3159,          0.3857,          0.4414,          0.4947,          0.0425,          0.4898,          0.8124,          0.7860,          0.7345,          0.7922
          39,        0.316667,          0.8116,          0.2228,          0.7408,          0.7200,          0.7774,          0.2236,          0.3159,          0.3859,          0.4416,          0.4952,          0.0515,          0.4912,          0.8121,          0.7874,          0.7479,          0.7922
          40,        0.325000,          0.8115,          0.2228,          0.7409,          0.7199,          0.7774,          0.2237,          0.3159,          0.3859,          0.4419,          0.4954,          0.0578,          0.4924,          0.8119,          0.7882,          0.7569,          0.7922
          41,        0.333333,          0.8115,          0.2228,          0.7409,          0.7199,          0.7774,          0.2237,          0.3160,          0.3859,          0.4420,          0.4957,          0.0623,          0.4932,          0.8120,          0.7887,          0.7635,          0.7921
          42,        0.341667,          0.8116,          0.2228,          0.7409,          0.7199,          0.7774,          0.2237,          0.3160,          0.3860,          0.4420,          0.4958,          0.0655,          0.4939,          0.8120,          0.7893,          0.7680,          0.7921
          43,        0.350000,          0.8116,          0.2228,          0.7409,          0.7199,          0.7773,          0.2237,          0.3160,          0.3861,          0.4421,          0.4959,          0.0677,          0.4943,          0.8120,          0.7897,          0.7712,          0.7921
          44,        0.358333,          0.8116,          0.2228,          0.7409,          0.7200,          0.7774,          0.2238,          0.3160,          0.3861,          0.4421,          0.4960,          0.0695,          0.4947,          0.8120,          0.7901,          0.7736,          0.7922
          45,        0.366667,          0.8116,          0.2228,          0.7409,          0.7199,          0.7774,          0.2238,          0.3160,          0.3862,          0.4422,          0.4961,          0.0710,          0.4950,          0.8120,          0.7905,          0.7754,          0.7922
          46,        0.375000,          0.8116,          0.2229,          0.7408,          0.7199,          0.7774,          0.2238,          0.3160,          0.3862,          0.4421,          0.4961,          0.0719,          0.4953,          0.8119,          0.7906,          0.7769,          0.7921
