"Time (h)    ","1D and 2D:  ","H Vol In    ","H Vol Out   ","Q Vol In    ","Q Vol Out   ","Tot Vol In  ","Tot Vol Out ","Vol I-O     ","dVol        ","Vol Err     ","Q ME (%)    ","Vol I+O     ","Tot Vol     ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  10651.12    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         4.000,              ,  1.680042    ,  847157.9    ,  864000.0    ,  0.000000    ,  864001.7    ,  847157.9    ,  16843.78    ,  16843.75    ,-0.3563915E-01,-0.2082748E-05,  1711160.    ,  27494.87    ,  1711160.    ,-0.3563915E-01,-0.2082748E-05,-0.2082748E-05
         4.500,              ,  0.000000    ,  108000.0    ,  108000.0    ,  0.000000    ,  108000.0    ,  108000.0    ,-0.3261566E-03, 0.9765625E-02, 0.1009178E-01, 0.4672121E-05,  216000.0    ,  27494.88    ,  1927160.    ,-0.2554737E-01,-0.1325649E-05,-0.1325649E-05
         5.000,              ,  0.000000    ,  108000.0    ,  108000.0    ,  0.000000    ,  108000.0    ,  108000.0    ,-0.1340866E-02,-0.3906250E-02,-0.2565384E-02,-0.1187678E-05,  216000.0    ,  27494.87    ,  2143160.    ,-0.2811275E-01,-0.1311743E-05,-0.1311743E-05
         5.500,              ,  0.000000    ,  108000.0    ,  108000.0    ,  0.000000    ,  108000.0    ,  108000.0    ,-0.8630753E-03,-0.7812500E-02,-0.6949425E-02,-0.3217326E-05,  216000.0    ,  27494.86    ,  2359160.    ,-0.3506218E-01,-0.1486215E-05,-0.1486215E-05
         6.000,              ,  0.000000    ,  108000.0    ,  108000.0    ,  0.000000    ,  108000.0    ,  108000.0    ,-0.3406525E-02, 0.1953125E-02, 0.5359650E-02, 0.2481319E-05,  216000.0    ,  27494.87    ,  2575160.    ,-0.2970253E-01,-0.1153425E-05,-0.1153425E-05
         6.000,              ,  0.000000    ,  7.518739    ,  7.518769    ,  0.000000    ,  7.518769    ,  7.518739    , 0.3004074E-04,-0.1367188E-01,-0.1370192E-01,-0.9111826E-01,  15.03751    ,  27494.85    ,  2575175.    ,-0.4340444E-01,-0.1685495E-05,-0.1685495E-05
