"VanillaC4_021 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\runs\VanillaC4_021.tcf]","Time (h)","V 2 [VanillaC4_021]","V 3 [VanillaC4_021]","V 4 [VanillaC4_021]","V 5 [VanillaC4_021]","V 6 [VanillaC4_021]","V 7 [VanillaC4_021]","V 8 [VanillaC4_021]","V 9 [VanillaC4_021]","V 10 [VanillaC4_021]","V 11 [VanillaC4_021]","V 12 [VanillaC4_021]","V 13 [VanillaC4_021]","V 14 [VanillaC4_021]","V 15 [VanillaC4_021]","V 16 [VanillaC4_021]","V  1 [VanillaC4_021]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          3.5155,          2.3473,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0000,          0.0001,          0.0001,          3.3238
           3,        0.016667,          2.8922,          2.5436,          3.0386,          2.4839,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          0.0001,          2.7302
           4,        0.025000,          2.8500,          2.3936,          2.7691,          2.8059,          2.8034,          0.2872,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0000,          0.0001,          0.0001,          2.5491
           5,        0.033333,          2.5382,          2.3080,          2.6064,          2.6488,          2.7129,          2.1460,          1.7034,          0.0000,          0.0000,          0.0001,          0.0000,          0.0001,          0.0001,          0.0001,          0.0001,          2.4449
           6,        0.041667,          2.4718,          2.2535,          2.5405,          2.5573,          2.6125,          2.1983,          2.0387,          1.6877,          1.0730,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          2.3808
           7,        0.050000,          2.4238,          2.2175,          2.4866,          2.4949,          2.5436,          2.1844,          2.1213,          1.9286,          1.6561,          1.3738,          0.6288,          0.0001,          0.0001,          0.0001,          0.0000,          2.3374
           8,        0.058333,          2.3919,          2.1922,          2.4476,          2.4529,          2.4968,          2.1645,          2.1350,          2.0297,          1.8454,          1.6542,          1.2891,          1.1710,          1.0541,          0.4650,          0.0001,          2.3074
           9,        0.066667,          2.3682,          2.1730,          2.4198,          2.4224,          2.4628,          2.1481,          2.1345,          2.0666,          1.9417,          1.8097,          1.4479,          1.4283,          1.3926,          1.1326,          0.9292,          2.2866
          10,        0.075000,          2.3510,          2.1587,          2.3986,          2.3999,          2.4380,          2.1336,          2.1292,          2.0872,          1.9981,          1.8961,          1.5541,          1.5768,          1.6141,          1.4947,          1.7754,          2.2709
          11,        0.083333,          2.3377,          2.1475,          2.3826,          2.3824,          2.4191,          2.1234,          2.1257,          2.0985,          2.0323,          1.9524,          1.6379,          1.7134,          1.8818,          1.9933,          1.9576,          2.2590
          12,        0.091667,          2.3279,          2.1393,          2.3701,          2.3689,          2.4046,          2.1142,          2.1215,          2.1054,          2.0553,          1.9905,          1.7648,          1.9443,          2.1382,          2.1226,          2.0397,          2.2501
          13,        0.100000,          2.3201,          2.1326,          2.3606,          2.3586,          2.3935,          2.1075,          2.1188,          2.1096,          2.0710,          2.0402,          1.9063,          2.0683,          2.2254,          2.1678,          2.0736,          2.2435
          14,        0.108333,          2.3141,          2.1274,          2.3531,          2.3507,          2.3848,          2.1024,          2.1163,          2.1127,          2.0929,          2.1118,          1.9687,          2.1048,          2.2588,          2.1887,          2.0902,          2.2383
          15,        0.116667,          2.3095,          2.1232,          2.3473,          2.3444,          2.3782,          2.0986,          2.1142,          2.1167,          2.1284,          2.1553,          1.9897,          2.1236,          2.2763,          2.2025,          2.1038,          2.2341
          16,        0.125000,          2.3058,          2.1201,          2.3427,          2.3395,          2.3731,          2.0956,          2.1130,          2.1289,          2.1524,          2.1741,          2.0012,          2.1339,          2.2871,          2.2135,          2.1164,          2.2310
          17,        0.133333,          2.3030,          2.1175,          2.3391,          2.3357,          2.3691,          2.0932,          2.1143,          2.1405,          2.1639,          2.1830,          2.0076,          2.1409,          2.2952,          2.2229,          2.1281,          2.2285
          18,        0.141667,          2.3007,          2.1155,          2.3363,          2.3327,          2.3661,          2.0917,          2.1182,          2.1469,          2.1691,          2.1880,          2.0123,          2.1465,          2.3016,          2.2311,          2.1384,          2.2266
          19,        0.150000,          2.2989,          2.1140,          2.3342,          2.3304,          2.3639,          2.0917,          2.1210,          2.1498,          2.1719,          2.1909,          2.0159,          2.1509,          2.3067,          2.2381,          2.1475,          2.2249
          20,        0.158333,          2.2976,          2.1128,          2.3325,          2.3287,          2.3628,          2.0924,          2.1224,          2.1511,          2.1736,          2.1927,          2.0186,          2.1544,          2.3109,          2.2439,          2.1551,          2.2238
          21,        0.166667,          2.2965,          2.1119,          2.3312,          2.3277,          2.3624,          2.0928,          2.1230,          2.1518,          2.1745,          2.1939,          2.0208,          2.1570,          2.3142,          2.2488,          2.1614,          2.2227
          22,        0.175000,          2.2956,          2.1112,          2.3303,          2.3271,          2.3621,          2.0929,          2.1232,          2.1521,          2.1750,          2.1948,          2.0227,          2.1595,          2.3169,          2.2527,          2.1666,          2.2222
          23,        0.183333,          2.2949,          2.1105,          2.3298,          2.3268,          2.3618,          2.0929,          2.1232,          2.1523,          2.1754,          2.1955,          2.0242,          2.1616,          2.3193,          2.2559,          2.1707,          2.2215
          24,        0.191667,          2.2944,          2.1102,          2.3293,          2.3264,          2.3614,          2.0928,          2.1231,          2.1523,          2.1756,          2.1960,          2.0253,          2.1631,          2.3210,          2.2585,          2.1741,          2.2210
          25,        0.200000,          2.2942,          2.1101,          2.3290,          2.3261,          2.3611,          2.0926,          2.1230,          2.1523,          2.1758,          2.1964,          2.0263,          2.1641,          2.3225,          2.2606,          2.1769,          2.2206
          26,        0.208333,          2.2939,          2.1099,          2.3287,          2.3259,          2.3608,          2.0925,          2.1229,          2.1523,          2.1759,          2.1967,          2.0270,          2.1650,          2.3235,          2.2623,          2.1792,          2.2204
          27,        0.216667,          2.2937,          2.1097,          2.3285,          2.3256,          2.3606,          2.0923,          2.1228,          2.1523,          2.1760,          2.1970,          2.0277,          2.1661,          2.3245,          2.2636,          2.1809,          2.2202
          28,        0.225000,          2.2935,          2.1095,          2.3283,          2.3254,          2.3604,          2.0922,          2.1227,          2.1522,          2.1761,          2.1972,          2.0281,          2.1666,          2.3252,          2.2647,          2.1823,          2.2202
          29,        0.233333,          2.2934,          2.1094,          2.3282,          2.3253,          2.3603,          2.0921,          2.1226,          2.1522,          2.1761,          2.1973,          2.0284,          2.1670,          2.3258,          2.2656,          2.1834,          2.2200
          30,        0.241667,          2.2933,          2.1093,          2.3281,          2.3252,          2.3601,          2.0920,          2.1225,          2.1521,          2.1761,          2.1975,          2.0288,          2.1676,          2.3262,          2.2662,          2.1844,          2.2200
          31,        0.250000,          2.2932,          2.1092,          2.3280,          2.3251,          2.3600,          2.0920,          2.1225,          2.1521,          2.1762,          2.1975,          2.0290,          2.1679,          2.3266,          2.2668,          2.1851,          2.2199
          32,        0.258333,          2.2931,          2.1092,          2.3279,          2.3250,          2.3599,          2.0919,          2.1225,          2.1521,          2.1762,          2.1976,          2.0292,          2.1680,          2.3269,          2.2672,          2.1857,          2.2198
          33,        0.266667,          2.2931,          2.1092,          2.3279,          2.3249,          2.3599,          2.0919,          2.1224,          2.1521,          2.1762,          2.1976,          2.0293,          2.1683,          2.3271,          2.2676,          2.1861,          2.2198
