"VanillaC4_021 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\runs\VanillaC4_021.tcf]","Time (h)","Q 2 [VanillaC4_021]","Q 3 [VanillaC4_021]","Q 4 [VanillaC4_021]","Q 5 [VanillaC4_021]","Q 6 [VanillaC4_021]","Q 7 [VanillaC4_021]","Q 1 [VanillaC4_021]","Q  8 [VanillaC4_021]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,        -26.2311,          0.0000,         -0.0000,          0.0000,          0.0000,          0.0000,        -88.3854,          0.0002
           3,        0.016667,        -79.8074,        -21.0791,         -0.0000,          0.0000,          0.0001,          0.0002,        -94.9108,         -0.0011
           4,        0.025000,        -88.6704,        -67.9412,         -0.1276,          0.0000,         -0.0001,         -0.0001,        -96.5172,         -0.0006
           5,        0.033333,        -92.6433,        -80.8940,        -57.4407,        -27.6298,          0.0001,         -0.0010,        -97.6437,         -0.0002
           6,        0.041667,        -94.9331,        -87.3641,        -73.3423,        -56.2650,         -0.0001,         -0.0001,        -98.3333,          0.0022
           7,        0.050000,        -96.4228,        -91.1152,        -81.8948,        -70.6980,        -47.0057,          0.0011,        -98.8288,          0.0011
           8,        0.058333,        -97.4071,        -93.5667,        -87.0030,        -79.1998,        -62.9867,        -49.5347,        -99.1494,          0.0025
           9,        0.066667,        -98.0844,        -95.2380,        -90.4244,        -84.7517,        -72.9186,        -65.2427,        -99.3783,        -55.3289
          10,        0.075000,        -98.5587,        -96.4094,        -92.8052,        -88.5654,        -79.7950,        -74.3025,        -99.5343,        -86.6391
          11,        0.083333,        -98.8931,        -97.2703,        -94.5269,        -91.3002,        -84.6639,        -84.2684,        -99.6388,        -92.9271
          12,        0.091667,        -99.1596,        -97.8880,        -95.7868,        -93.3623,        -88.3176,        -92.1326,        -99.7273,        -94.1333
          13,        0.100000,        -99.3503,        -98.3713,        -96.7497,        -94.8816,        -91.7463,        -94.3093,        -99.7909,        -94.5987
          14,        0.108333,        -99.4944,        -98.7320,        -97.4738,        -96.0470,        -94.6398,        -95.2273,        -99.8382,        -95.0658
          15,        0.116667,        -99.6038,        -99.0096,        -98.0332,        -96.9300,        -96.2045,        -95.9383,        -99.8729,        -95.6024
          16,        0.125000,        -99.6893,        -99.2255,        -98.4670,        -97.6349,        -97.0569,        -96.5545,        -99.8978,        -96.2103
          17,        0.133333,        -99.7557,        -99.3903,        -98.8026,        -98.2608,        -97.6640,        -97.1294,        -99.9212,        -96.8006
          18,        0.141667,        -99.8051,        -99.5198,        -99.0710,        -98.7347,        -98.1339,        -97.6345,        -99.9390,        -97.3458
          19,        0.150000,        -99.8484,        -99.6233,        -99.2954,        -99.0544,        -98.5031,        -98.0678,        -99.9515,        -97.8250
          20,        0.158333,        -99.8798,        -99.7047,        -99.4769,        -99.2728,        -98.7991,        -98.4351,        -99.9617,        -98.2339
          21,        0.166667,        -99.9051,        -99.7728,        -99.6064,        -99.4347,        -99.0328,        -98.7357,        -99.9649,        -98.5736
          22,        0.175000,        -99.9269,        -99.8277,        -99.6981,        -99.5598,        -99.2264,        -98.9805,        -99.9744,        -98.8500
          23,        0.183333,        -99.9423,        -99.8705,        -99.7687,        -99.6542,        -99.3831,        -99.1850,        -99.9813,        -99.0777
          24,        0.191667,        -99.9562,        -99.9022,        -99.8208,        -99.7284,        -99.5084,        -99.3487,        -99.9867,        -99.2605
          25,        0.200000,        -99.9671,        -99.9254,        -99.8603,        -99.7855,        -99.6092,        -99.4769,        -99.9888,        -99.4100
          26,        0.208333,        -99.9761,        -99.9426,        -99.8909,        -99.8313,        -99.6891,        -99.5859,        -99.9932,        -99.5292
          27,        0.216667,        -99.9812,        -99.9557,        -99.9153,        -99.8670,        -99.7538,        -99.6707,        -99.9938,        -99.6253
          28,        0.225000,        -99.9860,        -99.9655,        -99.9335,        -99.8956,        -99.8045,        -99.7401,        -99.9956,        -99.7025
          29,        0.233333,        -99.9891,        -99.9726,        -99.9474,        -99.9178,        -99.8452,        -99.7934,        -99.9955,        -99.7635
          30,        0.241667,        -99.9914,        -99.9787,        -99.9585,        -99.9349,        -99.8777,        -99.8334,        -99.9974,        -99.8133
          31,        0.250000,        -99.9932,        -99.9839,        -99.9671,        -99.9478,        -99.9029,        -99.8694,        -99.9980,        -99.8511
          32,        0.258333,        -99.9948,        -99.9869,        -99.9740,        -99.9590,        -99.9220,        -99.8971,        -99.9980,        -99.8820
          33,        0.266667,        -99.9956,        -99.9895,        -99.9797,        -99.9677,        -99.9392,        -99.9203,        -99.9981,        -99.9056
          34,        0.275000,        -99.9968,        -99.9917,        -99.9837,        -99.9744,        -99.9519,        -99.9359,        -99.9994,        -99.9268
          35,        0.283333,        -99.9975,        -99.9937,        -99.9870,        -99.9797,        -99.9613,        -99.9506,        -99.9994,        -99.9420
          36,        0.291667,        -99.9976,        -99.9951,        -99.9898,        -99.9841,        -99.9699,        -99.9588,        -99.9977,        -99.9543
          37,        0.300000,        -99.9983,        -99.9958,        -99.9923,        -99.9872,        -99.9762,        -99.9691,       -100.0000,        -99.9636
          38,        0.308333,        -99.9989,        -99.9967,        -99.9935,        -99.9896,        -99.9813,        -99.9771,        -99.9993,        -99.9700
          39,        0.316667,        -99.9986,        -99.9976,        -99.9947,        -99.9922,        -99.9851,        -99.9794,        -99.9999,        -99.9766
