"InphaseC4_001","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_InphaseC4\runs\InphaseC4_001.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
,        0.150000,          0.2526,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0002,          1.1113,         -0.4462,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,         -1.0000,         -0.0013
,        0.158333,          0.2413,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0001,          1.1113,         -0.4441,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0013,         -1.0000,          0.0007
,        0.166667,          0.2314,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0004,          0.0002,          0.0001,          1.1113,         -0.4419,          0.0000,          0.0000,          0.0000,          0.0000,          0.0021,         -1.0000,          0.0028
,        0.175000,          0.2216,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0002,          1.1113,         -0.4516,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0008,         -1.0000,          0.0020
,        0.183333,          0.2150,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0001,          0.0001,          1.1113,         -0.4648,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0003,         -1.0000,         -0.0038
,        0.191667,          0.2079,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0002,          0.0001,          1.1113,         -0.4638,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0005,         -1.0001,          0.0017
,        0.200000,          0.1997,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0001,          1.1113,         -0.4588,          0.0000,          0.0000,          0.0000,          0.0000,          0.0009,         -1.0001,         -0.0003
,        0.208333,          0.1939,          0.0000,          0.0284,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0004,          0.0003,          0.0001,          1.1113,         -0.4698,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0015,         -1.0000,         -0.0015
,        0.216667,          0.1891,          0.0000,          0.0281,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0000,          0.0002,          1.1112,         -0.4817,          0.0000,          0.0000,          0.0000,          0.0000,          0.0006,         -1.0012,          0.0002
,        0.225000,          0.1833,          0.0000,          0.0320,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0003,          1.1112,         -0.4717,          0.0000,          0.0000,          0.0000,          0.0000,          0.0004,         -0.9991,          0.0027
,        0.233333,          0.1775,          0.0000,          0.0307,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0002,          1.1112,         -0.4783,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.9962,         -0.0015
,        0.241667,          0.1746,          0.0000,          0.0355,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0001,          0.0001,          1.1117,         -0.4897,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0014,         -0.9922,         -0.0004
,        0.250000,          0.1698,          0.0000,          0.0383,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0002,          0.0001,          1.1120,         -0.4842,          0.0000,          0.0000,          0.0000,          0.0000,          0.0008,         -0.9885,          0.0015
,        0.258333,          0.1649,          0.0000,          0.0363,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0001,          0.0001,          1.1130,         -0.4868,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0004,         -0.9834,          0.0001
,        0.266667,          0.1621,          0.0000,          0.0382,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0002,          0.0002,          1.1091,         -0.5030,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0003,         -0.9818,         -0.0018
,        0.275000,          0.1593,          0.0000,          0.0405,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0002,          1.0957,         -0.5111,          0.0000,          0.0000,          0.0000,          0.0000,          0.0006,         -0.9789,          0.0024
,        0.283333,          0.1557,          0.0000,          0.0393,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0001,          1.0470,         -0.5055,          0.0000,          0.0000,          0.0000,          0.0000,          0.0004,         -0.9741,          0.0002
,        0.291667,          0.1524,          0.0000,          0.0416,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0002,          0.0001,          0.9843,         -0.5055,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0010,         -0.9705,         -0.0028
,        0.300000,          0.1502,          0.0000,          0.0422,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.8978,         -0.5179,          0.0000,          0.0000,          0.0000,          0.0000,          0.0004,         -0.9674,          0.0002
,        0.308333,          0.1480,          0.0000,          0.0449,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0002,          0.0001,          0.8295,         -0.5285,          0.0000,          0.0000,          0.0000,          0.0000,          0.0007,         -0.9675,          0.0010
,        0.316667,          0.1450,          0.0000,          0.0459,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0002,          0.0003,          0.7622,         -0.5242,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0006,         -0.9627,         -0.0020
,        0.325000,          0.1427,          0.0000,          0.0485,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0001,          0.7073,         -0.5336,         -0.0001,          0.0000,          0.0000,          0.0000,         -0.0003,         -0.9602,          0.0004
,        0.333333,          0.1411,          0.0000,          0.0517,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0002,          0.0001,          0.6589,         -0.5497,         -0.0003,          0.0000,          0.0000,          0.0000,          0.0009,         -0.9593,          0.0017
,        0.341667,          0.1395,          0.0000,          0.0563,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.6192,         -0.5625,         -0.0073,          0.0000,          0.0000,          0.0000,         -0.0006,         -0.9576,         -0.0009
,        0.350000,          0.1375,          0.0000,          0.0600,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.5842,         -0.5709,         -0.0405,         -0.0000,          0.0000,          0.0000,         -0.0006,         -0.9568,         -0.0003
