"Time (h)    ","1D and 2D:  ","H Vol In    ","H Vol Out   ","Q Vol In    ","Q Vol Out   ","Tot Vol In  ","Tot Vol Out ","Vol I-O     ","dVol        ","Vol Err     ","Q ME (%)    ","Vol I+O     ","Tot Vol     ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1864.223    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         4.000,              ,  2.029739    ,  9700.843    ,  14400.00    ,  0.000000    ,  14402.03    ,  9700.843    ,  4701.187    ,  4701.186    ,-0.1365033E-02,-0.5663364E-05,  24102.87    ,  6565.408    ,  24102.87    ,-0.1365033E-02,-0.5663364E-05,-0.5663364E-05
         4.500,              ,  0.000000    ,  1800.000    ,  1800.000    ,  0.000000    ,  1800.000    ,  1800.000    , 0.2100468E-03, 0.4882812E-03, 0.2782345E-03, 0.7728736E-05,  3600.000    ,  6565.409    ,  27702.87    ,-0.1086799E-02,-0.3923055E-05,-0.3923055E-05
         5.000,              ,  0.000000    ,  1800.001    ,  1800.000    ,  0.000000    ,  1800.000    ,  1800.001    ,-0.6330013E-03,-0.9765625E-03,-0.3435612E-03,-0.9543364E-05,  3600.001    ,  6565.408    ,  31302.87    ,-0.1430360E-02,-0.4569421E-05,-0.4569421E-05
         5.500,              ,  0.000000    ,  1800.000    ,  1800.000    ,  0.000000    ,  1800.000    ,  1800.000    , 0.2141893E-03, 0.1953125E-02, 0.1738936E-02, 0.4830378E-04,  3600.000    ,  6565.410    ,  34902.87    , 0.3085756E-03, 0.8840979E-06, 0.8840979E-06
         6.000,              ,  0.000000    ,  1800.000    ,  1800.000    ,  0.000000    ,  1800.000    ,  1800.000    , 0.1861751E-03,-0.4882812E-03,-0.6744564E-03,-0.1873490E-04,  3600.000    ,  6565.409    ,  38502.87    ,-0.3658808E-03,-0.9502688E-06,-0.9502688E-06
         6.000,              ,  0.000000    , 0.1253048    , 0.1253128    ,  0.000000    , 0.1253128    , 0.1253048    , 0.8031726E-05,-0.1464844E-02,-0.1472875E-02,  0.000000    , 0.2506175    ,  6565.408    ,  38503.12    ,-0.1838756E-02,-0.4775603E-05,-0.4775603E-05
