"InphaseC4_021 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_InphaseC4\runs\InphaseC4_021.tcf]","Time (h)","V 2 [InphaseC4_021]","V 3 [InphaseC4_021]","V 4 [InphaseC4_021]","V 5 [InphaseC4_021]","V 6 [InphaseC4_021]","V 7 [InphaseC4_021]","V 8 [InphaseC4_021]","V 9 [InphaseC4_021]","V 10 [InphaseC4_021]","V 11 [InphaseC4_021]","V 12 [InphaseC4_021]","V 13 [InphaseC4_021]","V 14 [InphaseC4_021]","V 15 [InphaseC4_021]","V 16 [InphaseC4_021]","V  1 [InphaseC4_021]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          4.1331,          2.2631,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0000,          4.3315
           3,        0.016667,          3.3329,          1.9864,          2.7397,          3.0551,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0001,          0.0000,          3.4294
           4,        0.025000,          3.0979,          1.4584,          2.3454,          2.9237,          2.5730,          1.3933,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0000,          0.0001,          3.1303
           5,        0.033333,          2.8204,          1.4823,          2.3023,          2.9422,          2.6598,          1.3137,          1.7520,          1.4299,          0.0000,          0.0001,          0.0001,          0.0001,          0.0000,          0.0000,          0.0000,          2.9556
           6,        0.041667,          2.6595,          1.5720,          2.2967,          2.9476,          2.6615,          1.3538,          1.7402,          1.9471,          1.2161,          1.1152,          0.0001,          0.0001,          0.0000,          0.0000,          0.0000,          2.7144
           7,        0.050000,          2.6196,          1.6326,          2.2693,          2.9641,          2.5014,          1.4498,          1.8182,          2.0167,          1.4847,          1.5091,          1.3469,          1.0408,          0.9034,          0.0001,          0.0001,          2.6402
           8,        0.058333,          2.6168,          1.6741,          2.2811,          2.9587,          2.4319,          1.5546,          1.8847,          2.1583,          1.6577,          1.5962,          1.4566,          1.1570,          1.0746,          1.2204,          0.8646,          2.5884
           9,        0.066667,          2.6133,          1.7037,          2.2892,          2.8033,          2.4138,          1.6518,          1.9323,          2.2039,          1.7660,          1.6146,          1.4682,          1.4308,          1.4441,          1.8136,          1.7170,          2.5460
          10,        0.075000,          2.6064,          1.7221,          2.2903,          2.6991,          2.4050,          1.7095,          1.9724,          2.2039,          1.7388,          1.6802,          1.6865,          1.7178,          1.8883,          2.4888,          1.9249,          2.5234
          11,        0.083333,          2.6021,          1.7297,          2.2856,          2.6468,          2.3973,          1.7481,          1.9912,          2.1035,          1.8668,          1.8154,          1.9193,          2.0965,          2.1430,          2.6034,          2.0757,          2.5115
          12,        0.091667,          2.5993,          1.7308,          2.2800,          2.6153,          2.3946,          1.7680,          1.9960,          2.1305,          1.9818,          1.9514,          2.1032,          2.1851,          2.2069,          2.6215,          2.1174,          2.5055
          13,        0.100000,          2.5956,          1.7307,          2.2762,          2.5985,          2.3910,          1.7775,          1.9856,          2.1694,          2.0879,          2.0369,          2.1502,          2.2242,          2.2342,          2.6283,          2.1227,          2.4999
          14,        0.108333,          2.5925,          1.7307,          2.2738,          2.5867,          2.3856,          1.7760,          1.9925,          2.2263,          2.1341,          2.0585,          2.1707,          2.2382,          2.2400,          2.6191,          2.1266,          2.4958
          15,        0.116667,          2.5904,          1.7311,          2.2722,          2.5755,          2.3782,          1.7864,          2.0001,          2.2632,          2.1392,          2.0620,          2.1772,          2.2368,          2.2377,          2.6159,          2.1261,          2.4927
          16,        0.125000,          2.5892,          1.7317,          2.2712,          2.5649,          2.3788,          1.7945,          2.0090,          2.2782,          2.1383,          2.0603,          2.1754,          2.2340,          2.2366,          2.6118,          2.1237,          2.4903
          17,        0.133333,          2.5883,          1.7321,          2.2700,          2.5609,          2.3810,          1.8021,          2.0149,          2.2858,          2.1379,          2.0593,          2.1746,          2.2334,          2.2356,          2.6074,          2.1205,          2.4884
          18,        0.141667,          2.5874,          1.7320,          2.2692,          2.5604,          2.3837,          1.8058,          2.0179,          2.2889,          2.1378,          2.0596,          2.1754,          2.2336,          2.2352,          2.6048,          2.1182,          2.4872
          19,        0.150000,          2.5866,          1.7325,          2.2688,          2.5615,          2.3854,          1.8073,          2.0193,          2.2900,          2.1383,          2.0602,          2.1759,          2.2332,          2.2348,          2.6037,          2.1176,          2.4861
          20,        0.158333,          2.5862,          1.7329,          2.2688,          2.5625,          2.3861,          1.8079,          2.0199,          2.2905,          2.1389,          2.0607,          2.1760,          2.2326,          2.2346,          2.6038,          2.1179,          2.4852
          21,        0.166667,          2.5860,          1.7332,          2.2690,          2.5630,          2.3864,          1.8081,          2.0202,          2.2908,          2.1392,          2.0609,          2.1758,          2.2322,          2.2347,          2.6044,          2.1184,          2.4849
          22,        0.175000,          2.5860,          1.7335,          2.2691,          2.5632,          2.3867,          1.8082,          2.0202,          2.2909,          2.1393,          2.0609,          2.1756,          2.2322,          2.2348,          2.6050,          2.1188,          2.4845
          23,        0.183333,          2.5860,          1.7337,          2.2691,          2.5632,          2.3867,          1.8084,          2.0204,          2.2910,          2.1393,          2.0609,          2.1756,          2.2323,          2.2350,          2.6054,          2.1191,          2.4843
          24,        0.191667,          2.5860,          1.7338,          2.2691,          2.5632,          2.3868,          1.8085,          2.0204,          2.2909,          2.1394,          2.0610,          2.1756,          2.2324,          2.2351,          2.6057,          2.1194,          2.4842
          25,        0.200000,          2.5860,          1.7338,          2.2691,          2.5631,          2.3868,          1.8085,          2.0205,          2.2908,          2.1395,          2.0611,          2.1757,          2.2325,          2.2353,          2.6059,          2.1195,          2.4842
          26,        0.208333,          2.5860,          1.7338,          2.2690,          2.5630,          2.3868,          1.8086,          2.0205,          2.2907,          2.1395,          2.0611,          2.1758,          2.2327,          2.2353,          2.6061,          2.1197,          2.4842
          27,        0.216667,          2.5860,          1.7338,          2.2690,          2.5630,          2.3868,          1.8086,          2.0205,          2.2907,          2.1396,          2.0612,          2.1758,          2.2327,          2.2354,          2.6062,          2.1199,          2.4842
          28,        0.225000,          2.5859,          1.7338,          2.2690,          2.5630,          2.3869,          1.8086,          2.0205,          2.2907,          2.1396,          2.0612,          2.1758,          2.2327,          2.2355,          2.6063,          2.1199,          2.4841
          29,        0.233333,          2.5859,          1.7338,          2.2690,          2.5631,          2.3868,          1.8086,          2.0205,          2.2907,          2.1397,          2.0613,          2.1759,          2.2328,          2.2355,          2.6064,          2.1199,          2.4842
          30,        0.241667,          2.5859,          1.7338,          2.2690,          2.5630,          2.3868,          1.8086,          2.0205,          2.2907,          2.1397,          2.0613,          2.1759,          2.2327,          2.2355,          2.6064,          2.1200,          2.4842
          31,        0.250000,          2.5859,          1.7338,          2.2691,          2.5630,          2.3868,          1.8086,          2.0205,          2.2907,          2.1397,          2.0613,          2.1759,          2.2327,          2.2356,          2.6065,          2.1201,          2.4841
          32,        0.258333,          2.5860,          1.7338,          2.2691,          2.5630,          2.3868,          1.8086,          2.0205,          2.2907,          2.1397,          2.0613,          2.1759,          2.2328,          2.2356,          2.6065,          2.1200,          2.4841
          33,        0.266667,          2.5859,          1.7338,          2.2690,          2.5630,          2.3868,          1.8086,          2.0205,          2.2907,          2.1397,          2.0613,          2.1759,          2.2328,          2.2356,          2.6065,          2.1200,          2.4842
          34,        0.275000,          2.5860,          1.7338,          2.2691,          2.5630,          2.3868,          1.8086,          2.0205,          2.2906,          2.1397,          2.0613,          2.1759,          2.2328,          2.2356,          2.6065,          2.1200,          2.4841
          35,        0.283333,          2.5859,          1.7338,          2.2690,          2.5630,          2.3868,          1.8086,          2.0205,          2.2907,          2.1397,          2.0613,          2.1759,          2.2328,          2.2356,          2.6066,          2.1200,          2.4841
          36,        0.291667,          2.5859,          1.7338,          2.2691,          2.5629,          2.3868,          1.8086,          2.0205,          2.2907,          2.1398,          2.0613,          2.1759,          2.2328,          2.2356,          2.6066,          2.1201,          2.4841
          37,        0.300000,          2.5859,          1.7338,          2.2691,          2.5629,          2.3868,          1.8086,          2.0204,          2.2906,          2.1398,          2.0613,          2.1759,          2.2329,          2.2357,          2.6065,          2.1200,          2.4841
          38,        0.308333,          2.5860,          1.7338,          2.2691,          2.5629,          2.3867,          1.8086,          2.0205,          2.2907,          2.1397,          2.0613,          2.1759,          2.2329,          2.2356,          2.6065,          2.1201,          2.4841
          39,        0.316667,          2.5859,          1.7338,          2.2690,          2.5630,          2.3868,          1.8086,          2.0205,          2.2906,          2.1397,          2.0613,          2.1759,          2.2328,          2.2356,          2.6065,          2.1200,          2.4842
          40,        0.325000,          2.5859,          1.7338,          2.2690,          2.5629,          2.3868,          1.8087,          2.0205,          2.2907,          2.1398,          2.0613,          2.1759,          2.2328,          2.2356,          2.6065,          2.1201,          2.4841
          41,        0.333333,          2.5859,          1.7338,          2.2690,          2.5630,          2.3868,          1.8087,          2.0205,          2.2907,          2.1397,          2.0613,          2.1758,          2.2329,          2.2356,          2.6066,          2.1201,          2.4841
          42,        0.341667,          2.5860,          1.7338,          2.2690,          2.5629,          2.3868,          1.8087,          2.0205,          2.2906,          2.1398,          2.0613,          2.1759,          2.2329,          2.2356,          2.6065,          2.1200,          2.4841
          43,        0.350000,          2.5859,          1.7338,          2.2690,          2.5629,          2.3868,          1.8086,          2.0206,          2.2907,          2.1397,          2.0613,          2.1759,          2.2329,          2.2356,          2.6065,          2.1201,          2.4842
          44,        0.358333,          2.5859,          1.7338,          2.2690,          2.5630,          2.3868,          1.8086,          2.0206,          2.2906,          2.1398,          2.0613,          2.1759,          2.2328,          2.2356,          2.6065,          2.1201,          2.4840
          45,        0.366667,          2.5860,          1.7338,          2.2691,          2.5629,          2.3868,          1.8087,          2.0204,          2.2906,          2.1397,          2.0613,          2.1759,          2.2328,          2.2355,          2.6066,          2.1201,          2.4841
          46,        0.375000,          2.5860,          1.7338,          2.2691,          2.5629,          2.3868,          1.8087,          2.0205,          2.2907,          2.1397,          2.0613,          2.1759,          2.2328,          2.2356,          2.6066,          2.1201,          2.4841
          47,        0.383333,          2.5859,          1.7338,          2.2690,          2.5630,          2.3868,          1.8087,          2.0205,          2.2907,          2.1397,          2.0613,          2.1759,          2.2328,          2.2356,          2.6065,          2.1201,          2.4841
          48,        0.391667,          2.5859,          1.7338,          2.2690,          2.5629,          2.3868,          1.8086,          2.0204,          2.2907,          2.1397,          2.0613,          2.1759,          2.2328,          2.2357,          2.6065,          2.1201,          2.4841
          49,        0.400000,          2.5859,          1.7338,          2.2691,          2.5629,          2.3868,          1.8086,          2.0205,          2.2906,          2.1397,          2.0613,          2.1759,          2.2329,          2.2356,          2.6066,          2.1201,          2.4841
